# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01233.cm
# date:    Sat May 14 02:52:03 2016
# seed:    1463194323
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoU109                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:01.90       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -42.8240     -42.8240      0.0000
  QRF01739_AGJC01000011.1        62     -41.9160     -41.9160      0.0000
  QRF01739_AP012205.1            62     -35.8553     -35.8553      0.0000
  QRF01739_AEPQ01000180.1        85     -29.3758     -29.3758      0.0000
  QRF01739_AACY023065314.1       57     -42.6574     -42.6574      0.0000
  QRF01739_AACY020081009.1       57     -42.6574     -42.6574      0.0000
  QRF01739_ACSK01000180.1        92     -33.2550     -33.2550      0.0000
  QRF01739_BA000039.2           113     -24.5377     -24.5377      0.0000
  QRF01739_AACY023081145.1       53     -45.2339     -45.2339      0.0000
  QRF01739_AFSR01000238.1        99     -32.3830     -32.3830      0.0000
  QRF01739_AGJC01000003.1        76     -30.5032     -30.5032      0.0000
  QRF01739_AFSR01000146.1        92     -37.3832     -37.3832      0.0000
  QRF01739_CACA01000349.1        84     -34.8784     -34.8784      0.0000
  QRF01739_AACY022751187.1       52     -41.6444     -41.6444      0.0000
  QRF01739_AACY022283709.1       52     -41.6444     -41.6444      0.0000
  QRF01739_ABPS01003770.1       123     -34.3018     -34.3018      0.0000
  QRF01739_AFEJ01000345.1        83     -34.7068     -34.7068      0.0000
  QRF00005_CABR01000029.1        73     -49.1643     -49.1643      0.0000
  QRF00005_AFSR01002788.1        74     -50.7394     -51.1578      0.4185
  QRF00005_CP000927.1            72     -47.1193     -47.1193      0.0000
  QRF00005_AY741371.1            72     -42.2048     -42.2048      0.0000
  QRF00005_AEGR01000006.1        73     -47.8187     -47.8187      0.0000
  QRF00005_CP001189.1            73     -46.4524     -46.4524      0.0000
  QRF00005_CP000493.1            72     -49.1108     -49.1108      0.0000
  QRF00005_AP012159.1            73     -46.4524     -46.4524      0.0000
  QRF00005_AM889285.1            73     -46.4524     -46.4524      0.0000
