# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01510.cm
# date:    Sat May 14 03:31:46 2016
# seed:    1463196706
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  MFR                        search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:25.81       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -14.3681     -14.3681      0.0000
  QRF01739_AGJC01000011.1        62      -7.0795      -7.0795      0.0000
  QRF01739_AP012205.1            62      -6.7378      -6.7378      0.0000
  QRF01739_AEPQ01000180.1        85      -7.5827      -7.5827      0.0000
  QRF01739_AACY023065314.1       57     -12.3232     -12.3232      0.0000
  QRF01739_AACY020081009.1       57     -12.3232     -12.3232      0.0000
  QRF01739_ACSK01000180.1        92     -12.8795     -12.8795      0.0000
  QRF01739_BA000039.2           113      -3.8569      -3.8569      0.0000
  QRF01739_AACY023081145.1       53     -11.5173     -11.5173      0.0000
  QRF01739_AFSR01000238.1        99     -14.0648     -14.0648      0.0000
  QRF01739_AGJC01000003.1        76      -9.0411      -9.0411      0.0000
  QRF01739_AFSR01000146.1        92     -16.5215     -16.5215      0.0000
  QRF01739_CACA01000349.1        84     -15.7204     -15.7204      0.0000
  QRF01739_AACY022751187.1       52      -9.3844      -9.3844      0.0000
  QRF01739_AACY022283709.1       52      -9.3844      -9.3844      0.0000
  QRF01739_ABPS01003770.1       123      -9.9499      -9.9499      0.0000
  QRF01739_AFEJ01000345.1        83      -8.8327      -8.8327      0.0000
  QRF00005_CABR01000029.1        73     -13.2597     -13.2597      0.0000
  QRF00005_AFSR01002788.1        74     -12.1921     -12.1921      0.0000
  QRF00005_CP000927.1            72     -11.7735     -11.7735      0.0000
  QRF00005_AY741371.1            72      -6.0415      -6.0415      0.0000
  QRF00005_AEGR01000006.1        73     -10.4050     -10.4050      0.0000
  QRF00005_CP001189.1            73     -13.7486     -13.7486      0.0000
  QRF00005_CP000493.1            72      -8.4078      -8.4078      0.0000
  QRF00005_AP012159.1            73     -13.7486     -13.7486      0.0000
  QRF00005_AM889285.1            73     -13.7486     -13.7486      0.0000
  QRF00005_AGFR01000003.1        73     -12.8072     -12.8072      0.0000
  QRF00005_AFCH01000046.1        73     -13.7486     -13.7486      0.0000
  QRF00005_ADTV01000009.1        73     -13.7486     -13.7486      0.0000
  QRF00005_ABCE01000025.1        73     -12.6345     -12.6345      0.0000
  QRF00005_HM565909.1            72      -5.4365      -5.4365      0.0000
  QRF00005_CAFG01000441.1        73     -12.8364     -12.8364      0.0000
  QRF00005_AACY020656879.1       72      -5.0105      -5.0105      0.0000
  QRF00005_CP001744.1            73     -15.0558     -15.0558      0.0000
  QRF00005_CP000880.1            73      -7.7310      -7.7310      0.0000
  QRF00005_CACD01000012.1        73      -7.7310      -7.7310      0.0000
  QRF00005_CACD01000012.1        73      -7.7310      -7.7310      0.0000
  QRF00005_CACD01000012.1        73      -7.7310      -7.7310      0.0000
  QRF00005_AM849034.1            74     -14.6972     -14.6972      0.0000
  QRF00005_AM711867.1            74     -14.6972     -14.6972      0.0000
  QRF00005_AEQT01000005.1        73      -7.7310      -7.7310      0.0000
  QRF00005_AEQT01000005.1        73      -7.7310      -7.7310      0.0000
  QRF00005_ACDJ01000003.1        73      -7.7310      -7.7310      0.0000
  QRF00005_ABWL02000007.1        73      -7.7310      -7.7310      0.0000
  QRF00005_Z71579.1              73     -13.2654     -13.2654      0.0000
  QRF00005_X53782.1              73     -13.2654     -13.2654      0.0000
  QRF00005_M19391.1              73     -13.2654     -13.2654      0.0000
  QRF00005_M15314.1              73     -13.2654     -13.2654      0.0000
  QRF00005_L42023.1              73     -13.2654     -13.2654      0.0000
  QRF00005_L42023.1              73     -13.2654     -13.2654      0.0000
  QRF00005_L42023.1              73     -13.2654     -13.2654      0.0000
  QRF00005_FQ670204.1            73     -13.2654     -13.2654      0.0000
  QRF00005_FQ670204.1            73     -13.2654     -13.2654      0.0000
  QRF00005_FQ670204.1            73     -13.2654     -13.2654      0.0000
  QRF00005_FQ670178.1            73     -13.2654     -13.2654      0.0000
  QRF00005_FQ670178.1            73     -13.2654     -13.2654      0.0000
  QRF00005_FQ670178.1            73     -13.2654     -13.2654      0.0000
  QRF00005_FQ670178.1            73     -13.2654     -13.2654      0.0000
  QRF00005_FQ312006.1            73     -13.2654     -13.2654      0.0000
  QRF00005_FQ312006.1            73     -13.2654     -13.2654      0.0000
  QRF00005_FQ312006.1            73     -13.2654     -13.2654      0.0000
  QRF00005_FQ312002.1            73     -13.2654     -13.2654      0.0000
  QRF00005_FQ312002.1            73     -13.2654     -13.2654      0.0000
