# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00077.cm
# date:    Sat May 14 02:01:39 2016
# seed:    1463191299
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SraB                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:34.36       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -64.8549     -64.8549      0.0000
  QRF01739_AGJC01000011.1        62     -65.5517     -65.5517      0.0000
  QRF01739_AP012205.1            62     -62.4761     -62.4761      0.0000
  QRF01739_AEPQ01000180.1        85     -55.2545     -55.2545      0.0000
  QRF01739_AACY023065314.1       57     -73.4143     -73.4143      0.0000
  QRF01739_AACY020081009.1       57     -73.4143     -73.4143      0.0000
  QRF01739_ACSK01000180.1        92     -57.1404     -57.1404      0.0000
  QRF01739_BA000039.2           113     -42.1270     -42.1270      0.0000
  QRF01739_AACY023081145.1       53     -71.8575     -71.8575      0.0000
  QRF01739_AFSR01000238.1        99     -51.3809     -51.3809      0.0000
  QRF01739_AGJC01000003.1        76     -57.2858     -57.2858      0.0000
  QRF01739_AFSR01000146.1        92     -48.0967     -48.0967      0.0000
  QRF01739_CACA01000349.1        84     -58.9443     -58.9443      0.0000
  QRF01739_AACY022751187.1       52     -74.2405     -74.2405      0.0000
  QRF01739_AACY022283709.1       52     -74.2405     -74.2405      0.0000
  QRF01739_ABPS01003770.1       123     -38.7999     -38.7999      0.0000
  QRF01739_AFEJ01000345.1        83     -53.9056     -53.9056      0.0000
  QRF00005_CABR01000029.1        73     -66.5629     -66.5629      0.0000
  QRF00005_AFSR01002788.1        74     -63.1168     -63.1168      0.0000
