# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01788.cm
# date:    Sat May 14 00:35:37 2016
# seed:    1463186137
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  drz-agam-2-2               search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:44.76       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -78.1827     -78.1827      0.0000
  QRF01739_AGJC01000011.1        62     -77.6204     -77.6204      0.0000
  QRF01739_AP012205.1            62     -72.7868     -72.7868      0.0000
  QRF01739_AEPQ01000180.1        85     -64.1381     -64.1381      0.0000
  QRF01739_AACY023065314.1       57     -70.0975     -70.0975      0.0000
  QRF01739_AACY020081009.1       57     -70.0975     -70.0975      0.0000
  QRF01739_ACSK01000180.1        92     -59.7140     -59.7140      0.0000
  QRF01739_BA000039.2           113     -52.8553     -52.8553      0.0000
  QRF01739_AACY023081145.1       53     -84.4946     -84.4946      0.0000
  QRF01739_AFSR01000238.1        99     -61.8292     -61.8292      0.0000
  QRF01739_AGJC01000003.1        76     -62.8940     -62.8940      0.0000
  QRF01739_AFSR01000146.1        92     -69.0212     -69.0212      0.0000
  QRF01739_CACA01000349.1        84     -65.6874     -65.6874      0.0000
  QRF01739_AACY022751187.1       52     -81.8167     -81.8167      0.0000
  QRF01739_AACY022283709.1       52     -81.8167     -81.8167      0.0000
  QRF01739_ABPS01003770.1       123     -41.9259     -41.9259      0.0000
  QRF01739_AFEJ01000345.1        83     -63.9277     -63.9277      0.0000
  QRF00005_CABR01000029.1        73     -73.5865     -73.5865      0.0000
  QRF00005_AFSR01002788.1        74     -75.3910     -75.3910      0.0000
  QRF00005_CP000927.1            72     -66.7563     -66.7563      0.0000
  QRF00005_AY741371.1            72     -76.1692     -76.1692      0.0000
  QRF00005_AEGR01000006.1        73     -76.2986     -76.2986      0.0000
  QRF00005_CP001189.1            73     -64.9001     -64.9001      0.0000
  QRF00005_CP000493.1            72     -76.1957     -76.1957      0.0000
  QRF00005_AP012159.1            73     -64.9001     -64.9001      0.0000
  QRF00005_AM889285.1            73     -64.9001     -64.9001      0.0000
  QRF00005_AGFR01000003.1        73     -66.9258     -66.9258      0.0000
  QRF00005_AFCH01000046.1        73     -64.9001     -64.9001      0.0000
  QRF00005_ADTV01000009.1        73     -64.9001     -64.9001      0.0000
  QRF00005_ABCE01000025.1        73     -70.6050     -70.6050      0.0000
  QRF00005_HM565909.1            72     -71.2545     -71.2545      0.0000
  QRF00005_CAFG01000441.1        73     -74.4223     -74.4223      0.0000
  QRF00005_AACY020656879.1       72     -72.1735     -72.1735      0.0000
  QRF00005_CP001744.1            73     -75.7702     -75.7702      0.0000
  QRF00005_CP000880.1            73     -68.7769     -68.7769      0.0000
  QRF00005_CACD01000012.1        73     -68.7769     -68.7769      0.0000
  QRF00005_CACD01000012.1        73     -68.7769     -68.7769      0.0000
  QRF00005_CACD01000012.1        73     -68.7769     -68.7769      0.0000
  QRF00005_AM849034.1            74     -63.7999     -63.7999      0.0000
  QRF00005_AM711867.1            74     -63.7999     -63.7999      0.0000
  QRF00005_AEQT01000005.1        73     -68.7769     -68.7769      0.0000
  QRF00005_AEQT01000005.1        73     -68.7769     -68.7769      0.0000
  QRF00005_ACDJ01000003.1        73     -68.7769     -68.7769      0.0000
  QRF00005_ABWL02000007.1        73     -68.7769     -68.7769      0.0000
  QRF00005_Z71579.1              73     -74.1638     -74.1638      0.0000
  QRF00005_X53782.1              73     -74.1638     -74.1638      0.0000
  QRF00005_M19391.1              73     -74.1638     -74.1638      0.0000
  QRF00005_M15314.1              73     -74.1638     -74.1638      0.0000
  QRF00005_L42023.1              73     -74.1638     -74.1638      0.0000
  QRF00005_L42023.1              73     -74.1638     -74.1638      0.0000
  QRF00005_L42023.1              73     -74.1638     -74.1638      0.0000
  QRF00005_FQ670204.1            73     -74.1638     -74.1638      0.0000
  QRF00005_FQ670204.1            73     -74.1638     -74.1638      0.0000
  QRF00005_FQ670204.1            73     -74.1638     -74.1638      0.0000
  QRF00005_FQ670178.1            73     -74.1638     -74.1638      0.0000
  QRF00005_FQ670178.1            73     -74.1638     -74.1638      0.0000
  QRF00005_FQ670178.1            73     -74.1638     -74.1638      0.0000
  QRF00005_FQ670178.1            73     -74.1638     -74.1638      0.0000
  QRF00005_FQ312006.1            73     -74.1638     -74.1638      0.0000
  QRF00005_FQ312006.1            73     -74.1638     -74.1638      0.0000
  QRF00005_FQ312006.1            73     -74.1638     -74.1638      0.0000
  QRF00005_FQ312002.1            73     -74.1638     -74.1638      0.0000
  QRF00005_FQ312002.1            73     -74.1638     -74.1638      0.0000
  QRF00005_FQ312002.1            73     -74.1638     -74.1638      0.0000
  QRF00005_EF196803.1            73     -74.1638     -74.1638      0.0000
  QRF00005_EF196803.1            73     -74.1638     -74.1638      0.0000
  QRF00005_CP003022.1            73     -74.1638     -74.1638      0.0000
  QRF00001_EU093378.1           119     -37.7063     -37.7063      0.0000
