# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00174.cm
# date:    Fri May 13 21:22:42 2016
# seed:    1463174562
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Cobalamin                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:54.90       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -87.8590     -87.8590      0.0000
  QRF01739_AGJC01000011.1        62     -89.3290     -89.3290      0.0000
  QRF01739_AP012205.1            62     -83.8912     -83.8912      0.0000
  QRF01739_AEPQ01000180.1        85     -69.9843     -69.9843      0.0000
  QRF01739_AACY023065314.1       57     -88.7085     -88.7085      0.0000
  QRF01739_AACY020081009.1       57     -88.7085     -88.7085      0.0000
  QRF01739_ACSK01000180.1        92     -68.9172     -68.9172      0.0000
  QRF01739_BA000039.2           113     -64.6669     -64.6669      0.0000
  QRF01739_AACY023081145.1       53     -95.3348     -95.3348      0.0000
  QRF01739_AFSR01000238.1        99     -65.5131     -65.5131      0.0000
  QRF01739_AGJC01000003.1        76     -82.9091     -82.9091      0.0000
  QRF01739_AFSR01000146.1        92     -62.1904     -62.1904      0.0000
  QRF01739_CACA01000349.1        84     -77.2746     -77.2746      0.0000
  QRF01739_AACY022751187.1       52     -94.6570     -94.6570      0.0000
  QRF01739_AACY022283709.1       52     -94.6570     -94.6570      0.0000
  QRF01739_ABPS01003770.1       123     -54.9171     -54.9171      0.0000
  QRF01739_AFEJ01000345.1        83     -78.2367     -78.2367      0.0000
  QRF00005_CABR01000029.1        73     -75.1415     -75.1415      0.0000
  QRF00005_AFSR01002788.1        74     -80.2705     -80.2705      0.0000
  QRF00005_CP000927.1            72     -73.0055     -73.0055      0.0000
  QRF00005_AY741371.1            72     -79.0460     -79.0460      0.0000
  QRF00005_AEGR01000006.1        73     -79.9608     -79.9608      0.0000
  QRF00005_CP001189.1            73     -79.3206     -79.3206      0.0000
  QRF00005_CP000493.1            72     -72.9831     -72.9831      0.0000
  QRF00005_AP012159.1            73     -79.3206     -79.3206      0.0000
  QRF00005_AM889285.1            73     -79.3206     -79.3206      0.0000
  QRF00005_AGFR01000003.1        73     -78.4522     -78.4522      0.0000
  QRF00005_AFCH01000046.1        73     -79.3206     -79.3206      0.0000
  QRF00005_ADTV01000009.1        73     -79.3206     -79.3206      0.0000
  QRF00005_ABCE01000025.1        73     -79.2892     -79.2892      0.0000
  QRF00005_HM565909.1            72     -79.7488     -80.6896      0.9408
  QRF00005_CAFG01000441.1        73     -79.3918     -79.3918      0.0000
  QRF00005_AACY020656879.1       72     -77.7368     -80.5386      2.8018
  QRF00005_CP001744.1            73     -82.2777     -82.2777      0.0000
  QRF00005_CP000880.1            73     -73.8529     -84.4150     10.5621
  QRF00005_CACD01000012.1        73     -73.8529     -84.4150     10.5621
  QRF00005_CACD01000012.1        73     -73.8529     -84.4150     10.5621
  QRF00005_CACD01000012.1        73     -73.8529     -84.4150     10.5621
  QRF00005_AM849034.1            74     -76.6534     -76.6534      0.0000
  QRF00005_AM711867.1            74     -76.6534     -76.6534      0.0000
  QRF00005_AEQT01000005.1        73     -73.8529     -84.4150     10.5621
  QRF00005_AEQT01000005.1        73     -73.8529     -84.4150     10.5621
  QRF00005_ACDJ01000003.1        73     -73.8529     -84.4150     10.5621
  QRF00005_ABWL02000007.1        73     -73.8529     -84.4150     10.5621
  QRF00005_Z71579.1              73     -80.1535     -80.1535      0.0000
  QRF00005_X53782.1              73     -80.1535     -80.1535      0.0000
  QRF00005_M19391.1              73     -80.1535     -80.1535      0.0000
  QRF00005_M15314.1              73     -80.1535     -80.1535      0.0000
  QRF00005_L42023.1              73     -80.1535     -80.1535      0.0000
  QRF00005_L42023.1              73     -80.1535     -80.1535      0.0000
  QRF00005_L42023.1              73     -80.1535     -80.1535      0.0000
  QRF00005_FQ670204.1            73     -80.1535     -80.1535      0.0000
  QRF00005_FQ670204.1            73     -80.1535     -80.1535      0.0000
  QRF00005_FQ670204.1            73     -80.1535     -80.1535      0.0000
  QRF00005_FQ670178.1            73     -80.1535     -80.1535      0.0000
  QRF00005_FQ670178.1            73     -80.1535     -80.1535      0.0000
  QRF00005_FQ670178.1            73     -80.1535     -80.1535      0.0000
  QRF00005_FQ670178.1            73     -80.1535     -80.1535      0.0000
  QRF00005_FQ312006.1            73     -80.1535     -80.1535      0.0000
  QRF00005_FQ312006.1            73     -80.1535     -80.1535      0.0000
  QRF00005_FQ312006.1            73     -80.1535     -80.1535      0.0000
  QRF00005_FQ312002.1            73     -80.1535     -80.1535      0.0000
  QRF00005_FQ312002.1            73     -80.1535     -80.1535      0.0000
  QRF00005_FQ312002.1            73     -80.1535     -80.1535      0.0000
  QRF00005_EF196803.1            73     -80.1535     -80.1535      0.0000
  QRF00005_EF196803.1            73     -80.1535     -80.1535      0.0000
  QRF00005_CP003022.1            73     -80.1535     -80.1535      0.0000
  QRF00001_EU093378.1           119     -61.3115     -61.3115      0.0000
  QRF00001_AAAA02047827.1       119     -62.2294     -62.2294      0.0000
  QRF00001_AAAA02043281.1       119     -61.2140     -61.2140      0.0000
  QRF00001_EF064700.1           119     -59.9974     -59.9974      0.0000
  QRF00001_EF064692.1           119     -59.9974     -59.9974      0.0000
  QRF00001_EF064687.1           119     -59.9974     -59.9974      0.0000
  QRF00001_EF064680.1           119     -59.9974     -59.9974      0.0000
  QRF00001_EF064678.1           119     -59.9974     -59.9974      0.0000
  QRF00001_EF064556.1           119     -59.9974     -59.9974      0.0000
  QRF00001_AJ390135.1           119     -59.9974     -59.9974      0.0000
  QRF00001_HQ270965.1           119     -61.9594     -61.9594      0.0000
  QRF00001_GQ324770.1           119     -61.9594     -61.9594      0.0000
  QRF00001_FJ882503.1           119     -61.9594     -61.9594      0.0000
  QRF00001_AF550740.1           119     -61.9594     -61.9594      0.0000
  QRF00001_HQ270648.1           119     -61.4977     -61.4977      0.0000
  QRF00001_EU924818.1           119     -61.4977     -61.4977      0.0000
  QRF00001_EU093153.1           119     -61.4977     -61.4977      0.0000
  QRF00001_EF524209.1           119     -61.4977     -61.4977      0.0000
  QRF00001_AY316209.1           119     -61.4977     -61.4977      0.0000
  QRF00001_AY034674.1           119     -61.4977     -61.4977      0.0000
  QRF00001_AJ409525.1           119     -61.4977     -61.4977      0.0000
  QRF00001_AF550715.1           119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01010155.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01009775.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01009775.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01009775.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01009135.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01009119.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01009117.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01005845.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01005845.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01005844.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01005841.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01005839.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01005838.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01005838.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01005835.1       119     -61.4977     -61.4977      0.0000
  QRF00001_ABXC01005835.1       119     -61.4977     -61.4977      0.0000
  QRF00001_AAAA02039752.1       119     -62.7418     -62.7418      0.0000
  QRF00001_EU925066.1           119     -59.3255     -59.3255      0.0000
  QRF00001_EU093209.1           119     -59.3255     -59.3255      0.0000
  QRF00001_U02637.1             119     -62.2294     -62.2294      0.0000
  QRF00001_EU439291.1           119     -62.2294     -62.2294      0.0000
  QRF00001_EU439286.1           119     -62.2294     -62.2294      0.0000
  QRF00001_EU439284.1           119     -62.2294     -62.2294      0.0000
  QRF00001_EU439282.1           119     -62.2294     -62.2294      0.0000
  QRF00001_EU439280.1           119     -62.2294     -62.2294      0.0000
  QRF00001_EU439279.1           119     -62.2294     -62.2294      0.0000
  QRF00001_EU439278.1           119     -62.2294     -62.2294      0.0000
  QRF00001_EU439277.1           119     -62.2294     -62.2294      0.0000
  QRF01704_ACNY01000005.1        62     -81.3839     -81.3839      0.0000
  QRF01704_ADXL01000065.1        61     -85.5450     -85.5450      0.0000
  QRF01704_ADXL01000046.1        61     -86.0408     -86.0408      0.0000
  QRF01704_ADHP01001127.1        63     -82.5671     -82.5671      0.0000
  QRF01704_ADXM01000029.1        71     -72.6713     -72.6713      0.0000
  QRF01704_FJ869257.1            62     -81.0559     -81.0559      0.0000
  QRF01704_BX569692.1            62     -81.0559     -81.0559      0.0000
  QRF01704_AACY023835177.1       64     -83.0935     -83.0935      0.0000
  QRF01704_ACNY01000003.1        61     -85.6674     -85.6674      0.0000
  QRF01704_AACY020212823.1       62     -86.2916     -86.2916      0.0000
  QRF01704_GQ237222.1            58     -83.1315     -83.1315      0.0000
  QRF01704_ADHP01000860.1        64     -84.0868     -84.0868      0.0000
  QRF01704_AACY020313707.1       62     -84.1532     -84.1532      0.0000
  QRF01704_ACDW01000004.1        62     -88.0060     -88.0060      0.0000
  QRF01704_AACY022014507.1       62     -88.5950     -88.5950      0.0000
  QRF01704_ADHP01000878.1        59     -91.9094     -91.9094      0.0000
  QRF01704_AACY022415810.1       58     -90.5813     -90.5813      0.0000
  QRF01704_AACY020575673.1       58     -90.5813     -90.5813      0.0000
  QRF01704_ACNY01000005.1        59     -83.4936     -83.4936      0.0000
  QRF01704_ADHP01000854.1        63     -84.8969     -84.8969      0.0000
  QRF01704_GU936714.1            59     -86.8156     -86.8156      0.0000
  QRF01704_AACY021622950.1       62     -87.0536     -87.0536      0.0000
  QRF01704_CP000825.1            58     -90.4543     -90.4543      0.0000
  QRF01704_EU795157.1            64     -83.4846     -83.4846      0.0000
  QRF01704_ABVN01004790.1        61     -85.1068     -85.1068      0.0000
  QRF01704_ABMN01086741.1        60     -81.5749     -81.5749      0.0000
  QRF01704_DQ325539.1            60     -83.1377     -83.1377      0.0000
  QRF01704_ACNY01000005.1        62     -82.1295     -82.1295      0.0000
  QRF01704_ACNY01000004.1        60     -85.6785     -85.6785      0.0000
  QRF01704_ABVT01000061.1        57     -89.5211     -89.5211      0.0000
  QRF00023_CP001665.1           363     -31.1095     -31.1095      0.0000
  QRF00023_CP001509.3           363     -31.1095     -31.1095      0.0000
  QRF00023_CP000819.1           363     -31.1095     -31.1095      0.0000
