# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00294.cm
# date:    Fri May 13 23:29:55 2016
# seed:    1463182195
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoTBR17                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:38.02       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -137.7960    -137.7960      0.0000
  QRF01739_AGJC01000011.1        62    -138.7886    -138.7886      0.0000
  QRF01739_AP012205.1            62    -135.0791    -135.0791      0.0000
  QRF01739_AEPQ01000180.1        85    -122.3207    -122.3207      0.0000
  QRF01739_AACY023065314.1       57    -140.5850    -140.5850      0.0000
  QRF01739_AACY020081009.1       57    -140.5850    -140.5850      0.0000
  QRF01739_ACSK01000180.1        92    -115.2306    -115.2306      0.0000
  QRF01739_BA000039.2           113    -104.7755    -104.7755      0.0000
  QRF01739_AACY023081145.1       53    -142.0182    -142.0182      0.0000
  QRF01739_AFSR01000238.1        99    -116.0211    -116.0211      0.0000
  QRF01739_AGJC01000003.1        76    -124.5734    -124.5734      0.0000
  QRF01739_AFSR01000146.1        92    -117.3180    -117.3180      0.0000
  QRF01739_CACA01000349.1        84    -120.5971    -120.5971      0.0000
  QRF01739_AACY022751187.1       52    -140.5134    -140.5134      0.0000
  QRF01739_AACY022283709.1       52    -140.5134    -140.5134      0.0000
  QRF01739_ABPS01003770.1       123    -106.9769    -106.9769      0.0000
  QRF01739_AFEJ01000345.1        83    -126.1035    -126.1035      0.0000
  QRF00005_CABR01000029.1        73    -130.4421    -130.4421      0.0000
  QRF00005_AFSR01002788.1        74    -124.8658    -124.8658      0.0000
  QRF00005_CP000927.1            72    -126.9331    -126.9331      0.0000
  QRF00005_AY741371.1            72    -122.0138    -122.0138      0.0000
  QRF00005_AEGR01000006.1        73    -129.4201    -129.4201      0.0000
  QRF00005_CP001189.1            73    -122.1294    -122.1294      0.0000
  QRF00005_CP000493.1            72    -125.8510    -125.8510      0.0000
  QRF00005_AP012159.1            73    -122.1294    -122.1294      0.0000
  QRF00005_AM889285.1            73    -122.1294    -122.1294      0.0000
  QRF00005_AGFR01000003.1        73    -123.5104    -123.5104      0.0000
  QRF00005_AFCH01000046.1        73    -122.1294    -122.1294      0.0000
  QRF00005_ADTV01000009.1        73    -122.1294    -122.1294      0.0000
  QRF00005_ABCE01000025.1        73    -127.7777    -127.7777      0.0000
  QRF00005_HM565909.1            72    -126.8121    -126.8121      0.0000
  QRF00005_CAFG01000441.1        73    -126.2768    -126.2768      0.0000
  QRF00005_AACY020656879.1       72    -127.4668    -127.4668      0.0000
  QRF00005_CP001744.1            73    -121.6463    -121.6463      0.0000
  QRF00005_CP000880.1            73    -127.1671    -127.1671      0.0000
  QRF00005_CACD01000012.1        73    -127.1671    -127.1671      0.0000
  QRF00005_CACD01000012.1        73    -127.1671    -127.1671      0.0000
  QRF00005_CACD01000012.1        73    -127.1671    -127.1671      0.0000
  QRF00005_AM849034.1            74    -128.3043    -128.3043      0.0000
  QRF00005_AM711867.1            74    -128.3043    -128.3043      0.0000
  QRF00005_AEQT01000005.1        73    -127.1671    -127.1671      0.0000
  QRF00005_AEQT01000005.1        73    -127.1671    -127.1671      0.0000
  QRF00005_ACDJ01000003.1        73    -127.1671    -127.1671      0.0000
  QRF00005_ABWL02000007.1        73    -127.1671    -127.1671      0.0000
  QRF00005_Z71579.1              73    -123.9158    -123.9158      0.0000
  QRF00005_X53782.1              73    -123.9158    -123.9158      0.0000
  QRF00005_M19391.1              73    -123.9158    -123.9158      0.0000
  QRF00005_M15314.1              73    -123.9158    -123.9158      0.0000
  QRF00005_L42023.1              73    -123.9158    -123.9158      0.0000
  QRF00005_L42023.1              73    -123.9158    -123.9158      0.0000
  QRF00005_L42023.1              73    -123.9158    -123.9158      0.0000
  QRF00005_FQ670204.1            73    -123.9158    -123.9158      0.0000
  QRF00005_FQ670204.1            73    -123.9158    -123.9158      0.0000
  QRF00005_FQ670204.1            73    -123.9158    -123.9158      0.0000
  QRF00005_FQ670178.1            73    -123.9158    -123.9158      0.0000
  QRF00005_FQ670178.1            73    -123.9158    -123.9158      0.0000
  QRF00005_FQ670178.1            73    -123.9158    -123.9158      0.0000
  QRF00005_FQ670178.1            73    -123.9158    -123.9158      0.0000
  QRF00005_FQ312006.1            73    -123.9158    -123.9158      0.0000
  QRF00005_FQ312006.1            73    -123.9158    -123.9158      0.0000
  QRF00005_FQ312006.1            73    -123.9158    -123.9158      0.0000
  QRF00005_FQ312002.1            73    -123.9158    -123.9158      0.0000
  QRF00005_FQ312002.1            73    -123.9158    -123.9158      0.0000
  QRF00005_FQ312002.1            73    -123.9158    -123.9158      0.0000
  QRF00005_EF196803.1            73    -123.9158    -123.9158      0.0000
  QRF00005_EF196803.1            73    -123.9158    -123.9158      0.0000
  QRF00005_CP003022.1            73    -123.9158    -123.9158      0.0000
  QRF00001_EU093378.1           119     -98.6684     -98.6684      0.0000
  QRF00001_AAAA02047827.1       119     -98.4514     -98.4514      0.0000
  QRF00001_AAAA02043281.1       119     -95.5319     -95.5319      0.0000
  QRF00001_EF064700.1           119     -97.9154     -97.9154      0.0000
  QRF00001_EF064692.1           119     -97.9154     -97.9154      0.0000
  QRF00001_EF064687.1           119     -97.9154     -97.9154      0.0000
  QRF00001_EF064680.1           119     -97.9154     -97.9154      0.0000
  QRF00001_EF064678.1           119     -97.9154     -97.9154      0.0000
  QRF00001_EF064556.1           119     -97.9154     -97.9154      0.0000
  QRF00001_AJ390135.1           119     -97.9154     -97.9154      0.0000
  QRF00001_HQ270965.1           119     -97.7330     -97.7330      0.0000
  QRF00001_GQ324770.1           119     -97.7330     -97.7330      0.0000
  QRF00001_FJ882503.1           119     -97.7330     -97.7330      0.0000
  QRF00001_AF550740.1           119     -97.7330     -97.7330      0.0000
