# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00514.cm
# date:    Sat May 14 03:29:18 2016
# seed:    1463196558
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  His_leader                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:11.67       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -25.8949     -25.8949      0.0000
  QRF01739_AGJC01000011.1        62     -32.8467     -32.8467      0.0000
  QRF01739_AP012205.1            62     -22.2289     -22.2289      0.0000
  QRF01739_AEPQ01000180.1        85     -18.6870     -18.6870      0.0000
  QRF01739_AACY023065314.1       57     -29.4528     -29.4528      0.0000
  QRF01739_AACY020081009.1       57     -29.4528     -29.4528      0.0000
  QRF01739_ACSK01000180.1        92     -21.7046     -21.7046      0.0000
  QRF01739_BA000039.2           113     -21.1521     -21.1521      0.0000
  QRF01739_AACY023081145.1       53     -32.2757     -32.2757      0.0000
  QRF01739_AFSR01000238.1        99     -28.8055     -28.8055      0.0000
  QRF01739_AGJC01000003.1        76     -29.4284     -29.4284      0.0000
  QRF01739_AFSR01000146.1        92     -26.3852     -26.3852      0.0000
  QRF01739_CACA01000349.1        84     -28.4273     -28.4273      0.0000
  QRF01739_AACY022751187.1       52     -31.8161     -31.8161      0.0000
  QRF01739_AACY022283709.1       52     -31.8161     -31.8161      0.0000
  QRF01739_ABPS01003770.1       123     -19.5512     -19.5512      0.0000
  QRF01739_AFEJ01000345.1        83     -24.3501     -24.3501      0.0000
  QRF00005_CABR01000029.1        73     -34.5685     -34.5685      0.0000
  QRF00005_AFSR01002788.1        74     -30.4326     -30.4326      0.0000
