# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00542.cm
# date:    Sat May 14 02:49:26 2016
# seed:    1463194166
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snopsi28S-1192             search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:06.18       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -37.8088     -37.8088      0.0000
  QRF01739_AGJC01000011.1        62     -42.0634     -42.0634      0.0000
  QRF01739_AP012205.1            62     -39.5718     -39.5718      0.0000
  QRF01739_AEPQ01000180.1        85     -36.1980     -36.1980      0.0000
  QRF01739_AACY023065314.1       57     -40.5453     -40.5453      0.0000
  QRF01739_AACY020081009.1       57     -40.5453     -40.5453      0.0000
  QRF01739_ACSK01000180.1        92     -34.6476     -34.6476      0.0000
  QRF01739_BA000039.2           113     -26.3454     -26.3454      0.0000
  QRF01739_AACY023081145.1       53     -42.7007     -42.7007      0.0000
  QRF01739_AFSR01000238.1        99     -37.0298     -37.0298      0.0000
  QRF01739_AGJC01000003.1        76     -43.6381     -43.6381      0.0000
  QRF01739_AFSR01000146.1        92     -32.4006     -32.4006      0.0000
  QRF01739_CACA01000349.1        84     -39.6705     -39.6705      0.0000
  QRF01739_AACY022751187.1       52     -41.1643     -41.1643      0.0000
  QRF01739_AACY022283709.1       52     -41.1643     -41.1643      0.0000
  QRF01739_ABPS01003770.1       123     -25.5454     -25.5454      0.0000
  QRF01739_AFEJ01000345.1        83     -29.2969     -29.2969      0.0000
  QRF00005_CABR01000029.1        73     -45.4447     -45.4447      0.0000
  QRF00005_AFSR01002788.1        74     -44.2914     -44.2914      0.0000
  QRF00005_CP000927.1            72     -42.3203     -42.3203      0.0000
  QRF00005_AY741371.1            72     -47.3307     -47.3307      0.0000
  QRF00005_AEGR01000006.1        73     -42.1147     -42.1147      0.0000
  QRF00005_CP001189.1            73     -45.2692     -45.2692      0.0000
  QRF00005_CP000493.1            72     -50.3457     -50.3457      0.0000
  QRF00005_AP012159.1            73     -45.2692     -45.2692      0.0000
  QRF00005_AM889285.1            73     -45.2692     -45.2692      0.0000
  QRF00005_AGFR01000003.1        73     -43.6753     -43.6753      0.0000
  QRF00005_AFCH01000046.1        73     -45.2692     -45.2692      0.0000
  QRF00005_ADTV01000009.1        73     -45.2692     -45.2692      0.0000
  QRF00005_ABCE01000025.1        73     -44.9099     -44.9099      0.0000
  QRF00005_HM565909.1            72     -43.4573     -43.4573      0.0000
  QRF00005_CAFG01000441.1        73     -40.6802     -40.6802      0.0000
  QRF00005_AACY020656879.1       72     -42.5333     -42.5333      0.0000
  QRF00005_CP001744.1            73     -43.3737     -43.3737      0.0000
  QRF00005_CP000880.1            73     -43.2622     -43.2622      0.0000
  QRF00005_CACD01000012.1        73     -43.2622     -43.2622      0.0000
  QRF00005_CACD01000012.1        73     -43.2622     -43.2622      0.0000
  QRF00005_CACD01000012.1        73     -43.2622     -43.2622      0.0000
  QRF00005_AM849034.1            74     -40.5604     -40.5604      0.0000
  QRF00005_AM711867.1            74     -40.5604     -40.5604      0.0000
  QRF00005_AEQT01000005.1        73     -43.2622     -43.2622      0.0000
  QRF00005_AEQT01000005.1        73     -43.2622     -43.2622      0.0000
  QRF00005_ACDJ01000003.1        73     -43.2622     -43.2622      0.0000
  QRF00005_ABWL02000007.1        73     -43.2622     -43.2622      0.0000
  QRF00005_Z71579.1              73     -40.1520     -40.1520      0.0000
  QRF00005_X53782.1              73     -40.1520     -40.1520      0.0000
  QRF00005_M19391.1              73     -40.1520     -40.1520      0.0000
  QRF00005_M15314.1              73     -40.1520     -40.1520      0.0000
  QRF00005_L42023.1              73     -40.1520     -40.1520      0.0000
  QRF00005_L42023.1              73     -40.1520     -40.1520      0.0000
  QRF00005_L42023.1              73     -40.1520     -40.1520      0.0000
  QRF00005_FQ670204.1            73     -40.1520     -40.1520      0.0000
  QRF00005_FQ670204.1            73     -40.1520     -40.1520      0.0000
  QRF00005_FQ670204.1            73     -40.1520     -40.1520      0.0000
  QRF00005_FQ670178.1            73     -40.1520     -40.1520      0.0000
  QRF00005_FQ670178.1            73     -40.1520     -40.1520      0.0000
  QRF00005_FQ670178.1            73     -40.1520     -40.1520      0.0000
  QRF00005_FQ670178.1            73     -40.1520     -40.1520      0.0000
  QRF00005_FQ312006.1            73     -40.1520     -40.1520      0.0000
  QRF00005_FQ312006.1            73     -40.1520     -40.1520      0.0000
  QRF00005_FQ312006.1            73     -40.1520     -40.1520      0.0000
  QRF00005_FQ312002.1            73     -40.1520     -40.1520      0.0000
  QRF00005_FQ312002.1            73     -40.1520     -40.1520      0.0000
  QRF00005_FQ312002.1            73     -40.1520     -40.1520      0.0000
  QRF00005_EF196803.1            73     -40.1520     -40.1520      0.0000
  QRF00005_EF196803.1            73     -40.1520     -40.1520      0.0000
  QRF00005_CP003022.1            73     -40.1520     -40.1520      0.0000
  QRF00001_EU093378.1           119     -32.9861     -32.9861      0.0000
  QRF00001_AAAA02047827.1       119     -32.9861     -32.9861      0.0000
  QRF00001_AAAA02043281.1       119     -36.5231     -36.5231      0.0000
  QRF00001_EF064700.1           119     -34.2725     -34.2725      0.0000
  QRF00001_EF064692.1           119     -34.2725     -34.2725      0.0000
  QRF00001_EF064687.1           119     -34.2725     -34.2725      0.0000
  QRF00001_EF064680.1           119     -34.2725     -34.2725      0.0000
  QRF00001_EF064678.1           119     -34.2725     -34.2725      0.0000
  QRF00001_EF064556.1           119     -34.2725     -34.2725      0.0000
  QRF00001_AJ390135.1           119     -34.2725     -34.2725      0.0000
  QRF00001_HQ270965.1           119     -32.9861     -32.9861      0.0000
  QRF00001_GQ324770.1           119     -32.9861     -32.9861      0.0000
  QRF00001_FJ882503.1           119     -32.9861     -32.9861      0.0000
  QRF00001_AF550740.1           119     -32.9861     -32.9861      0.0000
  QRF00001_HQ270648.1           119     -32.9861     -32.9861      0.0000
  QRF00001_EU924818.1           119     -32.9861     -32.9861      0.0000
  QRF00001_EU093153.1           119     -32.9861     -32.9861      0.0000
  QRF00001_EF524209.1           119     -32.9861     -32.9861      0.0000
  QRF00001_AY316209.1           119     -32.9861     -32.9861      0.0000
  QRF00001_AY034674.1           119     -32.9861     -32.9861      0.0000
