# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01276.cm
# date:    Fri May 13 21:53:58 2016
# seed:    1463176438
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  sR53                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:15.78       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -18.4496     -18.4496      0.0000
  QRF01739_AGJC01000011.1        62     -11.3206     -11.3206      0.0000
  QRF01739_AP012205.1            62     -13.3408     -13.3408      0.0000
  QRF01739_AEPQ01000180.1        85      -8.0308      -8.0308      0.0000
  QRF01739_AACY023065314.1       57     -15.3851     -15.3851      0.0000
  QRF01739_AACY020081009.1       57     -15.3851     -15.3851      0.0000
  QRF01739_ACSK01000180.1        92      -3.5174      -3.5174      0.0000
  QRF01739_BA000039.2           113     -14.6049     -14.6049      0.0000
  QRF01739_AACY023081145.1       53     -14.9904     -14.9904      0.0000
  QRF01739_AFSR01000238.1        99     -10.8720     -10.8720      0.0000
  QRF01739_AGJC01000003.1        76     -17.6565     -17.6565      0.0000
  QRF01739_AFSR01000146.1        92     -13.0521     -13.0521      0.0000
  QRF01739_CACA01000349.1        84       0.0799       0.0799      0.0000
  QRF01739_AACY022751187.1       52     -18.6874     -18.6874      0.0000
  QRF01739_AACY022283709.1       52     -18.6874     -18.6874      0.0000
  QRF01739_ABPS01003770.1       123     -10.4808     -10.4808      0.0000
  QRF01739_AFEJ01000345.1        83     -17.3616     -17.3616      0.0000
  QRF00005_CABR01000029.1        73     -23.6770     -23.6770      0.0000
  QRF00005_AFSR01002788.1        74     -16.5088     -16.5088      0.0000
  QRF00005_CP000927.1            72     -22.6896     -22.6896      0.0000
  QRF00005_AY741371.1            72     -16.6090     -16.6090      0.0000
  QRF00005_AEGR01000006.1        73     -26.3535     -26.3535      0.0000
  QRF00005_CP001189.1            73     -18.7820     -18.7820      0.0000
  QRF00005_CP000493.1            72     -18.4476     -18.4476      0.0000
  QRF00005_AP012159.1            73     -18.7820     -18.7820      0.0000
  QRF00005_AM889285.1            73     -18.7820     -18.7820      0.0000
  QRF00005_AGFR01000003.1        73     -14.8765     -14.8765      0.0000
  QRF00005_AFCH01000046.1        73     -18.7820     -18.7820      0.0000
  QRF00005_ADTV01000009.1        73     -18.7820     -18.7820      0.0000
  QRF00005_ABCE01000025.1        73     -22.3852     -22.3852      0.0000
  QRF00005_HM565909.1            72     -18.3712     -18.3712      0.0000
  QRF00005_CAFG01000441.1        73     -25.6885     -25.6885      0.0000
  QRF00005_AACY020656879.1       72     -17.5642     -17.5642      0.0000
  QRF00005_CP001744.1            73     -21.4362     -21.4362      0.0000
  QRF00005_CP000880.1            73     -22.1793     -22.1793      0.0000
  QRF00005_CACD01000012.1        73     -22.1793     -22.1793      0.0000
  QRF00005_CACD01000012.1        73     -22.1793     -22.1793      0.0000
  QRF00005_CACD01000012.1        73     -22.1793     -22.1793      0.0000
  QRF00005_AM849034.1            74     -14.8568     -14.8568      0.0000
  QRF00005_AM711867.1            74     -14.8568     -14.8568      0.0000
  QRF00005_AEQT01000005.1        73     -22.1793     -22.1793      0.0000
  QRF00005_AEQT01000005.1        73     -22.1793     -22.1793      0.0000
  QRF00005_ACDJ01000003.1        73     -22.1793     -22.1793      0.0000
  QRF00005_ABWL02000007.1        73     -22.1793     -22.1793      0.0000
  QRF00005_Z71579.1              73     -22.0320     -22.0320      0.0000
  QRF00005_X53782.1              73     -22.0320     -22.0320      0.0000
  QRF00005_M19391.1              73     -22.0320     -22.0320      0.0000
  QRF00005_M15314.1              73     -22.0320     -22.0320      0.0000
  QRF00005_L42023.1              73     -22.0320     -22.0320      0.0000
  QRF00005_L42023.1              73     -22.0320     -22.0320      0.0000
