# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01175.cm
# date:    Fri May 13 23:01:35 2016
# seed:    1463180495
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoU83D                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:23.98       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -22.4696     -22.4696      0.0000
  QRF01739_AGJC01000011.1        62     -25.6629     -25.6629      0.0000
  QRF01739_AP012205.1            62     -24.0066     -24.0066      0.0000
  QRF01739_AEPQ01000180.1        85     -15.8446     -15.8446      0.0000
  QRF01739_AACY023065314.1       57     -20.1339     -20.1339      0.0000
  QRF01739_AACY020081009.1       57     -20.1339     -20.1339      0.0000
  QRF01739_ACSK01000180.1        92     -26.0422     -26.0422      0.0000
  QRF01739_BA000039.2           113     -23.2985     -23.2985      0.0000
  QRF01739_AACY023081145.1       53     -27.8296     -27.8296      0.0000
  QRF01739_AFSR01000238.1        99     -29.2528     -29.2528      0.0000
  QRF01739_AGJC01000003.1        76     -23.3579     -23.3579      0.0000
  QRF01739_AFSR01000146.1        92     -24.5642     -24.5642      0.0000
  QRF01739_CACA01000349.1        84     -26.5852     -26.5852      0.0000
  QRF01739_AACY022751187.1       52     -27.3274     -27.3274      0.0000
  QRF01739_AACY022283709.1       52     -27.3274     -27.3274      0.0000
  QRF01739_ABPS01003770.1       123     -19.4729     -19.4729      0.0000
  QRF01739_AFEJ01000345.1        83     -25.0688     -25.0688      0.0000
  QRF00005_CABR01000029.1        73     -20.7639     -20.7639      0.0000
  QRF00005_AFSR01002788.1        74     -20.8876     -20.8876      0.0000
  QRF00005_CP000927.1            72     -19.9436     -19.9436      0.0000
  QRF00005_AY741371.1            72     -23.9119     -23.9119      0.0000
  QRF00005_AEGR01000006.1        73     -21.1942     -21.1942      0.0000
  QRF00005_CP001189.1            73     -21.4119     -21.4119      0.0000
  QRF00005_CP000493.1            72     -27.0307     -27.0307      0.0000
  QRF00005_AP012159.1            73     -21.4119     -21.4119      0.0000
  QRF00005_AM889285.1            73     -21.4119     -21.4119      0.0000
  QRF00005_AGFR01000003.1        73     -20.4749     -20.4749      0.0000
  QRF00005_AFCH01000046.1        73     -21.4119     -21.4119      0.0000
  QRF00005_ADTV01000009.1        73     -21.4119     -21.4119      0.0000
  QRF00005_ABCE01000025.1        73     -15.8295     -15.8295      0.0000
  QRF00005_HM565909.1            72     -22.0111     -22.0111      0.0000
  QRF00005_CAFG01000441.1        73     -23.8327     -23.8327      0.0000
  QRF00005_AACY020656879.1       72     -22.0111     -22.0111      0.0000
  QRF00005_CP001744.1            73     -14.3645     -14.3645      0.0000
  QRF00005_CP000880.1            73     -16.3146     -16.3146      0.0000
  QRF00005_CACD01000012.1        73     -16.3146     -16.3146      0.0000
  QRF00005_CACD01000012.1        73     -16.3146     -16.3146      0.0000
  QRF00005_CACD01000012.1        73     -16.3146     -16.3146      0.0000
  QRF00005_AM849034.1            74     -18.5607     -18.5607      0.0000
  QRF00005_AM711867.1            74     -18.5607     -18.5607      0.0000
  QRF00005_AEQT01000005.1        73     -16.3146     -16.3146      0.0000
  QRF00005_AEQT01000005.1        73     -16.3146     -16.3146      0.0000
  QRF00005_ACDJ01000003.1        73     -16.3146     -16.3146      0.0000
  QRF00005_ABWL02000007.1        73     -16.3146     -16.3146      0.0000
  QRF00005_Z71579.1              73     -20.7885     -20.7885      0.0000
  QRF00005_X53782.1              73     -20.7885     -20.7885      0.0000
  QRF00005_M19391.1              73     -20.7885     -20.7885      0.0000
  QRF00005_M15314.1              73     -20.7885     -20.7885      0.0000
  QRF00005_L42023.1              73     -20.7885     -20.7885      0.0000
  QRF00005_L42023.1              73     -20.7885     -20.7885      0.0000
  QRF00005_L42023.1              73     -20.7885     -20.7885      0.0000
  QRF00005_FQ670204.1            73     -20.7885     -20.7885      0.0000
  QRF00005_FQ670204.1            73     -20.7885     -20.7885      0.0000
  QRF00005_FQ670204.1            73     -20.7885     -20.7885      0.0000
  QRF00005_FQ670178.1            73     -20.7885     -20.7885      0.0000
  QRF00005_FQ670178.1            73     -20.7885     -20.7885      0.0000
  QRF00005_FQ670178.1            73     -20.7885     -20.7885      0.0000
  QRF00005_FQ670178.1            73     -20.7885     -20.7885      0.0000
  QRF00005_FQ312006.1            73     -20.7885     -20.7885      0.0000
  QRF00005_FQ312006.1            73     -20.7885     -20.7885      0.0000
  QRF00005_FQ312006.1            73     -20.7885     -20.7885      0.0000
  QRF00005_FQ312002.1            73     -20.7885     -20.7885      0.0000
  QRF00005_FQ312002.1            73     -20.7885     -20.7885      0.0000
  QRF00005_FQ312002.1            73     -20.7885     -20.7885      0.0000
  QRF00005_EF196803.1            73     -20.7885     -20.7885      0.0000
  QRF00005_EF196803.1            73     -20.7885     -20.7885      0.0000
  QRF00005_CP003022.1            73     -20.7885     -20.7885      0.0000
  QRF00001_EU093378.1           119     -15.7543     -15.7543      0.0000
  QRF00001_AAAA02047827.1       119     -15.7543     -15.7543      0.0000
  QRF00001_AAAA02043281.1       119     -19.6912     -19.6912      0.0000
  QRF00001_EF064700.1           119     -15.2903     -15.2903      0.0000
  QRF00001_EF064692.1           119     -15.2903     -15.2903      0.0000
  QRF00001_EF064687.1           119     -15.2903     -15.2903      0.0000
  QRF00001_EF064680.1           119     -15.2903     -15.2903      0.0000
  QRF00001_EF064678.1           119     -15.2903     -15.2903      0.0000
  QRF00001_EF064556.1           119     -15.2903     -15.2903      0.0000
  QRF00001_AJ390135.1           119     -15.2903     -15.2903      0.0000
  QRF00001_HQ270965.1           119     -15.7543     -15.7543      0.0000
  QRF00001_GQ324770.1           119     -15.7543     -15.7543      0.0000
  QRF00001_FJ882503.1           119     -15.7543     -15.7543      0.0000
  QRF00001_AF550740.1           119     -15.7543     -15.7543      0.0000
  QRF00001_HQ270648.1           119     -15.7543     -15.7543      0.0000
  QRF00001_EU924818.1           119     -15.7543     -15.7543      0.0000
  QRF00001_EU093153.1           119     -15.7543     -15.7543      0.0000
  QRF00001_EF524209.1           119     -15.7543     -15.7543      0.0000
  QRF00001_AY316209.1           119     -15.7543     -15.7543      0.0000
  QRF00001_AY034674.1           119     -15.7543     -15.7543      0.0000
  QRF00001_AJ409525.1           119     -15.7543     -15.7543      0.0000
  QRF00001_AF550715.1           119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01010155.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01009775.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01009775.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01009775.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01009135.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01009119.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01009117.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01005845.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01005845.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01005844.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01005841.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01005839.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01005838.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01005838.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01005835.1       119     -15.7543     -15.7543      0.0000
  QRF00001_ABXC01005835.1       119     -15.7543     -15.7543      0.0000
  QRF00001_AAAA02039752.1       119     -15.7543     -15.7543      0.0000
  QRF00001_EU925066.1           119     -15.7543     -15.7543      0.0000
  QRF00001_EU093209.1           119     -15.7543     -15.7543      0.0000
  QRF00001_U02637.1             119     -15.7543     -15.7543      0.0000
  QRF00001_EU439291.1           119     -15.7543     -15.7543      0.0000
  QRF00001_EU439286.1           119     -15.7543     -15.7543      0.0000
  QRF00001_EU439284.1           119     -15.7543     -15.7543      0.0000
  QRF00001_EU439282.1           119     -15.7543     -15.7543      0.0000
  QRF00001_EU439280.1           119     -15.7543     -15.7543      0.0000
  QRF00001_EU439279.1           119     -15.7543     -15.7543      0.0000
  QRF00001_EU439278.1           119     -15.7543     -15.7543      0.0000
  QRF00001_EU439277.1           119     -15.7543     -15.7543      0.0000
  QRF01704_ACNY01000005.1        62     -33.9607     -33.9607      0.0000
  QRF01704_ADXL01000065.1        61     -37.3553     -37.3553      0.0000
  QRF01704_ADXL01000046.1        61     -37.7200     -37.7200      0.0000
  QRF01704_ADHP01001127.1        63     -27.1226     -27.1226      0.0000
  QRF01704_ADXM01000029.1        71     -31.9493     -31.9493      0.0000
  QRF01704_FJ869257.1            62     -35.0451     -35.0451      0.0000
  QRF01704_BX569692.1            62     -35.0451     -35.0451      0.0000
  QRF01704_AACY023835177.1       64     -35.5003     -35.5003      0.0000
  QRF01704_ACNY01000003.1        61     -35.0490     -35.0490      0.0000
  QRF01704_AACY020212823.1       62     -23.5930     -23.5930      0.0000
  QRF01704_GQ237222.1            58     -35.8477     -35.8477      0.0000
  QRF01704_ADHP01000860.1        64     -24.3853     -24.3853      0.0000
  QRF01704_AACY020313707.1       62     -30.8251     -30.8251      0.0000
  QRF01704_ACDW01000004.1        62     -23.9004     -23.9004      0.0000
  QRF01704_AACY022014507.1       62     -24.2194     -24.2194      0.0000
  QRF01704_ADHP01000878.1        59     -27.8517     -27.8517      0.0000
