# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01194.cm
# date:    Sat May 14 02:42:32 2016
# seed:    1463193752
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  sn2903                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:28.69       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -26.6580     -26.6580      0.0000
  QRF01739_AGJC01000011.1        62     -29.3359     -29.3359      0.0000
  QRF01739_AP012205.1            62     -28.9294     -28.9294      0.0000
  QRF01739_AEPQ01000180.1        85     -17.7471     -17.7471      0.0000
  QRF01739_AACY023065314.1       57     -32.2992     -32.2992      0.0000
  QRF01739_AACY020081009.1       57     -32.2992     -32.2992      0.0000
  QRF01739_ACSK01000180.1        92     -25.6025     -25.6025      0.0000
  QRF01739_BA000039.2           113     -21.9762     -21.9762      0.0000
  QRF01739_AACY023081145.1       53     -28.7473     -28.7473      0.0000
  QRF01739_AFSR01000238.1        99     -12.6696     -12.6696      0.0000
  QRF01739_AGJC01000003.1        76     -32.7620     -32.7620      0.0000
  QRF01739_AFSR01000146.1        92     -31.0166     -31.0166      0.0000
  QRF01739_CACA01000349.1        84     -26.3414     -26.3414      0.0000
  QRF01739_AACY022751187.1       52     -31.9782     -31.9782      0.0000
  QRF01739_AACY022283709.1       52     -31.9782     -31.9782      0.0000
  QRF01739_ABPS01003770.1       123     -20.8974     -20.8974      0.0000
  QRF01739_AFEJ01000345.1        83     -19.8682     -19.8682      0.0000
  QRF00005_CABR01000029.1        73     -27.9752     -27.9752      0.0000
  QRF00005_AFSR01002788.1        74     -19.1143     -19.1143      0.0000
  QRF00005_CP000927.1            72     -23.3941     -23.3941      0.0000
  QRF00005_AY741371.1            72     -23.1350     -23.1350      0.0000
  QRF00005_AEGR01000006.1        73     -25.8286     -25.8286      0.0000
  QRF00005_CP001189.1            73     -23.2072     -23.2072      0.0000
  QRF00005_CP000493.1            72     -28.9854     -28.9854      0.0000
  QRF00005_AP012159.1            73     -23.2072     -23.2072      0.0000
  QRF00005_AM889285.1            73     -23.2072     -23.2072      0.0000
  QRF00005_AGFR01000003.1        73     -18.9088     -18.9088      0.0000
  QRF00005_AFCH01000046.1        73     -23.2072     -23.2072      0.0000
  QRF00005_ADTV01000009.1        73     -23.2072     -23.2072      0.0000
  QRF00005_ABCE01000025.1        73     -17.4407     -17.4407      0.0000
  QRF00005_HM565909.1            72     -22.6016     -22.6016      0.0000
  QRF00005_CAFG01000441.1        73     -25.0496     -25.0496      0.0000
  QRF00005_AACY020656879.1       72     -20.6746     -20.6746      0.0000
  QRF00005_CP001744.1            73     -20.5880     -20.5880      0.0000
  QRF00005_CP000880.1            73     -23.2035     -23.2035      0.0000
  QRF00005_CACD01000012.1        73     -23.2035     -23.2035      0.0000
  QRF00005_CACD01000012.1        73     -23.2035     -23.2035      0.0000
  QRF00005_CACD01000012.1        73     -23.2035     -23.2035      0.0000
  QRF00005_AM849034.1            74     -25.1230     -25.1230      0.0000
  QRF00005_AM711867.1            74     -25.1230     -25.1230      0.0000
  QRF00005_AEQT01000005.1        73     -23.2035     -23.2035      0.0000
  QRF00005_AEQT01000005.1        73     -23.2035     -23.2035      0.0000
  QRF00005_ACDJ01000003.1        73     -23.2035     -23.2035      0.0000
  QRF00005_ABWL02000007.1        73     -23.2035     -23.2035      0.0000
  QRF00005_Z71579.1              73     -21.4629     -21.4629      0.0000
  QRF00005_X53782.1              73     -21.4629     -21.4629      0.0000
  QRF00005_M19391.1              73     -21.4629     -21.4629      0.0000
  QRF00005_M15314.1              73     -21.4629     -21.4629      0.0000
  QRF00005_L42023.1              73     -21.4629     -21.4629      0.0000
  QRF00005_L42023.1              73     -21.4629     -21.4629      0.0000
  QRF00005_L42023.1              73     -21.4629     -21.4629      0.0000
  QRF00005_FQ670204.1            73     -21.4629     -21.4629      0.0000
  QRF00005_FQ670204.1            73     -21.4629     -21.4629      0.0000
  QRF00005_FQ670204.1            73     -21.4629     -21.4629      0.0000
  QRF00005_FQ670178.1            73     -21.4629     -21.4629      0.0000
  QRF00005_FQ670178.1            73     -21.4629     -21.4629      0.0000
  QRF00005_FQ670178.1            73     -21.4629     -21.4629      0.0000
  QRF00005_FQ670178.1            73     -21.4629     -21.4629      0.0000
  QRF00005_FQ312006.1            73     -21.4629     -21.4629      0.0000
  QRF00005_FQ312006.1            73     -21.4629     -21.4629      0.0000
  QRF00005_FQ312006.1            73     -21.4629     -21.4629      0.0000
  QRF00005_FQ312002.1            73     -21.4629     -21.4629      0.0000
  QRF00005_FQ312002.1            73     -21.4629     -21.4629      0.0000
  QRF00005_FQ312002.1            73     -21.4629     -21.4629      0.0000
  QRF00005_EF196803.1            73     -21.4629     -21.4629      0.0000
  QRF00005_EF196803.1            73     -21.4629     -21.4629      0.0000
  QRF00005_CP003022.1            73     -21.4629     -21.4629      0.0000
  QRF00001_EU093378.1           119      -7.4188      -7.4188      0.0000
  QRF00001_AAAA02047827.1       119     -10.0348     -10.0348      0.0000
  QRF00001_AAAA02043281.1       119     -12.0278     -12.0278      0.0000
  QRF00001_EF064700.1           119      -7.3313      -7.3313      0.0000
  QRF00001_EF064692.1           119      -7.3313      -7.3313      0.0000
  QRF00001_EF064687.1           119      -7.3313      -7.3313      0.0000
  QRF00001_EF064680.1           119      -7.3313      -7.3313      0.0000
  QRF00001_EF064678.1           119      -7.3313      -7.3313      0.0000
  QRF00001_EF064556.1           119      -7.3313      -7.3313      0.0000
  QRF00001_AJ390135.1           119      -7.3313      -7.3313      0.0000
  QRF00001_HQ270965.1           119     -10.0348     -10.0348      0.0000
  QRF00001_GQ324770.1           119     -10.0348     -10.0348      0.0000
  QRF00001_FJ882503.1           119     -10.0348     -10.0348      0.0000
  QRF00001_AF550740.1           119     -10.0348     -10.0348      0.0000
  QRF00001_HQ270648.1           119     -10.0348     -10.0348      0.0000
  QRF00001_EU924818.1           119     -10.0348     -10.0348      0.0000
  QRF00001_EU093153.1           119     -10.0348     -10.0348      0.0000
  QRF00001_EF524209.1           119     -10.0348     -10.0348      0.0000
  QRF00001_AY316209.1           119     -10.0348     -10.0348      0.0000
  QRF00001_AY034674.1           119     -10.0348     -10.0348      0.0000
  QRF00001_AJ409525.1           119     -10.0348     -10.0348      0.0000
  QRF00001_AF550715.1           119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01010155.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01009775.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01009775.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01009775.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01009135.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01009119.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01009117.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01005845.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01005845.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01005844.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01005841.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01005839.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01005838.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01005838.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01005835.1       119     -10.0348     -10.0348      0.0000
  QRF00001_ABXC01005835.1       119     -10.0348     -10.0348      0.0000
  QRF00001_AAAA02039752.1       119     -10.0348     -10.0348      0.0000
  QRF00001_EU925066.1           119     -10.0348     -10.0348      0.0000
  QRF00001_EU093209.1           119     -10.0348     -10.0348      0.0000
  QRF00001_U02637.1             119     -10.0348     -10.0348      0.0000
  QRF00001_EU439291.1           119     -10.0348     -10.0348      0.0000
  QRF00001_EU439286.1           119     -10.0348     -10.0348      0.0000
  QRF00001_EU439284.1           119     -10.0348     -10.0348      0.0000
  QRF00001_EU439282.1           119     -10.0348     -10.0348      0.0000
  QRF00001_EU439280.1           119     -10.0348     -10.0348      0.0000
  QRF00001_EU439279.1           119     -10.0348     -10.0348      0.0000
  QRF00001_EU439278.1           119     -10.0348     -10.0348      0.0000
  QRF00001_EU439277.1           119     -10.0348     -10.0348      0.0000
  QRF01704_ACNY01000005.1        62     -30.2030     -30.2030      0.0000
  QRF01704_ADXL01000065.1        61     -34.6654     -34.6654      0.0000
  QRF01704_ADXL01000046.1        61     -34.9320     -34.9320      0.0000
  QRF01704_ADHP01001127.1        63     -34.1542     -34.1542      0.0000
  QRF01704_ADXM01000029.1        71     -30.4054     -30.4054      0.0000
  QRF01704_FJ869257.1            62     -34.2452     -34.2452      0.0000
  QRF01704_BX569692.1            62     -34.2452     -34.2452      0.0000
  QRF01704_AACY023835177.1       64     -29.2120     -29.2120      0.0000
  QRF01704_ACNY01000003.1        61     -32.2065     -32.2065      0.0000
  QRF01704_AACY020212823.1       62     -27.6728     -27.6728      0.0000
  QRF01704_GQ237222.1            58     -31.7486     -31.7486      0.0000
  QRF01704_ADHP01000860.1        64     -26.4668     -26.4668      0.0000
  QRF01704_AACY020313707.1       62     -33.1132     -33.1132      0.0000
  QRF01704_ACDW01000004.1        62     -27.5859     -27.5859      0.0000
  QRF01704_AACY022014507.1       62     -30.2989     -30.2989      0.0000
  QRF01704_ADHP01000878.1        59     -33.2994     -33.2994      0.0000
  QRF01704_AACY022415810.1       58     -29.9433     -29.9433      0.0000
  QRF01704_AACY020575673.1       58     -29.9433     -29.9433      0.0000
  QRF01704_ACNY01000005.1        59     -29.2996     -29.2996      0.0000
  QRF01704_ADHP01000854.1        63     -27.8810     -27.8810      0.0000
  QRF01704_GU936714.1            59     -31.4789     -31.4789      0.0000
  QRF01704_AACY021622950.1       62     -22.7467     -22.7467      0.0000
  QRF01704_CP000825.1            58     -32.6403     -32.6403      0.0000
  QRF01704_EU795157.1            64     -33.3047     -33.3047      0.0000
  QRF01704_ABVN01004790.1        61     -30.0266     -30.0266      0.0000
  QRF01704_ABMN01086741.1        60     -31.7300     -31.7300      0.0000
  QRF01704_DQ325539.1            60     -28.2853     -28.2853      0.0000
  QRF01704_ACNY01000005.1        62     -34.1051     -34.1051      0.0000
  QRF01704_ACNY01000004.1        60     -29.6284     -29.6284      0.0000
  QRF01704_ABVT01000061.1        57     -28.6189     -28.6189      0.0000
  QRF00023_CP001665.1           363     -16.4294     -16.4294      0.0000
  QRF00023_CP001509.3           363     -16.4294     -16.4294      0.0000
  QRF00023_CP000819.1           363     -16.4294     -16.4294      0.0000
