# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01009.cm
# date:    Sat May 14 04:50:40 2016
# seed:    1463201440
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mir-M7                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:27.90       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -10.9454     -10.9454      0.0000
  QRF01739_AGJC01000011.1        62     -16.0825     -16.0825      0.0000
  QRF01739_AP012205.1            62     -13.8135     -13.8135      0.0000
  QRF01739_AEPQ01000180.1        85      -7.1201      -7.1201      0.0000
  QRF01739_AACY023065314.1       57     -15.3107     -15.3107      0.0000
  QRF01739_AACY020081009.1       57     -15.3107     -15.3107      0.0000
  QRF01739_ACSK01000180.1        92     -15.7516     -15.7516      0.0000
  QRF01739_BA000039.2           113     -12.0164     -12.0164      0.0000
  QRF01739_AACY023081145.1       53     -14.7905     -14.7905      0.0000
  QRF01739_AFSR01000238.1        99      -3.5541      -3.5541      0.0000
  QRF01739_AGJC01000003.1        76     -13.4967     -13.4967      0.0000
  QRF01739_AFSR01000146.1        92     -11.0384     -11.0384      0.0000
  QRF01739_CACA01000349.1        84     -14.8235     -14.8235      0.0000
  QRF01739_AACY022751187.1       52     -19.2186     -19.2186      0.0000
  QRF01739_AACY022283709.1       52     -19.2186     -19.2186      0.0000
  QRF01739_ABPS01003770.1       123     -12.9134     -12.9134      0.0000
  QRF01739_AFEJ01000345.1        83     -14.9488     -14.9488      0.0000
  QRF00005_CABR01000029.1        73     -12.8199     -12.8199      0.0000
  QRF00005_AFSR01002788.1        74     -17.0457     -17.0457      0.0000
  QRF00005_CP000927.1            72     -11.0041     -11.0041      0.0000
  QRF00005_AY741371.1            72     -15.6638     -15.6638      0.0000
  QRF00005_AEGR01000006.1        73     -12.8199     -12.8199      0.0000
  QRF00005_CP001189.1            73     -12.2741     -12.2741      0.0000
  QRF00005_CP000493.1            72     -10.4365     -10.4365      0.0000
  QRF00005_AP012159.1            73     -12.2741     -12.2741      0.0000
  QRF00005_AM889285.1            73     -12.2741     -12.2741      0.0000
