ClustID	SigLvl	Count	MFE	AvgDist	Members
916	no	2	-	0.28	RF00012_22_24-36,RF00012_8_16-40
884	no	2	-	0.28	RF00010_54_30-36,RF00010_66_35-25
1713	no	2	-	0.29	RF00018_1_17-46,RF00018_6_44-30
38	**	3	-	0.32	RF00018_1_17-46,RF00018_6_44-30,RF00018_7_30-28
1392	no	2	-	0.32	RF00010_51_14-47,RF00010_95_49-13
1838	**	4	-	0.33	RF00018_1_17-46,RF00018_2_18-46,RF00018_6_44-30,RF00018_7_30-28
1672	no	2	-	0.33	RF00004_29_15-14,RF00004_6_37-46
856	**	3	-	0.35	RF00010_54_30-36,RF00010_66_35-25,RF00010_73_32-26
770	no	2	-	0.35	RF00010_3_16-19,RF00010_49_18-27
790	no	2	-	0.35	RF00019_13_14-19,RF00019_2_27-29
1023	**	5	-	0.35	RF00018_1_17-46,RF00018_2_18-46,RF00018_3_48-32,RF00018_6_44-30,RF00018_7_30-28
1753	no	2	-	0.35	RF00020_55_23-40,RF00020_62_31-36
1556	no	2	-	0.36	RF00004_23_49-35,RF00004_66_16-39
138	no	2	-	0.36	RF00010_63_43-29,RF00010_79_31-10
1410	no	2	-	0.36	RF00020_68_11-40,RF00020_69_15-45
1117	no	2	-	0.36	RF00013_13_40-15,RF00013_48_45-17
155	no	2	-	0.37	RF00010_44_28-26,RF00010_97_29-13
1425	**	3	-	0.37	RF00010_16_30-40,RF00010_3_16-19,RF00010_49_18-27
137	no	2	-	0.37	RF00010_35_31-10,RF00010_4_45-35
1630	no	2	-	0.37	RF00020_21_16-37,RF00020_6_18-46
753	no	2	-	0.38	RF00002_21_48-26,RF00002_6_14-44
917	no	2	-	0.38	RF00013_17_26-10,RF00013_18_46-13
1644	**	3	-	0.38	RF00010_63_43-29,RF00010_79_31-10,RF00010_8_27-50
744	no	2	-	0.39	RF00006_10_23-33,RF00006_32_24-49
206	**	6	-	0.39	RF00018_1_17-46,RF00018_2_18-46,RF00018_3_48-32,RF00018_4_50-23,RF00018_6_44-30,RF00018_7_30-28
1523	no	2	-	0.39	RF00015_19_42-28,RF00015_48_48-36
389	no	2	-	0.39	RF00009_20_35-10,RF00009_51_36-34
1388	no	2	-	0.39	RF00013_11_38-18,RF00013_37_15-41
863	**	3	-	0.39	RF00020_10_21-26,RF00020_68_11-40,RF00020_69_15-45
660	no	2	-	0.40	RF00007_26_48-27,RF00007_7_50-18
1812	**	4	-	0.40	RF00020_10_21-26,RF00020_35_12-13,RF00020_68_11-40,RF00020_69_15-45
1781	**	4	-	0.40	RF00020_21_16-37,RF00020_55_23-40,RF00020_62_31-36,RF00020_6_18-46
1444	no	2	-	0.40	RF00004_3_46-15,RF00004_62_31-25
1949	no	2	-	0.40	RF00019_11_19-25,RF00019_1_32-22
1670	**	3	-	0.41	RF00010_44_28-26,RF00010_97_29-13,RF00010_99_30-49
1930	no	2	-	0.41	RF00010_47_42-48,RF00010_48_37-24
122	no	2	-	0.41	RF00020_61_34-15,RF00020_73_20-20
233	no	2	-	0.41	RF00019_3_45-37,RF00019_9_24-24
901	no	2	-	0.41	RF00010_12_24-30,RF00010_96_22-36
1595	no	2	-	0.41	RF00020_14_29-29,RF00020_71_22-46
1718	no	2	-	0.41	RF00011_11_33-36,RF00011_8_37-44
1297	**	3	-	0.41	RF00010_12_24-30,RF00010_82_37-34,RF00010_96_22-36
548	**	4	-	0.41	RF00010_54_30-36,RF00010_55_25-28,RF00010_66_35-25,RF00010_73_32-26
8	no	2	-	0.42	RF00010_13_34-24,RF00010_53_50-28
1097	no	2	-	0.42	RF00004_51_33-24,RF00004_69_12-18
1132	**	3	-	0.42	RF00004_23_49-35,RF00004_39_11-20,RF00004_66_16-39
1428	no	2	-	0.43	RF00019_10_21-27,RF00019_7_18-49
1938	no	2	-	0.43	RF00010_40_38-39,RF00010_98_45-15
1151	**	4	-	0.43	RF00010_16_30-40,RF00010_3_16-19,RF00010_49_18-27,RF00010_57_14-11
457	no	2	-	0.43	RF00006_29_10-50,RF00006_36_25-24
1921	no	2	-	0.44	RF00007_12_47-36,RF00007_17_12-32
