# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01601.cm
# date:    Sat May 14 02:55:50 2016
# seed:    1463194550
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  plasmodium_snoR26          search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:57.33       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -61.6164     -61.6164      0.0000
  QRF01739_AGJC01000011.1        62     -61.8788     -61.8788      0.0000
  QRF01739_AP012205.1            62     -62.2244     -62.2244      0.0000
  QRF01739_AEPQ01000180.1        85     -48.3905     -48.3905      0.0000
  QRF01739_AACY023065314.1       57     -55.3650     -55.3650      0.0000
  QRF01739_AACY020081009.1       57     -55.3650     -55.3650      0.0000
  QRF01739_ACSK01000180.1        92     -58.9781     -58.9781      0.0000
  QRF01739_BA000039.2           113     -50.4129     -50.4129      0.0000
  QRF01739_AACY023081145.1       53     -61.2421     -61.2421      0.0000
  QRF01739_AFSR01000238.1        99     -59.5097     -59.5097      0.0000
  QRF01739_AGJC01000003.1        76     -51.9874     -51.9874      0.0000
  QRF01739_AFSR01000146.1        92     -60.9530     -60.9530      0.0000
  QRF01739_CACA01000349.1        84     -61.3055     -61.3055      0.0000
  QRF01739_AACY022751187.1       52     -63.8987     -63.8987      0.0000
  QRF01739_AACY022283709.1       52     -63.8987     -63.8987      0.0000
  QRF01739_ABPS01003770.1       123     -50.8307     -50.8307      0.0000
  QRF01739_AFEJ01000345.1        83     -59.8103     -59.8103      0.0000
  QRF00005_CABR01000029.1        73     -69.9787     -69.9787      0.0000
  QRF00005_AFSR01002788.1        74     -59.3735     -59.3735      0.0000
  QRF00005_CP000927.1            72     -60.6038     -60.6038      0.0000
  QRF00005_AY741371.1            72     -64.2471     -64.2471      0.0000
  QRF00005_AEGR01000006.1        73     -63.4969     -63.4969      0.0000
  QRF00005_CP001189.1            73     -63.1903     -63.1903      0.0000
  QRF00005_CP000493.1            72     -69.9955     -69.9955      0.0000
  QRF00005_AP012159.1            73     -63.1903     -63.1903      0.0000
  QRF00005_AM889285.1            73     -63.1903     -63.1903      0.0000
  QRF00005_AGFR01000003.1        73     -63.1443     -63.1443      0.0000
  QRF00005_AFCH01000046.1        73     -63.1903     -63.1903      0.0000
  QRF00005_ADTV01000009.1        73     -63.1903     -63.1903      0.0000
  QRF00005_ABCE01000025.1        73     -61.4887     -61.4887      0.0000
  QRF00005_HM565909.1            72     -62.2387     -62.2387      0.0000
