# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF00565.cm
# date:    Sun May  8 20:42:39 2016
# seed:    1462714959
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SCARNA3                    search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.59       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -46.9899     -46.9899      0.0000
  trna_2                         74     -51.4966     -51.4966      0.0000
  trna_3                         73     -46.9907     -46.9907      0.0000
  trna_4                         72     -49.0215     -49.0215      0.0000
  trna_5                         72     -49.9287     -49.9287      0.0000
  trna_6                         73     -47.7254     -47.7254      0.0000
  trna_7                         73     -46.8018     -46.8018      0.0000
  trna_8                         73     -45.7540     -45.7540      0.0000
  trna_9                         73     -43.0496     -43.0496      0.0000
  trna_10                        72     -43.6751     -43.6751      0.0000
  u5_1                          114     -34.1885     -34.1885      0.0000
  u5_2                          116     -36.0511     -36.0511      0.0000
  u5_3                          118     -28.8225     -28.8225      0.0000
  u5_4                          117     -25.9271     -25.9271      0.0000
  u5_5                          107     -32.7513     -32.7513      0.0000
  u5_6                          116     -25.8309     -25.8309      0.0000
  u5_7                          116     -30.3448     -30.3448      0.0000
  u5_8                          126     -32.6504     -32.6504      0.0000
  u5_9                          115     -24.5448     -24.5448      0.0000
  u5_10                         115     -32.8561     -32.8561      0.0000
  rrtWT_uc011zgd.1_2370         100     -30.5512     -30.5512      0.0000
  rrtWT_uc007ino.1_879          100     -35.5551     -35.5551      0.0000
  rrtWT_uc012dtn.1_1041         100     -42.3781     -42.3781      0.0000
  rrtWT_uc007bjr.2_621          100     -17.3724     -17.3724      0.0000
  rrtWT_uc008hom.1_603          100     -31.0953     -31.0953      0.0000
  rrtWT_uc007wki.1_323          100     -35.5661     -35.5661      0.0000
  rrtWT_uc008fec.1_254          100     -30.2518     -30.2518      0.0000
  rrtWT_uc007wxx.1_716          100     -32.8984     -32.8984      0.0000
  rrtWT_uc009qex.2_2789         100     -30.8107     -30.8107      0.0000
  rrtWT_uc007xbv.1_1165         100     -29.0517     -29.0517      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.55    1.07        0  0.00000    0.00
#
# CPU time: 1.14u 0.02s 00:00:01.15 Elapsed: 00:00:02
