# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF02029.cm
# date:    Sat May 14 03:28:04 2016
# seed:    1463196484
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  sraA                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:40.19       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -17.2080     -17.2080      0.0000
  QRF01739_AGJC01000011.1        62     -20.4630     -20.4630      0.0000
  QRF01739_AP012205.1            62     -21.4991     -21.4991      0.0000
  QRF01739_AEPQ01000180.1        85     -14.5351     -14.5351      0.0000
  QRF01739_AACY023065314.1       57     -10.8794     -10.8794      0.0000
  QRF01739_AACY020081009.1       57     -10.8794     -10.8794      0.0000
  QRF01739_ACSK01000180.1        92     -11.5600     -11.5600      0.0000
  QRF01739_BA000039.2           113     -14.1855     -14.1855      0.0000
  QRF01739_AACY023081145.1       53     -27.9421     -27.9421      0.0000
  QRF01739_AFSR01000238.1        99     -18.6272     -18.6272      0.0000
  QRF01739_AGJC01000003.1        76     -23.0213     -23.0213      0.0000
  QRF01739_AFSR01000146.1        92     -21.2529     -21.2529      0.0000
  QRF01739_CACA01000349.1        84     -19.9931     -19.9931      0.0000
  QRF01739_AACY022751187.1       52     -25.5481     -25.5481      0.0000
  QRF01739_AACY022283709.1       52     -25.5481     -25.5481      0.0000
  QRF01739_ABPS01003770.1       123     -16.3407     -16.3407      0.0000
  QRF01739_AFEJ01000345.1        83     -20.9321     -20.9321      0.0000
  QRF00005_CABR01000029.1        73     -24.2102     -24.2102      0.0000
  QRF00005_AFSR01002788.1        74     -24.7333     -24.7333      0.0000
  QRF00005_CP000927.1            72     -23.4705     -23.4705      0.0000
  QRF00005_AY741371.1            72     -27.5919     -27.5919      0.0000
  QRF00005_AEGR01000006.1        73     -23.5325     -23.5325      0.0000
  QRF00005_CP001189.1            73     -24.3824     -24.3824      0.0000
  QRF00005_CP000493.1            72     -28.9504     -28.9504      0.0000
  QRF00005_AP012159.1            73     -24.3824     -24.3824      0.0000
  QRF00005_AM889285.1            73     -24.3824     -24.3824      0.0000
  QRF00005_AGFR01000003.1        73     -20.8080     -20.8080      0.0000
  QRF00005_AFCH01000046.1        73     -24.3824     -24.3824      0.0000
  QRF00005_ADTV01000009.1        73     -24.3824     -24.3824      0.0000
  QRF00005_ABCE01000025.1        73     -19.6448     -19.6448      0.0000
  QRF00005_HM565909.1            72     -23.8209     -23.8209      0.0000
  QRF00005_CAFG01000441.1        73     -23.5325     -23.5325      0.0000
  QRF00005_AACY020656879.1       72     -24.7299     -24.7299      0.0000
  QRF00005_CP001744.1            73     -24.8403     -24.8403      0.0000
  QRF00005_CP000880.1            73     -21.1655     -21.1655      0.0000
  QRF00005_CACD01000012.1        73     -21.1655     -21.1655      0.0000
  QRF00005_CACD01000012.1        73     -21.1655     -21.1655      0.0000
  QRF00005_CACD01000012.1        73     -21.1655     -21.1655      0.0000
  QRF00005_AM849034.1            74     -20.6777     -20.6777      0.0000
  QRF00005_AM711867.1            74     -20.6777     -20.6777      0.0000
  QRF00005_AEQT01000005.1        73     -21.1655     -21.1655      0.0000
  QRF00005_AEQT01000005.1        73     -21.1655     -21.1655      0.0000
  QRF00005_ACDJ01000003.1        73     -21.1655     -21.1655      0.0000
  QRF00005_ABWL02000007.1        73     -21.1655     -21.1655      0.0000
  QRF00005_Z71579.1              73     -20.6195     -20.6195      0.0000
  QRF00005_X53782.1              73     -20.6195     -20.6195      0.0000
  QRF00005_M19391.1              73     -20.6195     -20.6195      0.0000
  QRF00005_M15314.1              73     -20.6195     -20.6195      0.0000
  QRF00005_L42023.1              73     -20.6195     -20.6195      0.0000
  QRF00005_L42023.1              73     -20.6195     -20.6195      0.0000
  QRF00005_L42023.1              73     -20.6195     -20.6195      0.0000
  QRF00005_FQ670204.1            73     -20.6195     -20.6195      0.0000
  QRF00005_FQ670204.1            73     -20.6195     -20.6195      0.0000
  QRF00005_FQ670204.1            73     -20.6195     -20.6195      0.0000
  QRF00005_FQ670178.1            73     -20.6195     -20.6195      0.0000
  QRF00005_FQ670178.1            73     -20.6195     -20.6195      0.0000
  QRF00005_FQ670178.1            73     -20.6195     -20.6195      0.0000
  QRF00005_FQ670178.1            73     -20.6195     -20.6195      0.0000
  QRF00005_FQ312006.1            73     -20.6195     -20.6195      0.0000
  QRF00005_FQ312006.1            73     -20.6195     -20.6195      0.0000
  QRF00005_FQ312006.1            73     -20.6195     -20.6195      0.0000
  QRF00005_FQ312002.1            73     -20.6195     -20.6195      0.0000
  QRF00005_FQ312002.1            73     -20.6195     -20.6195      0.0000
  QRF00005_FQ312002.1            73     -20.6195     -20.6195      0.0000
  QRF00005_EF196803.1            73     -20.6195     -20.6195      0.0000
  QRF00005_EF196803.1            73     -20.6195     -20.6195      0.0000
  QRF00005_CP003022.1            73     -20.6195     -20.6195      0.0000
  QRF00001_EU093378.1           119     -17.6636     -17.6636      0.0000
  QRF00001_AAAA02047827.1       119     -17.6636     -17.6636      0.0000
  QRF00001_AAAA02043281.1       119     -17.0317     -17.0317      0.0000
  QRF00001_EF064700.1           119     -16.8885     -16.8885      0.0000
  QRF00001_EF064692.1           119     -16.8885     -16.8885      0.0000
  QRF00001_EF064687.1           119     -16.8885     -16.8885      0.0000
  QRF00001_EF064680.1           119     -16.8885     -16.8885      0.0000
  QRF00001_EF064678.1           119     -16.8885     -16.8885      0.0000
  QRF00001_EF064556.1           119     -16.8885     -16.8885      0.0000
  QRF00001_AJ390135.1           119     -16.8885     -16.8885      0.0000
  QRF00001_HQ270965.1           119     -17.6636     -17.6636      0.0000
  QRF00001_GQ324770.1           119     -17.6636     -17.6636      0.0000
  QRF00001_FJ882503.1           119     -17.6636     -17.6636      0.0000
  QRF00001_AF550740.1           119     -17.6636     -17.6636      0.0000
  QRF00001_HQ270648.1           119     -17.6636     -17.6636      0.0000
  QRF00001_EU924818.1           119     -17.6636     -17.6636      0.0000
  QRF00001_EU093153.1           119     -17.6636     -17.6636      0.0000
  QRF00001_EF524209.1           119     -17.6636     -17.6636      0.0000
  QRF00001_AY316209.1           119     -17.6636     -17.6636      0.0000
  QRF00001_AY034674.1           119     -17.6636     -17.6636      0.0000
  QRF00001_AJ409525.1           119     -17.6636     -17.6636      0.0000
  QRF00001_AF550715.1           119     -17.6636     -17.6636      0.0000
  QRF00001_ABXC01010155.1       119     -17.6636     -17.6636      0.0000
  QRF00001_ABXC01009775.1       119     -17.6636     -17.6636      0.0000
  QRF00001_ABXC01009775.1       119     -17.6636     -17.6636      0.0000
  QRF00001_ABXC01009775.1       119     -17.6636     -17.6636      0.0000
  QRF00001_ABXC01009135.1       119     -17.6636     -17.6636      0.0000
  QRF00001_ABXC01009119.1       119     -17.6636     -17.6636      0.0000
  QRF00001_ABXC01009117.1       119     -17.6636     -17.6636      0.0000
  QRF00001_ABXC01005845.1       119     -17.6636     -17.6636      0.0000
  QRF00001_ABXC01005845.1       119     -17.6636     -17.6636      0.0000
