# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01944.cm
# date:    Fri May 13 20:42:03 2016
# seed:    1463172123
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mir-2518                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:47.66       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -25.4742     -25.4742      0.0000
  QRF01739_AGJC01000011.1        62     -20.7246     -20.7246      0.0000
  QRF01739_AP012205.1            62     -25.8362     -25.8362      0.0000
  QRF01739_AEPQ01000180.1        85     -20.3408     -20.3408      0.0000
  QRF01739_AACY023065314.1       57     -21.0173     -21.0173      0.0000
  QRF01739_AACY020081009.1       57     -21.0173     -21.0173      0.0000
  QRF01739_ACSK01000180.1        92     -21.0498     -21.0498      0.0000
  QRF01739_BA000039.2           113     -20.3144     -20.3144      0.0000
  QRF01739_AACY023081145.1       53     -26.3821     -26.3821      0.0000
  QRF01739_AFSR01000238.1        99     -22.9933     -22.9933      0.0000
  QRF01739_AGJC01000003.1        76     -14.0089     -14.0089      0.0000
  QRF01739_AFSR01000146.1        92     -21.8501     -21.8501      0.0000
  QRF01739_CACA01000349.1        84     -21.9427     -21.9427      0.0000
  QRF01739_AACY022751187.1       52     -26.2398     -26.2398      0.0000
  QRF01739_AACY022283709.1       52     -26.2398     -26.2398      0.0000
  QRF01739_ABPS01003770.1       123      -5.0899      -5.0899      0.0000
  QRF01739_AFEJ01000345.1        83     -22.3062     -22.3062      0.0000
  QRF00005_CABR01000029.1        73     -20.1324     -20.1324      0.0000
  QRF00005_AFSR01002788.1        74     -13.2500     -13.2500      0.0000
  QRF00005_CP000927.1            72     -18.2409     -18.2409      0.0000
  QRF00005_AY741371.1            72     -28.1206     -28.1206      0.0000
  QRF00005_AEGR01000006.1        73     -22.9104     -22.9104      0.0000
  QRF00005_CP001189.1            73     -20.3612     -20.3612      0.0000
  QRF00005_CP000493.1            72     -23.3788     -23.3788      0.0000
  QRF00005_AP012159.1            73     -20.3612     -20.3612      0.0000
  QRF00005_AM889285.1            73     -20.3612     -20.3612      0.0000
  QRF00005_AGFR01000003.1        73     -14.4756     -14.4756      0.0000
  QRF00005_AFCH01000046.1        73     -20.3612     -20.3612      0.0000
  QRF00005_ADTV01000009.1        73     -20.3612     -20.3612      0.0000
  QRF00005_ABCE01000025.1        73     -20.2655     -20.2655      0.0000
  QRF00005_HM565909.1            72     -24.0563     -24.0563      0.0000
  QRF00005_CAFG01000441.1        73     -22.3184     -22.3184      0.0000
  QRF00005_AACY020656879.1       72     -24.7624     -24.7624      0.0000
  QRF00005_CP001744.1            73     -19.4124     -19.4124      0.0000
  QRF00005_CP000880.1            73     -19.2912     -19.2912      0.0000
  QRF00005_CACD01000012.1        73     -19.2912     -19.2912      0.0000
  QRF00005_CACD01000012.1        73     -19.2912     -19.2912      0.0000
  QRF00005_CACD01000012.1        73     -19.2912     -19.2912      0.0000
  QRF00005_AM849034.1            74     -24.2392     -24.2392      0.0000
  QRF00005_AM711867.1            74     -24.2392     -24.2392      0.0000
  QRF00005_AEQT01000005.1        73     -19.2912     -19.2912      0.0000
  QRF00005_AEQT01000005.1        73     -19.2912     -19.2912      0.0000
  QRF00005_ACDJ01000003.1        73     -19.2912     -19.2912      0.0000
  QRF00005_ABWL02000007.1        73     -19.2912     -19.2912      0.0000
  QRF00005_Z71579.1              73     -22.0125     -22.0125      0.0000
  QRF00005_X53782.1              73     -22.0125     -22.0125      0.0000
  QRF00005_M19391.1              73     -22.0125     -22.0125      0.0000
  QRF00005_M15314.1              73     -22.0125     -22.0125      0.0000
  QRF00005_L42023.1              73     -22.0125     -22.0125      0.0000
  QRF00005_L42023.1              73     -22.0125     -22.0125      0.0000
  QRF00005_L42023.1              73     -22.0125     -22.0125      0.0000
  QRF00005_FQ670204.1            73     -22.0125     -22.0125      0.0000
  QRF00005_FQ670204.1            73     -22.0125     -22.0125      0.0000
  QRF00005_FQ670204.1            73     -22.0125     -22.0125      0.0000
  QRF00005_FQ670178.1            73     -22.0125     -22.0125      0.0000
  QRF00005_FQ670178.1            73     -22.0125     -22.0125      0.0000
  QRF00005_FQ670178.1            73     -22.0125     -22.0125      0.0000
  QRF00005_FQ670178.1            73     -22.0125     -22.0125      0.0000
  QRF00005_FQ312006.1            73     -22.0125     -22.0125      0.0000
  QRF00005_FQ312006.1            73     -22.0125     -22.0125      0.0000
  QRF00005_FQ312006.1            73     -22.0125     -22.0125      0.0000
  QRF00005_FQ312002.1            73     -22.0125     -22.0125      0.0000
  QRF00005_FQ312002.1            73     -22.0125     -22.0125      0.0000
  QRF00005_FQ312002.1            73     -22.0125     -22.0125      0.0000
  QRF00005_EF196803.1            73     -22.0125     -22.0125      0.0000
  QRF00005_EF196803.1            73     -22.0125     -22.0125      0.0000
  QRF00005_CP003022.1            73     -22.0125     -22.0125      0.0000
  QRF00001_EU093378.1           119      -9.0888      -9.0888      0.0000
  QRF00001_AAAA02047827.1       119      -8.3593      -8.3593      0.0000
