# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01571.cm
# date:    Fri May 13 22:20:52 2016
# seed:    1463178052
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  DdR35                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:21.74       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -11.2800     -11.2800      0.0000
  QRF01739_AGJC01000011.1        62     -16.8140     -16.8140      0.0000
  QRF01739_AP012205.1            62     -15.5146     -15.5146      0.0000
  QRF01739_AEPQ01000180.1        85     -11.0253     -11.0253      0.0000
  QRF01739_AACY023065314.1       57     -10.1780     -10.1780      0.0000
  QRF01739_AACY020081009.1       57     -10.1780     -10.1780      0.0000
  QRF01739_ACSK01000180.1        92     -13.4196     -13.4196      0.0000
  QRF01739_BA000039.2           113     -14.1181     -14.1181      0.0000
  QRF01739_AACY023081145.1       53     -24.5799     -24.5799      0.0000
  QRF01739_AFSR01000238.1        99     -17.0661     -17.0661      0.0000
  QRF01739_AGJC01000003.1        76     -12.3648     -12.3648      0.0000
  QRF01739_AFSR01000146.1        92     -17.5700     -17.5700      0.0000
  QRF01739_CACA01000349.1        84      -9.8751      -9.8751      0.0000
  QRF01739_AACY022751187.1       52     -17.9214     -17.9214      0.0000
  QRF01739_AACY022283709.1       52     -17.9214     -17.9214      0.0000
  QRF01739_ABPS01003770.1       123     -12.0400     -12.0400      0.0000
  QRF01739_AFEJ01000345.1        83      -6.0241      -6.0241      0.0000
  QRF00005_CABR01000029.1        73     -20.6868     -20.6868      0.0000
  QRF00005_AFSR01002788.1        74     -11.4770     -11.4770      0.0000
  QRF00005_CP000927.1            72     -11.4632     -11.4632      0.0000
  QRF00005_AY741371.1            72     -12.2910     -12.2910      0.0000
  QRF00005_AEGR01000006.1        73     -18.7266     -18.7266      0.0000
  QRF00005_CP001189.1            73     -12.6678     -12.6678      0.0000
  QRF00005_CP000493.1            72     -13.3865     -13.3865      0.0000
  QRF00005_AP012159.1            73     -12.6678     -12.6678      0.0000
  QRF00005_AM889285.1            73     -12.6678     -12.6678      0.0000
  QRF00005_AGFR01000003.1        73     -11.9969     -11.9969      0.0000
  QRF00005_AFCH01000046.1        73     -12.6678     -12.6678      0.0000
  QRF00005_ADTV01000009.1        73     -12.6678     -12.6678      0.0000
  QRF00005_ABCE01000025.1        73     -11.1453     -11.1453      0.0000
  QRF00005_HM565909.1            72     -12.2910     -12.2910      0.0000
  QRF00005_CAFG01000441.1        73     -18.7266     -18.7266      0.0000
  QRF00005_AACY020656879.1       72     -12.2910     -12.2910      0.0000
  QRF00005_CP001744.1            73     -12.5849     -12.5849      0.0000
  QRF00005_CP000880.1            73     -10.6442     -10.6442      0.0000
  QRF00005_CACD01000012.1        73     -10.6442     -10.6442      0.0000
  QRF00005_CACD01000012.1        73     -10.6442     -10.6442      0.0000
