# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01816.cm
# date:    Tue May 10 02:36:18 2016
# seed:    1462847778
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RsaA                       search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.57       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -21.3563     -21.3563      0.0000
  RF00418_AAIY01556911.1        141     -10.0354     -10.0354      0.0000
  RF00418_AAYZ01244227.1        137     -18.6972     -18.6972      0.0000
  RF00418_AF357386.1            126     -19.5416     -19.5416      0.0000
  RF00418_AABR04001620.1        135     -18.2161     -18.2161      0.0000
  RF00418_AAQQ01789110.1        137     -17.8459     -17.8459      0.0000
  RF00418_AJ609450.1            137     -22.3855     -22.3855      0.0000
  RF00418_AL590431.11           136     -26.6457     -26.6457      0.0000
  RF00418_AL049745.9            136     -20.1017     -20.1017      0.0000
  RF00418_ABDC01240840.1        136     -20.5818     -20.5818      0.0000
  RF00418_AAQR01162064.1        136     -17.6674     -17.6674      0.0000
  RF00418_AAEX02026315.1        137     -17.7940     -17.7940      0.0000
  RF00418_AANG01021210.1        136     -24.3617     -24.3617      0.0000
  RF00418_AAFC03027776.1        135     -12.5842     -12.5842      0.0000
  RF00418_AAPE01281662.1        136     -24.1405     -24.1405      0.0000
  RF00418_AALT01368588.1        136     -10.8810     -10.8810      0.0000
  RF00418_AAWR02038694.1        136     -24.0532     -24.0532      0.0000
  RF00418_AAGV020286123.1       137      -9.9425      -9.9425      0.0000
  RF00418_AAFR03052180.1        134      -6.5731      -6.5731      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.62    0.94        0  0.00000    0.00
#
# CPU time: 1.20u 0.00s 00:00:01.20 Elapsed: 00:00:01
