# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00556.cm
# date:    Fri May 13 23:16:15 2016
# seed:    1463181375
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  L19_leader                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:12.86       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -5.4548      -5.4548      0.0000
  QRF01739_AGJC01000011.1        62      -8.8458      -8.8458      0.0000
  QRF01739_AP012205.1            62      -8.2388      -8.2388      0.0000
  QRF01739_AEPQ01000180.1        85     -10.1100     -10.1100      0.0000
  QRF01739_AACY023065314.1       57      -6.3206      -6.3206      0.0000
  QRF01739_AACY020081009.1       57      -6.3206      -6.3206      0.0000
  QRF01739_ACSK01000180.1        92      -4.5005      -4.5005      0.0000
  QRF01739_BA000039.2           113      -8.3324      -8.3324      0.0000
  QRF01739_AACY023081145.1       53     -11.9024     -11.9024      0.0000
  QRF01739_AFSR01000238.1        99      -9.1780      -9.1780      0.0000
  QRF01739_AGJC01000003.1        76      -6.9465      -6.9465      0.0000
  QRF01739_AFSR01000146.1        92      -2.0121      -2.0121      0.0000
  QRF01739_CACA01000349.1        84      -8.0312      -8.0312      0.0000
  QRF01739_AACY022751187.1       52     -10.4633     -10.4633      0.0000
  QRF01739_AACY022283709.1       52     -10.4633     -10.4633      0.0000
  QRF01739_ABPS01003770.1       123      -6.9557      -6.9557      0.0000
  QRF01739_AFEJ01000345.1        83      -3.9177      -3.9177      0.0000
  QRF00005_CABR01000029.1        73      -8.7048      -8.7048      0.0000
  QRF00005_AFSR01002788.1        74     -10.5645     -10.5645      0.0000
  QRF00005_CP000927.1            72     -10.6300     -10.6300      0.0000
  QRF00005_AY741371.1            72      -5.1949      -5.1949      0.0000
  QRF00005_AEGR01000006.1        73      -8.7048      -8.7048      0.0000
  QRF00005_CP001189.1            73      -6.8208      -6.8208      0.0000
  QRF00005_CP000493.1            72      -5.9245      -5.9245      0.0000
  QRF00005_AP012159.1            73      -6.8208      -6.8208      0.0000
  QRF00005_AM889285.1            73      -6.8208      -6.8208      0.0000
  QRF00005_AGFR01000003.1        73      -8.2903      -8.2903      0.0000
  QRF00005_AFCH01000046.1        73      -6.8208      -6.8208      0.0000
  QRF00005_ADTV01000009.1        73      -6.8208      -6.8208      0.0000
  QRF00005_ABCE01000025.1        73      -9.0604      -9.0604      0.0000
  QRF00005_HM565909.1            72      -5.1278      -5.1278      0.0000
  QRF00005_CAFG01000441.1        73      -8.7048      -8.7048      0.0000
  QRF00005_AACY020656879.1       72      -8.2698      -8.2698      0.0000
  QRF00005_CP001744.1            73     -10.2258     -10.2258      0.0000
  QRF00005_CP000880.1            73      -3.6915      -3.6915      0.0000
  QRF00005_CACD01000012.1        73      -3.6915      -3.6915      0.0000
  QRF00005_CACD01000012.1        73      -3.6915      -3.6915      0.0000
  QRF00005_CACD01000012.1        73      -3.6915      -3.6915      0.0000
  QRF00005_AM849034.1            74      -6.6315      -6.6315      0.0000
  QRF00005_AM711867.1            74      -6.6315      -6.6315      0.0000
  QRF00005_AEQT01000005.1        73      -3.6915      -3.6915      0.0000
  QRF00005_AEQT01000005.1        73      -3.6915      -3.6915      0.0000
  QRF00005_ACDJ01000003.1        73      -3.6915      -3.6915      0.0000
  QRF00005_ABWL02000007.1        73      -3.6915      -3.6915      0.0000
  QRF00005_Z71579.1              73      -6.3817      -6.3817      0.0000
  QRF00005_X53782.1              73      -6.3817      -6.3817      0.0000
  QRF00005_M19391.1              73      -6.3817      -6.3817      0.0000
  QRF00005_M15314.1              73      -6.3817      -6.3817      0.0000
  QRF00005_L42023.1              73      -6.3817      -6.3817      0.0000
  QRF00005_L42023.1              73      -6.3817      -6.3817      0.0000
  QRF00005_L42023.1              73      -6.3817      -6.3817      0.0000
  QRF00005_FQ670204.1            73      -6.3817      -6.3817      0.0000
  QRF00005_FQ670204.1            73      -6.3817      -6.3817      0.0000
  QRF00005_FQ670204.1            73      -6.3817      -6.3817      0.0000
  QRF00005_FQ670178.1            73      -6.3817      -6.3817      0.0000
  QRF00005_FQ670178.1            73      -6.3817      -6.3817      0.0000
  QRF00005_FQ670178.1            73      -6.3817      -6.3817      0.0000
  QRF00005_FQ670178.1            73      -6.3817      -6.3817      0.0000
  QRF00005_FQ312006.1            73      -6.3817      -6.3817      0.0000
  QRF00005_FQ312006.1            73      -6.3817      -6.3817      0.0000
  QRF00005_FQ312006.1            73      -6.3817      -6.3817      0.0000
  QRF00005_FQ312002.1            73      -6.3817      -6.3817      0.0000
  QRF00005_FQ312002.1            73      -6.3817      -6.3817      0.0000
  QRF00005_FQ312002.1            73      -6.3817      -6.3817      0.0000
  QRF00005_EF196803.1            73      -6.3817      -6.3817      0.0000
  QRF00005_EF196803.1            73      -6.3817      -6.3817      0.0000
  QRF00005_CP003022.1            73      -6.3817      -6.3817      0.0000
  QRF00001_EU093378.1           119      -8.9455      -8.9455      0.0000
  QRF00001_AAAA02047827.1       119      -8.9455      -8.9455      0.0000
  QRF00001_AAAA02043281.1       119      -9.3707      -9.3707      0.0000
  QRF00001_EF064700.1           119      -8.4295      -8.4295      0.0000
  QRF00001_EF064692.1           119      -8.4295      -8.4295      0.0000
  QRF00001_EF064687.1           119      -8.4295      -8.4295      0.0000
  QRF00001_EF064680.1           119      -8.4295      -8.4295      0.0000
  QRF00001_EF064678.1           119      -8.4295      -8.4295      0.0000
  QRF00001_EF064556.1           119      -8.4295      -8.4295      0.0000
  QRF00001_AJ390135.1           119      -8.4295      -8.4295      0.0000
  QRF00001_HQ270965.1           119      -8.9455      -8.9455      0.0000
  QRF00001_GQ324770.1           119      -8.9455      -8.9455      0.0000
  QRF00001_FJ882503.1           119      -8.9455      -8.9455      0.0000
  QRF00001_AF550740.1           119      -8.9455      -8.9455      0.0000
  QRF00001_HQ270648.1           119      -8.9455      -8.9455      0.0000
  QRF00001_EU924818.1           119      -8.9455      -8.9455      0.0000
  QRF00001_EU093153.1           119      -8.9455      -8.9455      0.0000
  QRF00001_EF524209.1           119      -8.9455      -8.9455      0.0000
  QRF00001_AY316209.1           119      -8.9455      -8.9455      0.0000
  QRF00001_AY034674.1           119      -8.9455      -8.9455      0.0000
  QRF00001_AJ409525.1           119      -8.9455      -8.9455      0.0000
  QRF00001_AF550715.1           119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01010155.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01009775.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01009775.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01009775.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01009135.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01009119.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01009117.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01005845.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01005845.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01005844.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01005841.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01005839.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01005838.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01005838.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01005835.1       119      -8.9455      -8.9455      0.0000
  QRF00001_ABXC01005835.1       119      -8.9455      -8.9455      0.0000
  QRF00001_AAAA02039752.1       119      -8.9455      -8.9455      0.0000
  QRF00001_EU925066.1           119      -8.9455      -8.9455      0.0000
  QRF00001_EU093209.1           119      -8.9455      -8.9455      0.0000
  QRF00001_U02637.1             119      -8.9455      -8.9455      0.0000
  QRF00001_EU439291.1           119      -8.9455      -8.9455      0.0000
  QRF00001_EU439286.1           119      -8.9455      -8.9455      0.0000
  QRF00001_EU439284.1           119      -8.9455      -8.9455      0.0000
  QRF00001_EU439282.1           119      -8.9455      -8.9455      0.0000
  QRF00001_EU439280.1           119      -8.9455      -8.9455      0.0000
  QRF00001_EU439279.1           119      -8.9455      -8.9455      0.0000
  QRF00001_EU439278.1           119      -8.9455      -8.9455      0.0000
  QRF00001_EU439277.1           119      -8.9455      -8.9455      0.0000
  QRF01704_ACNY01000005.1        62     -10.9204     -10.9204      0.0000
  QRF01704_ADXL01000065.1        61     -10.9571     -10.9571      0.0000
  QRF01704_ADXL01000046.1        61     -10.2799     -10.2799      0.0000
  QRF01704_ADHP01001127.1        63     -12.2507     -12.2507      0.0000
  QRF01704_ADXM01000029.1        71      -5.3308      -5.3308      0.0000
  QRF01704_FJ869257.1            62     -10.9204     -10.9204      0.0000
  QRF01704_BX569692.1            62     -10.9204     -10.9204      0.0000
  QRF01704_AACY023835177.1       64     -10.5114     -10.5114      0.0000
  QRF01704_ACNY01000003.1        61      -8.7473      -8.7473      0.0000
  QRF01704_AACY020212823.1       62      -4.6656      -4.6656      0.0000
  QRF01704_GQ237222.1            58     -10.1879     -10.1879      0.0000
  QRF01704_ADHP01000860.1        64     -10.3530     -10.3530      0.0000
  QRF01704_AACY020313707.1       62     -10.5144     -10.5144      0.0000
  QRF01704_ACDW01000004.1        62      -9.1948      -9.1948      0.0000
  QRF01704_AACY022014507.1       62      -5.1306      -5.1306      0.0000
  QRF01704_ADHP01000878.1        59     -11.5766     -11.5766      0.0000
  QRF01704_AACY022415810.1       58     -12.9399     -12.9399      0.0000
  QRF01704_AACY020575673.1       58     -12.9399     -12.9399      0.0000
  QRF01704_ACNY01000005.1        59     -12.8217     -12.8217      0.0000
  QRF01704_ADHP01000854.1        63     -12.4870     -12.4870      0.0000
  QRF01704_GU936714.1            59     -10.9171     -10.9171      0.0000
  QRF01704_AACY021622950.1       62      -4.6888      -4.6888      0.0000
  QRF01704_CP000825.1            58     -12.9949     -12.9949      0.0000
  QRF01704_EU795157.1            64      -9.7024      -9.7024      0.0000
  QRF01704_ABVN01004790.1        61      -8.4786      -8.4786      0.0000
  QRF01704_ABMN01086741.1        60      -6.7488      -6.7488      0.0000
  QRF01704_DQ325539.1            60     -12.8217     -12.8217      0.0000
  QRF01704_ACNY01000005.1        62      -9.6858      -9.6858      0.0000
  QRF01704_ACNY01000004.1        60     -10.4459     -10.4459      0.0000
  QRF01704_ABVT01000061.1        57      -7.5584      -7.5584      0.0000
  QRF00023_CP001665.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP001509.3           363      -1.4151      -1.4151      0.0000
  QRF00023_CP000819.1           363      -1.4151      -1.4151      0.0000
  QRF00023_AM946981.2           363      -1.4151      -1.4151      0.0000
  QRF00023_ADTQ01000184.1       363      -1.4151      -1.4151      0.0000
  QRF00023_ADBT01000188.1       363      -1.4151      -1.4151      0.0000
  QRF00023_FN543093.2           364      -1.4151      -1.4151      0.0000
  QRF00023_AFAG01000033.1       363      -1.4151      -1.4151      0.0000
  QRF00023_AFAF01000014.1       363      -1.4151      -1.4151      0.0000
  QRF00023_ADUS01000034.1       363      -1.4151      -1.4151      0.0000
  QRF00023_U36840.1             363      -1.4151      -1.4151      0.0000
  QRF00023_FN649414.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CU928162.2           363      -1.4151      -1.4151      0.0000
  QRF00023_CU928161.2           363      -1.4151      -1.4151      0.0000
  QRF00023_CU928158.2           363      -1.4151      -1.4151      0.0000
  QRF00023_CU651637.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP003034.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP002797.2           363      -1.4151      -1.4151      0.0000
  QRF00023_CP002729.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP002516.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP002212.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP002211.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP002185.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP002167.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP001969.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP001855.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP001671.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP001637.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP001396.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP001383.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP000970.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP000948.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP000802.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP000243.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CP000038.1           363      -1.4151      -1.4151      0.0000
  QRF00023_CAFL01000074.1       363      -1.4151      -1.4151      0.0000
  QRF00023_CADZ01000057.1       363      -1.4151      -1.4151      0.0000
  QRF00023_BAAV01002786.1       363      -1.4151      -1.4151      0.0000
  QRF00023_AP012030.1           363      -1.4151      -1.4151      0.0000
  QRF00023_AP010960.1           363      -1.4151      -1.4151      0.0000
  QRF00023_AP010958.1           363      -1.4151      -1.4151      0.0000
  QRF00023_AP010953.1           363      -1.4151      -1.4151      0.0000
  QRF00023_AP009378.1           363      -1.4151      -1.4151      0.0000
  QRF00023_AP009240.1           363      -1.4151      -1.4151      0.0000
  QRF00023_AP009048.1           363      -1.4151      -1.4151      0.0000
  QRF00023_AJ304858.2           363      -1.4151      -1.4151      0.0000
  QRF00023_AGTK01000236.1       363      -1.4151      -1.4151      0.0000
  QRF00023_AGTJ01000345.1       363      -1.4151      -1.4151      0.0000
  QRF00023_AGTI01000029.1       363      -1.4151      -1.4151      0.0000
  QRF00023_AGTH01000033.1       363      -1.4151      -1.4151      0.0000
  QRF00010_CP002738.1           351      -5.2849      -5.2849      0.0000
  QRF00010_ABSP01001676.1       350       1.0539       1.0539      0.0000
  QRF00010_FO082060.1           365      -1.9517      -1.9517      0.0000
  QRF00010_AFJF01000001.1       394       1.6396       1.6396      0.0000
  QRF00010_AEGW02000003.1       350       1.4598       1.4598      0.0000
  QRF00010_CP002086.1           354      -4.8174      -4.8174      0.0000
  QRF00010_ACJN02000001.1       533       4.6242       4.6242      0.0000
  QRF00010_CP002881.1           360       0.3850       0.3850      0.0000
  QRF00010_AFOH01000117.1       345       2.9313       2.9313      0.0000
  QRF00010_AACY020185705.1      350       2.6653       2.6653      0.0000
  QRF00010_AGSX01000193.1       359      -2.6914      -2.6914      0.0000
  QRF00010_AFWT01000009.1       368      -4.5229      -4.5229      0.0000
  QRF00010_FM209186.1           350      -2.6914      -2.6914      0.0000
  QRF00010_CP002496.1           350      -2.6914      -2.6914      0.0000
  QRF00010_CP000438.1           350      -2.6914      -2.6914      0.0000
  QRF00010_BADP01000198.1       350      -2.6914      -2.6914      0.0000
  QRF00010_AP012280.1           350      -2.6914      -2.6914      0.0000
  QRF00010_AFXK01000001.1       350      -2.6914      -2.6914      0.0000
  QRF00010_AFXJ01000001.1       350      -2.6914      -2.6914      0.0000
  QRF00010_AFXI01000001.1       350      -2.6914      -2.6914      0.0000
  QRF00010_AFNF01000315.1       350      -2.6914      -2.6914      0.0000
  QRF00010_AEVW01000050.1       350      -2.6914      -2.6914      0.0000
  QRF00010_AEVV01000076.1       350      -2.6914      -2.6914      0.0000
  QRF00010_AEEX01000069.1       350      -2.6914      -2.6914      0.0000
  QRF00010_AE004091.2           350      -2.6914      -2.6914      0.0000
  QRF00010_ACWU01000204.1       350      -2.6914      -2.6914      0.0000
  QRF00010_ABKZ01000485.1       350      -2.6914      -2.6914      0.0000
  QRF00010_CP002622.1           360       0.3850       0.3850      0.0000
  QRF00010_ABYY01000008.1       344      -0.0504      -0.0504      0.0000
  QRF00010_AACY020062040.1      355      -3.5657      -3.5657      0.0000
  QRF00010_AACY023745699.1      347      -1.7723      -1.7723      0.0000
  QRF00010_AGTR01000084.1       350      -1.2687      -1.2687      0.0000
  QRF00010_CP000937.1           344      -0.0504      -0.0504      0.0000
  QRF00010_ACKY01000130.1       336      -1.3738      -1.3738      0.0000
  QRF00010_AAQW01000001.1       350      -2.6914      -2.6914      0.0000
  QRF00010_AFZB01000010.1       349       1.2997       1.2997      0.0000
  QRF00010_AFOC01000030.1       349       1.2997       1.2997      0.0000
  QRF00010_ABSG01000028.1       354      -4.3878      -4.3878      0.0000
  QRF00010_ABSP01006958.1       367      -4.5229      -4.5229      0.0000
  QRF00010_CP000744.1           350      -2.6914      -2.6914      0.0000
  QRF00010_CP001978.1           350      -1.2687      -1.2687      0.0000
  QRF00010_AP011529.1           404      -2.9310      -2.9310      0.0000
  QRF00010_AGBG01000003.1       351      -0.9427      -0.9427      0.0000
  QRF00010_CR628336.1           373      -5.8465      -5.8465      0.0000
  QRF00010_CP001649.1           366      -0.6441      -0.6441      0.0000
  QRF00010_CP002870.1           360      -2.6914      -2.6914      0.0000
  QRF00010_AFFX01000011.1       358      -2.6914      -2.6914      0.0000
  QRF00010_CP002727.1           350       0.4433       0.4433      0.0000
  QRF00010_CP001798.1           351      -4.5229      -4.5229      0.0000
  QRF00010_AATN01000057.1       365      -0.2621      -0.2621      0.0000
  QRF01695_CP001875.2            88      -8.7926      -8.7926      0.0000
  QRF01695_AEAF01000460.1        87     -10.2002     -10.2002      0.0000
  QRF01695_AGAS01001096.1        87     -10.3445     -10.3445      0.0000
  QRF01695_AEAI01001819.1        87     -10.3445     -10.3445      0.0000
  QRF01695_AEAI01000880.1        87     -10.3445     -10.3445      0.0000
  QRF01695_ADMI01000085.1        87     -10.3445     -10.3445      0.0000
  QRF01695_BAEF01000009.1        88      -8.7926      -8.7926      0.0000
  QRF01695_AFTG01000340.1        87     -10.2002     -10.2002      0.0000
  QRF01695_HM236454.1            88      -5.1630      -5.1630      0.0000
  QRF01695_AM181176.4            87      -7.0814      -7.0814      0.0000
  QRF01695_AGFS01032870.1        87     -10.2002     -10.2002      0.0000
  QRF01695_AGCS01000002.1        87     -11.0305     -11.0305      0.0000
  QRF01695_AGCS01000002.1        87      -9.0852      -9.0852      0.0000
  QRF01695_CP002154.1            87      -6.9840      -6.9840      0.0000
  QRF01695_AEDL01000013.1        88      -5.9690      -5.9690      0.0000
  QRF01695_AGFS01106545.1        85     -10.1772     -10.1772      0.0000
  QRF01695_AGFS01092185.1        85     -10.1772     -10.1772      0.0000
  QRF01695_AFTG01000021.1        87     -13.6718     -13.6718      0.0000
  QRF01695_AM181176.4            87     -11.8454     -11.8454      0.0000
  QRF01695_HM752578.1            87     -10.5065     -10.5065      0.0000
  QRF01695_AGCS01000012.1        87      -1.3032      -1.3032      0.0000
  QRF01695_CADX01000041.1        88      -9.8279      -9.8279      0.0000
  QRF01695_CADW01000337.1        88      -9.8279      -9.8279      0.0000
  QRF01695_AGFS01169096.1        87      -9.9000      -9.9000      0.0000
  QRF01695_ACOQ01000013.1        87      -8.3977      -8.3977      0.0000
  QRF01695_AFOY01000061.1        86      -9.9201      -9.9201      0.0000
  QRF01695_AFOY01000051.1        87      -8.7635      -8.7635      0.0000
  QRF01695_AFOY01000012.1        86      -6.4208      -6.4208      0.0000
  QRF01695_CADX01000050.1        87      -8.1440      -8.1440      0.0000
  QRF01695_CADW01000142.1        87      -8.1440      -8.1440      0.0000
  QRF01695_BABY01000089.1        88      -5.7663      -5.7663      0.0000
  QRF01695_AFOY01000127.1        87     -10.2094     -10.2094      0.0000
  QRF01695_AF074874.1            88     -12.3862     -12.3862      0.0000
  QRF01695_AEAZ01000014.1        87     -10.3213     -10.3213      0.0000
  QRF01695_AFDY01000012.1        88     -10.2678     -10.2678      0.0000
  QRF01695_AELB01000018.1        88     -10.2678     -10.2678      0.0000
  QRF01695_AEAH01001308.1        87      -9.1120      -9.1120      0.0000
  QRF01695_CP002870.1            87      -8.7141      -8.7141      0.0000
  QRF01695_CADX01000071.1        86     -10.4578     -10.4578      0.0000
  QRF01695_CADW01000082.1        86     -10.4578     -10.4578      0.0000
  QRF01695_AGFS01033379.1        87      -9.9000      -9.9000      0.0000
  QRF01695_ADWS01000024.1        88      -5.4740      -5.4740      0.0000
  QRF01695_AFOY01000118.1        88      -9.7628      -9.7628      0.0000
  QRF01695_CP001657.1            88       2.0244       2.0244      0.0000
  QRF01695_CP001600.1            88      -5.0677      -5.0677      0.0000
  QRF01695_AERT01000006.1        88      -6.7700      -6.7700      0.0000
  QRF01695_ADUM01000119.1        88      -6.7700      -6.7700      0.0000
  QRF01695_AEAZ01000003.1        87     -12.6586     -12.6586      0.0000
  QRF01695_CP002585.1            87      -9.3985      -9.3985      0.0000
  QRF01695_CP002956.1            87      -5.3342      -5.3342      0.0000
  QRF01717_ADHP01001027.1        96      -6.6708      -6.6708      0.0000
  QRF01717_ADHP01001105.1        95      -5.3663      -5.3663      0.0000
  QRF01717_AACY020938794.1       96      -7.7596      -7.7596      0.0000
  QRF01717_AACY020892510.1       96      -7.7596      -7.7596      0.0000
  QRF01717_ADHP01000841.1        97      -7.0864      -7.0864      0.0000
  QRF01717_AACY022722874.1       96      -6.9804      -6.9804      0.0000
  QRF01717_ADHP01001079.1        96      -4.4567      -4.4567      0.0000
  QRF01717_ADHP01001075.1        95      -6.6708      -6.6708      0.0000
  QRF01717_AACY023901257.1       96      -4.4567      -4.4567      0.0000
  QRF01717_ADHP01001080.1        95      -9.4821      -9.4821      0.0000
  QRF01717_ADHP01001078.1        95      -4.4567      -4.4567      0.0000
  QRF01717_ADHP01000280.1        95      -9.4821      -9.4821      0.0000
  QRF01717_ADHP01001029.1        95      -9.4821      -9.4821      0.0000
  QRF01717_ADHP01001072.1        96      -6.0581      -6.0581      0.0000
  QRF01717_ADHP01001028.1        96      -4.4567      -4.4567      0.0000
  QRF01717_ADHP01001120.1        94      -8.8951      -8.8951      0.0000
  QRF01717_ADHP01001071.1        94      -6.4769      -6.4769      0.0000
  QRF01717_ADHP01000285.1        94      -6.4769      -6.4769      0.0000
