# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01765.cm
# date:    Sat May 14 02:55:21 2016
# seed:    1463194521
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  srg1                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:06:51.41       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -300.6023    -300.6023      0.0000
  QRF01739_AGJC01000011.1        62    -303.2670    -303.2670      0.0000
  QRF01739_AP012205.1            62    -300.6257    -300.6257      0.0000
  QRF01739_AEPQ01000180.1        85    -281.5680    -281.5680      0.0000
  QRF01739_AACY023065314.1       57    -307.4816    -307.4816      0.0000
  QRF01739_AACY020081009.1       57    -307.4816    -307.4816      0.0000
  QRF01739_ACSK01000180.1        92    -281.9789    -281.9789      0.0000
  QRF01739_BA000039.2           113    -260.8064    -260.8064      0.0000
  QRF01739_AACY023081145.1       53    -312.2168    -312.2168      0.0000
  QRF01739_AFSR01000238.1        99    -278.9716    -278.9716      0.0000
  QRF01739_AGJC01000003.1        76    -289.1261    -289.1261      0.0000
  QRF01739_AFSR01000146.1        92    -280.6785    -280.6785      0.0000
  QRF01739_CACA01000349.1        84    -291.7137    -291.7137      0.0000
  QRF01739_AACY022751187.1       52    -314.0775    -314.0775      0.0000
  QRF01739_AACY022283709.1       52    -314.0775    -314.0775      0.0000
  QRF01739_ABPS01003770.1       123    -255.8669    -255.8669      0.0000
  QRF01739_AFEJ01000345.1        83    -290.3625    -290.3625      0.0000
  QRF00005_CABR01000029.1        73    -298.2754    -298.2754      0.0000
