# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01882.cm
# date:    Sat May 14 01:23:11 2016
# seed:    1463188991
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  TUG1_1                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:55.11       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -44.6261     -44.6261      0.0000
  QRF01739_AGJC01000011.1        62     -45.3374     -45.3374      0.0000
  QRF01739_AP012205.1            62     -48.2270     -48.2270      0.0000
  QRF01739_AEPQ01000180.1        85     -36.8004     -36.8004      0.0000
  QRF01739_AACY023065314.1       57     -45.8437     -45.8437      0.0000
  QRF01739_AACY020081009.1       57     -45.8437     -45.8437      0.0000
  QRF01739_ACSK01000180.1        92     -37.6688     -37.6688      0.0000
  QRF01739_BA000039.2           113     -30.4217     -30.4217      0.0000
  QRF01739_AACY023081145.1       53     -47.6564     -47.6564      0.0000
  QRF01739_AFSR01000238.1        99     -42.8650     -42.8650      0.0000
  QRF01739_AGJC01000003.1        76     -35.4193     -35.4193      0.0000
  QRF01739_AFSR01000146.1        92     -45.5906     -45.5906      0.0000
  QRF01739_CACA01000349.1        84     -44.4457     -44.4457      0.0000
  QRF01739_AACY022751187.1       52     -49.2104     -49.2104      0.0000
  QRF01739_AACY022283709.1       52     -49.2104     -49.2104      0.0000
  QRF01739_ABPS01003770.1       123     -14.7988     -14.7988      0.0000
  QRF01739_AFEJ01000345.1        83     -41.3783     -41.3783      0.0000
  QRF00005_CABR01000029.1        73     -53.6107     -53.6107      0.0000
  QRF00005_AFSR01002788.1        74     -50.5829     -50.5829      0.0000
  QRF00005_CP000927.1            72     -48.7968     -48.7968      0.0000
  QRF00005_AY741371.1            72     -52.9622     -52.9622      0.0000
  QRF00005_AEGR01000006.1        73     -52.2204     -52.2204      0.0000
  QRF00005_CP001189.1            73     -47.7277     -47.7277      0.0000
  QRF00005_CP000493.1            72     -55.3304     -55.3304      0.0000
  QRF00005_AP012159.1            73     -47.7277     -47.7277      0.0000
  QRF00005_AM889285.1            73     -47.7277     -47.7277      0.0000
  QRF00005_AGFR01000003.1        73     -47.5323     -47.5323      0.0000
  QRF00005_AFCH01000046.1        73     -47.7277     -47.7277      0.0000
  QRF00005_ADTV01000009.1        73     -47.7277     -47.7277      0.0000
  QRF00005_ABCE01000025.1        73     -55.2742     -55.2742      0.0000
  QRF00005_HM565909.1            72     -51.3642     -51.3642      0.0000
  QRF00005_CAFG01000441.1        73     -49.2893     -49.2893      0.0000
  QRF00005_AACY020656879.1       72     -53.9362     -53.9362      0.0000
  QRF00005_CP001744.1            73     -53.2367     -53.2367      0.0000
  QRF00005_CP000880.1            73     -41.0452     -41.0452      0.0000
  QRF00005_CACD01000012.1        73     -41.0452     -41.0452      0.0000
  QRF00005_CACD01000012.1        73     -41.0452     -41.0452      0.0000
  QRF00005_CACD01000012.1        73     -41.0452     -41.0452      0.0000
  QRF00005_AM849034.1            74     -47.6963     -47.6963      0.0000
  QRF00005_AM711867.1            74     -47.6963     -47.6963      0.0000
  QRF00005_AEQT01000005.1        73     -41.0452     -41.0452      0.0000
  QRF00005_AEQT01000005.1        73     -41.0452     -41.0452      0.0000
  QRF00005_ACDJ01000003.1        73     -41.0452     -41.0452      0.0000
  QRF00005_ABWL02000007.1        73     -41.0452     -41.0452      0.0000
  QRF00005_Z71579.1              73     -50.7733     -50.7733      0.0000
  QRF00005_X53782.1              73     -50.7733     -50.7733      0.0000
  QRF00005_M19391.1              73     -50.7733     -50.7733      0.0000
  QRF00005_M15314.1              73     -50.7733     -50.7733      0.0000
  QRF00005_L42023.1              73     -50.7733     -50.7733      0.0000
  QRF00005_L42023.1              73     -50.7733     -50.7733      0.0000
  QRF00005_L42023.1              73     -50.7733     -50.7733      0.0000
  QRF00005_FQ670204.1            73     -50.7733     -50.7733      0.0000
  QRF00005_FQ670204.1            73     -50.7733     -50.7733      0.0000
  QRF00005_FQ670204.1            73     -50.7733     -50.7733      0.0000
  QRF00005_FQ670178.1            73     -50.7733     -50.7733      0.0000
  QRF00005_FQ670178.1            73     -50.7733     -50.7733      0.0000
  QRF00005_FQ670178.1            73     -50.7733     -50.7733      0.0000
  QRF00005_FQ670178.1            73     -50.7733     -50.7733      0.0000
  QRF00005_FQ312006.1            73     -50.7733     -50.7733      0.0000
  QRF00005_FQ312006.1            73     -50.7733     -50.7733      0.0000
  QRF00005_FQ312006.1            73     -50.7733     -50.7733      0.0000
  QRF00005_FQ312002.1            73     -50.7733     -50.7733      0.0000
  QRF00005_FQ312002.1            73     -50.7733     -50.7733      0.0000
  QRF00005_FQ312002.1            73     -50.7733     -50.7733      0.0000
  QRF00005_EF196803.1            73     -50.7733     -50.7733      0.0000
  QRF00005_EF196803.1            73     -50.7733     -50.7733      0.0000
  QRF00005_CP003022.1            73     -50.7733     -50.7733      0.0000
  QRF00001_EU093378.1           119     -40.7358     -40.7358      0.0000
  QRF00001_AAAA02047827.1       119     -40.6968     -40.6968      0.0000
  QRF00001_AAAA02043281.1       119     -39.0673     -39.0673      0.0000
  QRF00001_EF064700.1           119     -40.2101     -40.2101      0.0000
  QRF00001_EF064692.1           119     -40.2101     -40.2101      0.0000
  QRF00001_EF064687.1           119     -40.2101     -40.2101      0.0000
  QRF00001_EF064680.1           119     -40.2101     -40.2101      0.0000
  QRF00001_EF064678.1           119     -40.2101     -40.2101      0.0000
  QRF00001_EF064556.1           119     -40.2101     -40.2101      0.0000
  QRF00001_AJ390135.1           119     -40.2101     -40.2101      0.0000
  QRF00001_HQ270965.1           119     -40.6968     -40.6968      0.0000
  QRF00001_GQ324770.1           119     -40.6968     -40.6968      0.0000
  QRF00001_FJ882503.1           119     -40.6968     -40.6968      0.0000
  QRF00001_AF550740.1           119     -40.6968     -40.6968      0.0000
  QRF00001_HQ270648.1           119     -40.6968     -40.6968      0.0000
  QRF00001_EU924818.1           119     -40.6968     -40.6968      0.0000
  QRF00001_EU093153.1           119     -40.6968     -40.6968      0.0000
