# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01212.cm
# date:    Tue May 10 02:36:14 2016
# seed:    1462847774
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  sn2524                     search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.30       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -29.1056     -29.1056      0.0000
  RF00418_AAIY01556911.1        141     -28.0784     -28.0784      0.0000
  RF00418_AAYZ01244227.1        137     -27.2813     -27.2813      0.0000
  RF00418_AF357386.1            126     -26.8186     -26.8186      0.0000
  RF00418_AABR04001620.1        135     -27.0596     -27.0596      0.0000
  RF00418_AAQQ01789110.1        137     -23.7219     -23.7219      0.0000
  RF00418_AJ609450.1            137     -25.5238     -25.5238      0.0000
  RF00418_AL590431.11           136     -25.6201     -25.6201      0.0000
  RF00418_AL049745.9            136     -19.3015     -19.3015      0.0000
  RF00418_ABDC01240840.1        136     -28.1105     -28.1105      0.0000
  RF00418_AAQR01162064.1        136     -27.9931     -27.9931      0.0000
  RF00418_AAEX02026315.1        137     -31.0932     -31.0932      0.0000
  RF00418_AANG01021210.1        136     -36.5731     -36.5731      0.0000
  RF00418_AAFC03027776.1        135     -22.9908     -22.9908      0.0000
  RF00418_AAPE01281662.1        136     -28.7353     -28.7353      0.0000
  RF00418_AALT01368588.1        136     -26.8518     -26.8518      0.0000
  RF00418_AAWR02038694.1        136     -30.7556     -30.7556      0.0000
  RF00418_AAGV020286123.1       137     -20.8113     -20.8113      0.0000
  RF00418_AAFR03052180.1        134     -38.4708     -38.4708      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.67    0.45        0  0.00000    0.00
#
# CPU time: 0.97u 0.00s 00:00:00.97 Elapsed: 00:00:01
