# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01100.cm
# date:    Tue May 10 02:39:22 2016
# seed:    1462847962
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  PK-BYV                     search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.09       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -10.7448     -10.7448      0.0000
  RF00418_AAIY01556911.1        141      -7.2207      -7.2207      0.0000
  RF00418_AAYZ01244227.1        137     -10.4419     -10.4419      0.0000
  RF00418_AF357386.1            126     -10.1652     -10.1652      0.0000
  RF00418_AABR04001620.1        135     -12.2340     -12.2340      0.0000
  RF00418_AAQQ01789110.1        137      -5.9901      -5.9901      0.0000
  RF00418_AJ609450.1            137      -8.6726      -8.6726      0.0000
  RF00418_AL590431.11           136      -8.2811      -8.2811      0.0000
  RF00418_AL049745.9            136      -0.8218      -0.8218      0.0000
  RF00418_ABDC01240840.1        136      -9.8811      -9.8811      0.0000
  RF00418_AAQR01162064.1        136      -9.8811      -9.8811      0.0000
  RF00418_AAEX02026315.1        137      -2.7000      -2.7000      0.0000
  RF00418_AANG01021210.1        136      -3.1469      -3.1469      0.0000
  RF00418_AAFC03027776.1        135      -7.2555      -7.2555      0.0000
  RF00418_AAPE01281662.1        136     -12.7460     -12.7460      0.0000
  RF00418_AALT01368588.1        136       0.1719       0.1719      0.0000
  RF00418_AAWR02038694.1        136      -5.1583      -5.1583      0.0000
  RF00418_AAGV020286123.1       137      -2.7061      -2.7061      0.0000
  RF00418_AAFR03052180.1        134      -8.4716      -8.4716      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.35    0.26        0  0.00000    0.00
#
# CPU time: 0.44u 0.00s 00:00:00.44 Elapsed: 00:00:00
