# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00300.cm
# date:    Fri May 13 20:55:54 2016
# seed:    1463172954
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoZ221_snoR21b            search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:35.59       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -31.5791     -31.5791      0.0000
  QRF01739_AGJC01000011.1        62     -35.2111     -35.2111      0.0000
  QRF01739_AP012205.1            62     -27.9952     -27.9952      0.0000
  QRF01739_AEPQ01000180.1        85     -28.6679     -28.6679      0.0000
  QRF01739_AACY023065314.1       57     -36.4108     -36.4108      0.0000
  QRF01739_AACY020081009.1       57     -36.4108     -36.4108      0.0000
  QRF01739_ACSK01000180.1        92     -31.3417     -31.3417      0.0000
  QRF01739_BA000039.2           113     -27.1350     -27.1350      0.0000
  QRF01739_AACY023081145.1       53     -36.9004     -36.9004      0.0000
  QRF01739_AFSR01000238.1        99     -33.9806     -33.9806      0.0000
  QRF01739_AGJC01000003.1        76     -32.6717     -32.6717      0.0000
  QRF01739_AFSR01000146.1        92     -34.7066     -34.7066      0.0000
  QRF01739_CACA01000349.1        84     -32.2465     -32.2465      0.0000
  QRF01739_AACY022751187.1       52     -39.5176     -39.5176      0.0000
  QRF01739_AACY022283709.1       52     -39.5176     -39.5176      0.0000
  QRF01739_ABPS01003770.1       123     -17.7564     -17.7564      0.0000
  QRF01739_AFEJ01000345.1        83     -34.9248     -34.9248      0.0000
  QRF00005_CABR01000029.1        73     -36.7470     -36.7470      0.0000
  QRF00005_AFSR01002788.1        74     -31.7319     -31.7319      0.0000
  QRF00005_CP000927.1            72     -27.2209     -27.2209      0.0000
  QRF00005_AY741371.1            72     -29.8299     -29.8299      0.0000
  QRF00005_AEGR01000006.1        73     -36.1446     -36.1446      0.0000
  QRF00005_CP001189.1            73     -33.4585     -33.4585      0.0000
  QRF00005_CP000493.1            72     -42.0518     -42.0518      0.0000
  QRF00005_AP012159.1            73     -33.4585     -33.4585      0.0000
  QRF00005_AM889285.1            73     -33.4585     -33.4585      0.0000
  QRF00005_AGFR01000003.1        73     -30.4111     -30.4111      0.0000
  QRF00005_AFCH01000046.1        73     -33.4585     -33.4585      0.0000
  QRF00005_ADTV01000009.1        73     -33.4585     -33.4585      0.0000
  QRF00005_ABCE01000025.1        73     -21.2255     -21.2255      0.0000
  QRF00005_HM565909.1            72     -26.7769     -26.7769      0.0000
  QRF00005_CAFG01000441.1        73     -35.3444     -35.3444      0.0000
  QRF00005_AACY020656879.1       72     -29.9912     -29.9912      0.0000
  QRF00005_CP001744.1            73     -30.3280     -30.3280      0.0000
  QRF00005_CP000880.1            73     -28.0833     -28.0833      0.0000
  QRF00005_CACD01000012.1        73     -28.0833     -28.0833      0.0000
  QRF00005_CACD01000012.1        73     -28.0833     -28.0833      0.0000
  QRF00005_CACD01000012.1        73     -28.0833     -28.0833      0.0000
  QRF00005_AM849034.1            74     -19.4479     -19.4479      0.0000
  QRF00005_AM711867.1            74     -19.4479     -19.4479      0.0000
  QRF00005_AEQT01000005.1        73     -28.0833     -28.0833      0.0000
  QRF00005_AEQT01000005.1        73     -28.0833     -28.0833      0.0000
  QRF00005_ACDJ01000003.1        73     -28.0833     -28.0833      0.0000
  QRF00005_ABWL02000007.1        73     -28.0833     -28.0833      0.0000
  QRF00005_Z71579.1              73     -30.5053     -30.5053      0.0000
  QRF00005_X53782.1              73     -30.5053     -30.5053      0.0000
  QRF00005_M19391.1              73     -30.5053     -30.5053      0.0000
  QRF00005_M15314.1              73     -30.5053     -30.5053      0.0000
  QRF00005_L42023.1              73     -30.5053     -30.5053      0.0000
  QRF00005_L42023.1              73     -30.5053     -30.5053      0.0000
  QRF00005_L42023.1              73     -30.5053     -30.5053      0.0000
  QRF00005_FQ670204.1            73     -30.5053     -30.5053      0.0000
  QRF00005_FQ670204.1            73     -30.5053     -30.5053      0.0000
  QRF00005_FQ670204.1            73     -30.5053     -30.5053      0.0000
  QRF00005_FQ670178.1            73     -30.5053     -30.5053      0.0000
  QRF00005_FQ670178.1            73     -30.5053     -30.5053      0.0000
  QRF00005_FQ670178.1            73     -30.5053     -30.5053      0.0000
  QRF00005_FQ670178.1            73     -30.5053     -30.5053      0.0000
  QRF00005_FQ312006.1            73     -30.5053     -30.5053      0.0000
  QRF00005_FQ312006.1            73     -30.5053     -30.5053      0.0000
  QRF00005_FQ312006.1            73     -30.5053     -30.5053      0.0000
  QRF00005_FQ312002.1            73     -30.5053     -30.5053      0.0000
  QRF00005_FQ312002.1            73     -30.5053     -30.5053      0.0000
  QRF00005_FQ312002.1            73     -30.5053     -30.5053      0.0000
  QRF00005_EF196803.1            73     -30.5053     -30.5053      0.0000
  QRF00005_EF196803.1            73     -30.5053     -30.5053      0.0000
  QRF00005_CP003022.1            73     -30.5053     -30.5053      0.0000
  QRF00001_EU093378.1           119     -24.6147     -24.6147      0.0000
  QRF00001_AAAA02047827.1       119     -27.1086     -27.1086      0.0000
  QRF00001_AAAA02043281.1       119     -24.1517     -24.1517      0.0000
  QRF00001_EF064700.1           119     -24.1517     -24.1517      0.0000
  QRF00001_EF064692.1           119     -24.1517     -24.1517      0.0000
  QRF00001_EF064687.1           119     -24.1517     -24.1517      0.0000
  QRF00001_EF064680.1           119     -24.1517     -24.1517      0.0000
  QRF00001_EF064678.1           119     -24.1517     -24.1517      0.0000
  QRF00001_EF064556.1           119     -24.1517     -24.1517      0.0000
  QRF00001_AJ390135.1           119     -24.1517     -24.1517      0.0000
  QRF00001_HQ270965.1           119     -27.1086     -27.1086      0.0000
  QRF00001_GQ324770.1           119     -27.1086     -27.1086      0.0000
  QRF00001_FJ882503.1           119     -27.1086     -27.1086      0.0000
  QRF00001_AF550740.1           119     -27.1086     -27.1086      0.0000
  QRF00001_HQ270648.1           119     -22.0687     -22.0687      0.0000
  QRF00001_EU924818.1           119     -22.0687     -22.0687      0.0000
  QRF00001_EU093153.1           119     -22.0687     -22.0687      0.0000
  QRF00001_EF524209.1           119     -22.0687     -22.0687      0.0000
  QRF00001_AY316209.1           119     -22.0687     -22.0687      0.0000
  QRF00001_AY034674.1           119     -22.0687     -22.0687      0.0000
  QRF00001_AJ409525.1           119     -22.0687     -22.0687      0.0000
  QRF00001_AF550715.1           119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01010155.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01009775.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01009775.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01009775.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01009135.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01009119.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01009117.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01005845.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01005845.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01005844.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01005841.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01005839.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01005838.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01005838.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01005835.1       119     -22.0687     -22.0687      0.0000
  QRF00001_ABXC01005835.1       119     -22.0687     -22.0687      0.0000
  QRF00001_AAAA02039752.1       119     -24.1517     -24.1517      0.0000
  QRF00001_EU925066.1           119     -24.1517     -24.1517      0.0000
  QRF00001_EU093209.1           119     -24.1517     -24.1517      0.0000
  QRF00001_U02637.1             119     -24.1517     -24.1517      0.0000
  QRF00001_EU439291.1           119     -24.1517     -24.1517      0.0000
  QRF00001_EU439286.1           119     -24.1517     -24.1517      0.0000
  QRF00001_EU439284.1           119     -24.1517     -24.1517      0.0000
  QRF00001_EU439282.1           119     -24.1517     -24.1517      0.0000
  QRF00001_EU439280.1           119     -24.1517     -24.1517      0.0000
  QRF00001_EU439279.1           119     -24.1517     -24.1517      0.0000
  QRF00001_EU439278.1           119     -24.1517     -24.1517      0.0000
  QRF00001_EU439277.1           119     -24.1517     -24.1517      0.0000
  QRF01704_ACNY01000005.1        62     -40.1278     -40.1278      0.0000
  QRF01704_ADXL01000065.1        61     -39.3940     -39.3940      0.0000
  QRF01704_ADXL01000046.1        61     -43.3633     -43.3633      0.0000
  QRF01704_ADHP01001127.1        63     -36.0699     -36.0699      0.0000
  QRF01704_ADXM01000029.1        71     -37.7767     -37.7767      0.0000
  QRF01704_FJ869257.1            62     -42.0386     -42.0386      0.0000
  QRF01704_BX569692.1            62     -42.0386     -42.0386      0.0000
  QRF01704_AACY023835177.1       64     -40.2392     -40.2392      0.0000
  QRF01704_ACNY01000003.1        61     -41.3228     -41.3228      0.0000
  QRF01704_AACY020212823.1       62     -37.9796     -37.9796      0.0000
  QRF01704_GQ237222.1            58     -39.1530     -39.1530      0.0000
  QRF01704_ADHP01000860.1        64     -40.4855     -40.4855      0.0000
  QRF01704_AACY020313707.1       62     -44.0123     -44.0123      0.0000
  QRF01704_ACDW01000004.1        62     -39.0746     -39.0746      0.0000
  QRF01704_AACY022014507.1       62     -37.6936     -37.6936      0.0000
  QRF01704_ADHP01000878.1        59     -37.2513     -37.2513      0.0000
  QRF01704_AACY022415810.1       58     -37.1869     -37.1869      0.0000
  QRF01704_AACY020575673.1       58     -37.1869     -37.1869      0.0000
  QRF01704_ACNY01000005.1        59     -38.7036     -38.7036      0.0000
  QRF01704_ADHP01000854.1        63     -40.3052     -40.3052      0.0000
  QRF01704_GU936714.1            59     -44.2649     -44.2649      0.0000
  QRF01704_AACY021622950.1       62     -35.0623     -35.0623      0.0000
  QRF01704_CP000825.1            58     -39.2389     -39.2389      0.0000
  QRF01704_EU795157.1            64     -39.9597     -39.9597      0.0000
  QRF01704_ABVN01004790.1        61     -39.9985     -39.9985      0.0000
  QRF01704_ABMN01086741.1        60     -37.7375     -37.7375      0.0000
  QRF01704_DQ325539.1            60     -35.4150     -35.4150      0.0000
  QRF01704_ACNY01000005.1        62     -39.8658     -39.8658      0.0000
  QRF01704_ACNY01000004.1        60     -37.6769     -37.6769      0.0000
  QRF01704_ABVT01000061.1        57     -38.2653     -38.2653      0.0000
  QRF00023_CP001665.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP001509.3           363     -12.4274     -12.4274      0.0000
  QRF00023_CP000819.1           363     -12.4274     -12.4274      0.0000
  QRF00023_AM946981.2           363     -12.4274     -12.4274      0.0000
  QRF00023_ADTQ01000184.1       363     -12.4274     -12.4274      0.0000
  QRF00023_ADBT01000188.1       363     -12.4274     -12.4274      0.0000
  QRF00023_FN543093.2           364     -15.9105     -15.9105      0.0000
  QRF00023_AFAG01000033.1       363     -12.7464     -12.7464      0.0000
  QRF00023_AFAF01000014.1       363     -12.7464     -12.7464      0.0000
  QRF00023_ADUS01000034.1       363     -12.7464     -12.7464      0.0000
  QRF00023_U36840.1             363     -12.4274     -12.4274      0.0000
  QRF00023_FN649414.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CU928162.2           363     -12.4274     -12.4274      0.0000
  QRF00023_CU928161.2           363     -12.4274     -12.4274      0.0000
  QRF00023_CU928158.2           363     -12.4274     -12.4274      0.0000
  QRF00023_CU651637.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP003034.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP002797.2           363     -12.4274     -12.4274      0.0000
  QRF00023_CP002729.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP002516.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP002212.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP002211.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP002185.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP002167.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP001969.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP001855.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP001671.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP001637.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP001396.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP001383.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP000970.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP000948.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP000802.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP000243.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CP000038.1           363     -12.4274     -12.4274      0.0000
  QRF00023_CAFL01000074.1       363     -12.4274     -12.4274      0.0000
  QRF00023_CADZ01000057.1       363     -12.4274     -12.4274      0.0000
  QRF00023_BAAV01002786.1       363     -12.4274     -12.4274      0.0000
  QRF00023_AP012030.1           363     -12.4274     -12.4274      0.0000
  QRF00023_AP010960.1           363     -12.4274     -12.4274      0.0000
  QRF00023_AP010958.1           363     -12.4274     -12.4274      0.0000
  QRF00023_AP010953.1           363     -12.4274     -12.4274      0.0000
  QRF00023_AP009378.1           363     -12.4274     -12.4274      0.0000
  QRF00023_AP009240.1           363     -12.4274     -12.4274      0.0000
  QRF00023_AP009048.1           363     -12.4274     -12.4274      0.0000
  QRF00023_AJ304858.2           363     -12.4274     -12.4274      0.0000
  QRF00023_AGTK01000236.1       363     -12.4274     -12.4274      0.0000
  QRF00023_AGTJ01000345.1       363     -12.4274     -12.4274      0.0000
  QRF00023_AGTI01000029.1       363     -12.4274     -12.4274      0.0000
  QRF00023_AGTH01000033.1       363     -12.4274     -12.4274      0.0000
