# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01426.cm
# date:    Fri May 13 20:40:32 2016
# seed:    1463172032
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoR126                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:34.13       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -36.7210     -36.7210      0.0000
  QRF01739_AGJC01000011.1        62     -34.4347     -34.4347      0.0000
  QRF01739_AP012205.1            62     -28.7932     -28.7932      0.0000
  QRF01739_AEPQ01000180.1        85     -25.0633     -25.0633      0.0000
  QRF01739_AACY023065314.1       57     -30.7760     -30.7760      0.0000
  QRF01739_AACY020081009.1       57     -30.7760     -30.7760      0.0000
  QRF01739_ACSK01000180.1        92     -26.4554     -26.4554      0.0000
  QRF01739_BA000039.2           113     -20.0607     -20.0607      0.0000
  QRF01739_AACY023081145.1       53     -32.6833     -32.6833      0.0000
  QRF01739_AFSR01000238.1        99     -29.8712     -29.8712      0.0000
  QRF01739_AGJC01000003.1        76     -24.3095     -24.3095      0.0000
  QRF01739_AFSR01000146.1        92     -35.5243     -35.5243      0.0000
  QRF01739_CACA01000349.1        84     -27.0212     -27.0212      0.0000
  QRF01739_AACY022751187.1       52     -25.8097     -25.8097      0.0000
  QRF01739_AACY022283709.1       52     -25.8097     -25.8097      0.0000
  QRF01739_ABPS01003770.1       123     -25.9564     -25.9564      0.0000
  QRF01739_AFEJ01000345.1        83     -31.9912     -31.9912      0.0000
  QRF00005_CABR01000029.1        73     -27.6642     -27.6642      0.0000
  QRF00005_AFSR01002788.1        74     -30.0232     -30.0232      0.0000
  QRF00005_CP000927.1            72     -24.6261     -24.6261      0.0000
  QRF00005_AY741371.1            72     -32.1711     -32.1711      0.0000
  QRF00005_AEGR01000006.1        73     -31.3708     -31.3708      0.0000
  QRF00005_CP001189.1            73     -30.4898     -30.4898      0.0000
  QRF00005_CP000493.1            72     -37.0716     -37.0716      0.0000
  QRF00005_AP012159.1            73     -30.4898     -30.4898      0.0000
  QRF00005_AM889285.1            73     -30.4898     -30.4898      0.0000
  QRF00005_AGFR01000003.1        73     -31.9042     -31.9042      0.0000
  QRF00005_AFCH01000046.1        73     -30.4898     -30.4898      0.0000
  QRF00005_ADTV01000009.1        73     -30.4898     -30.4898      0.0000
  QRF00005_ABCE01000025.1        73     -23.1671     -23.1671      0.0000
  QRF00005_HM565909.1            72     -29.9892     -29.9892      0.0000
  QRF00005_CAFG01000441.1        73     -30.3598     -30.3598      0.0000
  QRF00005_AACY020656879.1       72     -30.2052     -30.2052      0.0000
  QRF00005_CP001744.1            73     -28.8561     -28.8561      0.0000
  QRF00005_CP000880.1            73     -25.1548     -25.1548      0.0000
  QRF00005_CACD01000012.1        73     -25.1548     -25.1548      0.0000
  QRF00005_CACD01000012.1        73     -25.1548     -25.1548      0.0000
  QRF00005_CACD01000012.1        73     -25.1548     -25.1548      0.0000
  QRF00005_AM849034.1            74     -32.5704     -32.5704      0.0000
  QRF00005_AM711867.1            74     -32.5704     -32.5704      0.0000
  QRF00005_AEQT01000005.1        73     -25.1548     -25.1548      0.0000
  QRF00005_AEQT01000005.1        73     -25.1548     -25.1548      0.0000
  QRF00005_ACDJ01000003.1        73     -25.1548     -25.1548      0.0000
  QRF00005_ABWL02000007.1        73     -25.1548     -25.1548      0.0000
  QRF00005_Z71579.1              73     -31.4480     -31.4480      0.0000
  QRF00005_X53782.1              73     -31.4480     -31.4480      0.0000
  QRF00005_M19391.1              73     -31.4480     -31.4480      0.0000
  QRF00005_M15314.1              73     -31.4480     -31.4480      0.0000
  QRF00005_L42023.1              73     -31.4480     -31.4480      0.0000
