# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00025.cm
# date:    Sat May 14 02:47:50 2016
# seed:    1463194070
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Telomerase-cil             search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:36.88       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -65.9708     -65.9708      0.0000
  QRF01739_AGJC01000011.1        62     -67.8461     -67.8461      0.0000
  QRF01739_AP012205.1            62     -69.8759     -69.8759      0.0000
  QRF01739_AEPQ01000180.1        85     -59.9364     -59.9364      0.0000
  QRF01739_AACY023065314.1       57     -71.0557     -71.0557      0.0000
  QRF01739_AACY020081009.1       57     -71.0557     -71.0557      0.0000
  QRF01739_ACSK01000180.1        92     -59.7961     -59.7961      0.0000
  QRF01739_BA000039.2           113     -51.7835     -51.7835      0.0000
  QRF01739_AACY023081145.1       53     -73.7548     -73.7548      0.0000
  QRF01739_AFSR01000238.1        99     -62.9227     -62.9227      0.0000
  QRF01739_AGJC01000003.1        76     -54.8957     -54.8957      0.0000
  QRF01739_AFSR01000146.1        92     -69.9920     -69.9920      0.0000
  QRF01739_CACA01000349.1        84     -55.7217     -55.7217      0.0000
  QRF01739_AACY022751187.1       52     -76.8906     -76.8906      0.0000
  QRF01739_AACY022283709.1       52     -76.8906     -76.8906      0.0000
  QRF01739_ABPS01003770.1       123     -48.4942     -48.4942      0.0000
  QRF01739_AFEJ01000345.1        83     -55.4809     -55.4809      0.0000
  QRF00005_CABR01000029.1        73     -66.1278     -66.2659      0.1382
  QRF00005_AFSR01002788.1        74     -60.6361     -60.6361      0.0000
  QRF00005_CP000927.1            72     -61.8726     -61.8726      0.0000
  QRF00005_AY741371.1            72     -63.2360     -63.2360      0.0000
  QRF00005_AEGR01000006.1        73     -58.1766     -58.1766      0.0000
  QRF00005_CP001189.1            73     -60.1319     -60.1319      0.0000
  QRF00005_CP000493.1            72     -65.3440     -65.3440      0.0000
  QRF00005_AP012159.1            73     -60.1319     -60.1319      0.0000
  QRF00005_AM889285.1            73     -60.1319     -60.1319      0.0000
  QRF00005_AGFR01000003.1        73     -59.5219     -59.5219      0.0000
  QRF00005_AFCH01000046.1        73     -60.1319     -60.1319      0.0000
