# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF01766.cm
# date:    Sun May  8 20:49:54 2016
# seed:    1462715394
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  cspA                       search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:02.62       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73    -210.0972    -210.0972      0.0000
  trna_2                         74    -203.3094    -203.3094      0.0000
  trna_3                         73    -203.4242    -203.4242      0.0000
  trna_4                         72    -212.4935    -212.4935      0.0000
  trna_5                         72    -210.8818    -210.8818      0.0000
  trna_6                         73    -209.7276    -209.7276      0.0000
  trna_7                         73    -212.2592    -212.2592      0.0000
  trna_8                         73    -207.4179    -207.4179      0.0000
  trna_9                         73    -215.5245    -215.5245      0.0000
  trna_10                        72    -210.7983    -210.7983      0.0000
  u5_1                          114    -176.7947    -176.7947      0.0000
  u5_2                          116    -176.0626    -176.0626      0.0000
  u5_3                          118    -176.3654    -176.3654      0.0000
  u5_4                          117    -169.2347    -169.2347      0.0000
  u5_5                          107    -188.5195    -188.5195      0.0000
  u5_6                          116    -177.5131    -177.5131      0.0000
  u5_7                          116    -175.0381    -175.0381      0.0000
  u5_8                          126    -170.3418    -170.3418      0.0000
  u5_9                          115    -182.8204    -182.8204      0.0000
  u5_10                         115    -178.3523    -178.3523      0.0000
  rrtWT_uc011zgd.1_2370         100    -184.4349    -184.4349      0.0000
  rrtWT_uc007ino.1_879          100    -183.3245    -183.3245      0.0000
  rrtWT_uc012dtn.1_1041         100    -190.0980    -190.0980      0.0000
  rrtWT_uc007bjr.2_621          100    -181.8496    -181.8496      0.0000
  rrtWT_uc008hom.1_603          100    -189.5365    -189.5365      0.0000
  rrtWT_uc007wki.1_323          100    -185.2451    -185.2451      0.0000
  rrtWT_uc008fec.1_254          100    -185.9422    -185.9422      0.0000
  rrtWT_uc007wxx.1_716          100    -179.4513    -179.4513      0.0000
  rrtWT_uc009qex.2_2789         100    -178.2450    -178.2450      0.0000
  rrtWT_uc007xbv.1_1165         100    -189.4418    -189.4418      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:01.88    1.39        0  0.00000    0.00
#
# CPU time: 4.50u 0.12s 00:00:04.62 Elapsed: 00:00:05
