# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01873.cm
# date:    Fri May 13 20:57:02 2016
# seed:    1463173022
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  PISRT1                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:46.01       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -24.3540     -24.3540      0.0000
  QRF01739_AGJC01000011.1        62     -25.2173     -25.2173      0.0000
  QRF01739_AP012205.1            62     -16.7474     -16.7474      0.0000
  QRF01739_AEPQ01000180.1        85     -13.2790     -13.2790      0.0000
  QRF01739_AACY023065314.1       57     -20.3932     -20.3932      0.0000
  QRF01739_AACY020081009.1       57     -20.3932     -20.3932      0.0000
  QRF01739_ACSK01000180.1        92     -12.8566     -12.8566      0.0000
  QRF01739_BA000039.2           113     -18.1016     -18.1016      0.0000
  QRF01739_AACY023081145.1       53     -25.7604     -25.7604      0.0000
  QRF01739_AFSR01000238.1        99     -17.2155     -17.2155      0.0000
  QRF01739_AGJC01000003.1        76     -15.1549     -15.1549      0.0000
  QRF01739_AFSR01000146.1        92     -20.0530     -20.0530      0.0000
  QRF01739_CACA01000349.1        84     -26.2618     -26.2618      0.0000
  QRF01739_AACY022751187.1       52     -30.0376     -30.0376      0.0000
  QRF01739_AACY022283709.1       52     -30.0376     -30.0376      0.0000
  QRF01739_ABPS01003770.1       123     -17.6153     -17.6153      0.0000
  QRF01739_AFEJ01000345.1        83     -19.9426     -19.9426      0.0000
  QRF00005_CABR01000029.1        73     -32.0405     -32.0405      0.0000
  QRF00005_AFSR01002788.1        74     -32.2480     -32.2480      0.0000
  QRF00005_CP000927.1            72     -30.6847     -30.6847      0.0000
  QRF00005_AY741371.1            72     -31.4271     -31.4271      0.0000
  QRF00005_AEGR01000006.1        73     -32.0906     -32.0906      0.0000
  QRF00005_CP001189.1            73     -28.6115     -28.6115      0.0000
  QRF00005_CP000493.1            72     -35.1299     -35.1299      0.0000
  QRF00005_AP012159.1            73     -28.6115     -28.6115      0.0000
  QRF00005_AM889285.1            73     -28.6115     -28.6115      0.0000
  QRF00005_AGFR01000003.1        73     -27.5405     -27.5405      0.0000
  QRF00005_AFCH01000046.1        73     -28.6115     -28.6115      0.0000
  QRF00005_ADTV01000009.1        73     -28.6115     -28.6115      0.0000
  QRF00005_ABCE01000025.1        73     -28.7138     -28.7138      0.0000
  QRF00005_HM565909.1            72     -32.3145     -32.3145      0.0000
  QRF00005_CAFG01000441.1        73     -32.0906     -32.0906      0.0000
  QRF00005_AACY020656879.1       72     -33.2743     -33.2743      0.0000
  QRF00005_CP001744.1            73     -29.0878     -29.0878      0.0000
  QRF00005_CP000880.1            73     -30.7819     -30.7819      0.0000
  QRF00005_CACD01000012.1        73     -30.7819     -30.7819      0.0000
  QRF00005_CACD01000012.1        73     -30.7819     -30.7819      0.0000
  QRF00005_CACD01000012.1        73     -30.7819     -30.7819      0.0000
  QRF00005_AM849034.1            74     -29.4653     -29.4653      0.0000
  QRF00005_AM711867.1            74     -29.4653     -29.4653      0.0000
  QRF00005_AEQT01000005.1        73     -30.7819     -30.7819      0.0000
  QRF00005_AEQT01000005.1        73     -30.7819     -30.7819      0.0000
  QRF00005_ACDJ01000003.1        73     -30.7819     -30.7819      0.0000
  QRF00005_ABWL02000007.1        73     -30.7819     -30.7819      0.0000
  QRF00005_Z71579.1              73     -31.4445     -31.4445      0.0000
  QRF00005_X53782.1              73     -31.4445     -31.4445      0.0000
  QRF00005_M19391.1              73     -31.4445     -31.4445      0.0000
  QRF00005_M15314.1              73     -31.4445     -31.4445      0.0000
  QRF00005_L42023.1              73     -31.4445     -31.4445      0.0000
  QRF00005_L42023.1              73     -31.4445     -31.4445      0.0000
  QRF00005_L42023.1              73     -31.4445     -31.4445      0.0000
  QRF00005_FQ670204.1            73     -31.4445     -31.4445      0.0000
  QRF00005_FQ670204.1            73     -31.4445     -31.4445      0.0000
  QRF00005_FQ670204.1            73     -31.4445     -31.4445      0.0000
  QRF00005_FQ670178.1            73     -31.4445     -31.4445      0.0000
  QRF00005_FQ670178.1            73     -31.4445     -31.4445      0.0000
  QRF00005_FQ670178.1            73     -31.4445     -31.4445      0.0000
  QRF00005_FQ670178.1            73     -31.4445     -31.4445      0.0000
  QRF00005_FQ312006.1            73     -31.4445     -31.4445      0.0000
  QRF00005_FQ312006.1            73     -31.4445     -31.4445      0.0000
  QRF00005_FQ312006.1            73     -31.4445     -31.4445      0.0000
  QRF00005_FQ312002.1            73     -31.4445     -31.4445      0.0000
  QRF00005_FQ312002.1            73     -31.4445     -31.4445      0.0000
  QRF00005_FQ312002.1            73     -31.4445     -31.4445      0.0000
  QRF00005_EF196803.1            73     -31.4445     -31.4445      0.0000
  QRF00005_EF196803.1            73     -31.4445     -31.4445      0.0000
  QRF00005_CP003022.1            73     -31.4445     -31.4445      0.0000
  QRF00001_EU093378.1           119     -26.6453     -26.6453      0.0000
  QRF00001_AAAA02047827.1       119     -28.7642     -28.7642      0.0000
  QRF00001_AAAA02043281.1       119     -26.0062     -26.0062      0.0000
  QRF00001_EF064700.1           119     -23.5303     -23.5303      0.0000
  QRF00001_EF064692.1           119     -23.5303     -23.5303      0.0000
  QRF00001_EF064687.1           119     -23.5303     -23.5303      0.0000
  QRF00001_EF064680.1           119     -23.5303     -23.5303      0.0000
  QRF00001_EF064678.1           119     -23.5303     -23.5303      0.0000
  QRF00001_EF064556.1           119     -23.5303     -23.5303      0.0000
  QRF00001_AJ390135.1           119     -23.5303     -23.5303      0.0000
  QRF00001_HQ270965.1           119     -28.7642     -28.7642      0.0000
  QRF00001_GQ324770.1           119     -28.7642     -28.7642      0.0000
  QRF00001_FJ882503.1           119     -28.7642     -28.7642      0.0000
  QRF00001_AF550740.1           119     -28.7642     -28.7642      0.0000
  QRF00001_HQ270648.1           119     -26.2073     -26.2073      0.0000
  QRF00001_EU924818.1           119     -26.2073     -26.2073      0.0000
  QRF00001_EU093153.1           119     -26.2073     -26.2073      0.0000
  QRF00001_EF524209.1           119     -26.2073     -26.2073      0.0000
  QRF00001_AY316209.1           119     -26.2073     -26.2073      0.0000
  QRF00001_AY034674.1           119     -26.2073     -26.2073      0.0000
  QRF00001_AJ409525.1           119     -26.2073     -26.2073      0.0000
  QRF00001_AF550715.1           119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01010155.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01009775.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01009775.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01009775.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01009135.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01009119.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01009117.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01005845.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01005845.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01005844.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01005841.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01005839.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01005838.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01005838.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01005835.1       119     -26.2073     -26.2073      0.0000
  QRF00001_ABXC01005835.1       119     -26.2073     -26.2073      0.0000
  QRF00001_AAAA02039752.1       119     -26.2073     -26.2073      0.0000
  QRF00001_EU925066.1           119     -26.2073     -26.2073      0.0000
  QRF00001_EU093209.1           119     -26.2073     -26.2073      0.0000
  QRF00001_U02637.1             119     -26.2073     -26.2073      0.0000
  QRF00001_EU439291.1           119     -26.2073     -26.2073      0.0000
  QRF00001_EU439286.1           119     -26.2073     -26.2073      0.0000
  QRF00001_EU439284.1           119     -26.2073     -26.2073      0.0000
  QRF00001_EU439282.1           119     -26.2073     -26.2073      0.0000
  QRF00001_EU439280.1           119     -26.2073     -26.2073      0.0000
  QRF00001_EU439279.1           119     -26.2073     -26.2073      0.0000
  QRF00001_EU439278.1           119     -26.2073     -26.2073      0.0000
  QRF00001_EU439277.1           119     -26.2073     -26.2073      0.0000
  QRF01704_ACNY01000005.1        62     -30.0406     -30.0406      0.0000
  QRF01704_ADXL01000065.1        61     -33.9755     -33.9755      0.0000
  QRF01704_ADXL01000046.1        61     -32.9675     -32.9675      0.0000
  QRF01704_ADHP01001127.1        63     -28.4938     -28.4938      0.0000
  QRF01704_ADXM01000029.1        71     -28.7877     -28.7877      0.0000
  QRF01704_FJ869257.1            62     -35.7411     -35.7411      0.0000
  QRF01704_BX569692.1            62     -35.7411     -35.7411      0.0000
  QRF01704_AACY023835177.1       64     -26.3386     -26.3386      0.0000
  QRF01704_ACNY01000003.1        61     -28.0029     -28.0029      0.0000
  QRF01704_AACY020212823.1       62     -31.1738     -31.1738      0.0000
  QRF01704_GQ237222.1            58     -33.2694     -33.2694      0.0000
  QRF01704_ADHP01000860.1        64     -27.3640     -27.3640      0.0000
  QRF01704_AACY020313707.1       62     -33.8576     -33.8576      0.0000
  QRF01704_ACDW01000004.1        62     -30.2851     -30.2851      0.0000
  QRF01704_AACY022014507.1       62     -29.4559     -29.4559      0.0000
  QRF01704_ADHP01000878.1        59     -27.7526     -27.7526      0.0000
  QRF01704_AACY022415810.1       58     -29.3575     -29.3575      0.0000
  QRF01704_AACY020575673.1       58     -29.3575     -29.3575      0.0000
  QRF01704_ACNY01000005.1        59     -32.3839     -32.3839      0.0000
  QRF01704_ADHP01000854.1        63     -30.5488     -30.5488      0.0000
  QRF01704_GU936714.1            59     -33.5961     -33.5961      0.0000
  QRF01704_AACY021622950.1       62     -31.1738     -31.1738      0.0000
  QRF01704_CP000825.1            58     -30.0095     -30.0095      0.0000
  QRF01704_EU795157.1            64     -28.5899     -28.5899      0.0000
  QRF01704_ABVN01004790.1        61     -35.3619     -35.3619      0.0000
  QRF01704_ABMN01086741.1        60     -28.2913     -28.2913      0.0000
  QRF01704_DQ325539.1            60     -34.5462     -34.5462      0.0000
  QRF01704_ACNY01000005.1        62     -28.4654     -28.4654      0.0000
  QRF01704_ACNY01000004.1        60     -33.0316     -33.0316      0.0000
  QRF01704_ABVT01000061.1        57     -21.9268     -21.9268      0.0000
  QRF00023_CP001665.1           363      -7.6061      -7.6061      0.0000
  QRF00023_CP001509.3           363      -7.6061      -7.6061      0.0000
  QRF00023_CP000819.1           363      -7.6061      -7.6061      0.0000
  QRF00023_AM946981.2           363      -7.6061      -7.6061      0.0000
  QRF00023_ADTQ01000184.1       363      -7.6061      -7.6061      0.0000
  QRF00023_ADBT01000188.1       363      -7.6061      -7.6061      0.0000
  QRF00023_FN543093.2           364     -12.8939     -12.8939      0.0000
  QRF00023_AFAG01000033.1       363      -8.6479      -8.6479      0.0000
  QRF00023_AFAF01000014.1       363      -8.6479      -8.6479      0.0000
  QRF00023_ADUS01000034.1       363      -8.6479      -8.6479      0.0000
  QRF00023_U36840.1             363     -10.2370     -10.2370      0.0000
  QRF00023_FN649414.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CU928162.2           363     -10.2370     -10.2370      0.0000
  QRF00023_CU928161.2           363     -10.2370     -10.2370      0.0000
  QRF00023_CU928158.2           363     -10.2370     -10.2370      0.0000
  QRF00023_CU651637.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP003034.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP002797.2           363     -10.2370     -10.2370      0.0000
  QRF00023_CP002729.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP002516.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP002212.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP002211.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP002185.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP002167.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP001969.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP001855.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP001671.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP001637.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP001396.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP001383.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP000970.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP000948.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP000802.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP000243.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CP000038.1           363     -10.2370     -10.2370      0.0000
  QRF00023_CAFL01000074.1       363     -10.2370     -10.2370      0.0000
