# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00548.cm
# date:    Sat May 14 01:36:05 2016
# seed:    1463189765
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  U11                        search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:32.42       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -42.6847     -42.6847      0.0000
  QRF01739_AGJC01000011.1        62     -38.4618     -38.4618      0.0000
  QRF01739_AP012205.1            62     -40.1610     -40.1610      0.0000
  QRF01739_AEPQ01000180.1        85     -38.5587     -38.5587      0.0000
  QRF01739_AACY023065314.1       57     -47.3564     -47.3564      0.0000
  QRF01739_AACY020081009.1       57     -47.3564     -47.3564      0.0000
  QRF01739_ACSK01000180.1        92     -35.3465     -35.3465      0.0000
  QRF01739_BA000039.2           113     -32.3196     -32.3196      0.0000
  QRF01739_AACY023081145.1       53     -50.9494     -50.9494      0.0000
  QRF01739_AFSR01000238.1        99     -37.0400     -37.0400      0.0000
  QRF01739_AGJC01000003.1        76     -41.5439     -41.5439      0.0000
  QRF01739_AFSR01000146.1        92     -41.5523     -41.5523      0.0000
  QRF01739_CACA01000349.1        84     -46.5596     -46.5596      0.0000
  QRF01739_AACY022751187.1       52     -53.3479     -53.3479      0.0000
  QRF01739_AACY022283709.1       52     -53.3479     -53.3479      0.0000
  QRF01739_ABPS01003770.1       123     -36.4017     -37.5922      1.1905
  QRF01739_AFEJ01000345.1        83     -44.4775     -44.4775      0.0000
  QRF00005_CABR01000029.1        73     -34.5083     -34.5083      0.0000
  QRF00005_AFSR01002788.1        74     -35.7281     -35.7281      0.0000
  QRF00005_CP000927.1            72     -35.8766     -35.8766      0.0000
  QRF00005_AY741371.1            72     -36.9079     -36.9079      0.0000
  QRF00005_AEGR01000006.1        73     -36.2263     -36.2263      0.0000
  QRF00005_CP001189.1            73     -35.1385     -35.1576      0.0191
  QRF00005_CP000493.1            72     -37.7393     -37.7393      0.0000
  QRF00005_AP012159.1            73     -35.1385     -35.1576      0.0191
  QRF00005_AM889285.1            73     -35.1385     -35.1576      0.0191
  QRF00005_AGFR01000003.1        73     -33.2855     -33.3046      0.0191
