# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01471.cm
# date:    Fri May 13 23:37:24 2016
# seed:    1463182644
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  rliB                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:03:01.11       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -170.7681    -170.7681      0.0000
  QRF01739_AGJC01000011.1        62    -166.3744    -166.3744      0.0000
  QRF01739_AP012205.1            62    -164.5361    -164.5361      0.0000
  QRF01739_AEPQ01000180.1        85    -153.4472    -153.4472      0.0000
  QRF01739_AACY023065314.1       57    -166.2604    -166.2604      0.0000
  QRF01739_AACY020081009.1       57    -166.2604    -166.2604      0.0000
  QRF01739_ACSK01000180.1        92    -160.3315    -160.3315      0.0000
  QRF01739_BA000039.2           113    -141.1214    -141.1214      0.0000
  QRF01739_AACY023081145.1       53    -174.5475    -174.5475      0.0000
  QRF01739_AFSR01000238.1        99    -161.9288    -161.9288      0.0000
  QRF01739_AGJC01000003.1        76    -163.2329    -163.2329      0.0000
  QRF01739_AFSR01000146.1        92    -163.4181    -163.4181      0.0000
  QRF01739_CACA01000349.1        84    -164.3813    -164.3813      0.0000
  QRF01739_AACY022751187.1       52    -177.3012    -177.3012      0.0000
  QRF01739_AACY022283709.1       52    -177.3012    -177.3012      0.0000
  QRF01739_ABPS01003770.1       123    -147.5772    -147.5772      0.0000
  QRF01739_AFEJ01000345.1        83    -159.0275    -159.0275      0.0000
  QRF00005_CABR01000029.1        73    -170.0254    -170.0254      0.0000
  QRF00005_AFSR01002788.1        74    -164.7574    -164.7574      0.0000
  QRF00005_CP000927.1            72    -172.9363    -172.9363      0.0000
  QRF00005_AY741371.1            72    -168.4747    -168.4747      0.0000
  QRF00005_AEGR01000006.1        73    -166.2173    -166.2173      0.0000
  QRF00005_CP001189.1            73    -169.1459    -169.1459      0.0000
  QRF00005_CP000493.1            72    -174.8870    -174.8870      0.0000
  QRF00005_AP012159.1            73    -169.1459    -169.1459      0.0000
  QRF00005_AM889285.1            73    -169.1459    -169.1459      0.0000
  QRF00005_AGFR01000003.1        73    -165.6155    -165.6155      0.0000
  QRF00005_AFCH01000046.1        73    -169.1459    -169.1459      0.0000
  QRF00005_ADTV01000009.1        73    -169.1459    -169.1459      0.0000
  QRF00005_ABCE01000025.1        73    -162.2184    -162.2184      0.0000
  QRF00005_HM565909.1            72    -167.5815    -167.5815      0.0000
  QRF00005_CAFG01000441.1        73    -166.4453    -166.4453      0.0000
  QRF00005_AACY020656879.1       72    -168.7798    -168.7798      0.0000
  QRF00005_CP001744.1            73    -167.5754    -167.5754      0.0000
  QRF00005_CP000880.1            73    -166.2633    -166.2633      0.0000
  QRF00005_CACD01000012.1        73    -166.2633    -166.2633      0.0000
  QRF00005_CACD01000012.1        73    -166.2633    -166.2633      0.0000
  QRF00005_CACD01000012.1        73    -166.2633    -166.2633      0.0000
  QRF00005_AM849034.1            74    -160.9737    -160.9737      0.0000
  QRF00005_AM711867.1            74    -160.9737    -160.9737      0.0000
  QRF00005_AEQT01000005.1        73    -166.2633    -166.2633      0.0000
