# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00365.cm
# date:    Fri May 13 20:39:09 2016
# seed:    1463171949
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mir-BHRF1-1                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:24.95       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -9.7904      -9.7904      0.0000
  QRF01739_AGJC01000011.1        62     -16.1465     -16.1465      0.0000
  QRF01739_AP012205.1            62     -16.2122     -16.2122      0.0000
  QRF01739_AEPQ01000180.1        85      -8.3527      -8.3527      0.0000
  QRF01739_AACY023065314.1       57     -15.3459     -15.3459      0.0000
  QRF01739_AACY020081009.1       57     -15.3459     -15.3459      0.0000
  QRF01739_ACSK01000180.1        92     -10.4222     -10.4222      0.0000
  QRF01739_BA000039.2           113     -15.0404     -15.0404      0.0000
  QRF01739_AACY023081145.1       53     -17.6606     -17.6606      0.0000
  QRF01739_AFSR01000238.1        99     -13.1660     -13.1660      0.0000
  QRF01739_AGJC01000003.1        76     -13.7658     -13.7658      0.0000
  QRF01739_AFSR01000146.1        92      -3.2965      -3.2965      0.0000
  QRF01739_CACA01000349.1        84     -14.8851     -14.8851      0.0000
  QRF01739_AACY022751187.1       52     -17.3678     -17.3678      0.0000
  QRF01739_AACY022283709.1       52     -17.3678     -17.3678      0.0000
  QRF01739_ABPS01003770.1       123      -7.4869      -7.4869      0.0000
  QRF01739_AFEJ01000345.1        83      -8.6850      -8.6850      0.0000
  QRF00005_CABR01000029.1        73     -15.3690     -15.3690      0.0000
  QRF00005_AFSR01002788.1        74     -17.7913     -17.7913      0.0000
  QRF00005_CP000927.1            72     -15.8787     -15.8787      0.0000
  QRF00005_AY741371.1            72     -14.6352     -14.6352      0.0000
  QRF00005_AEGR01000006.1        73     -12.5393     -12.5393      0.0000
  QRF00005_CP001189.1            73     -15.6866     -15.6866      0.0000
  QRF00005_CP000493.1            72     -11.8036     -11.8036      0.0000
  QRF00005_AP012159.1            73     -15.6866     -15.6866      0.0000
  QRF00005_AM889285.1            73     -15.6866     -15.6866      0.0000
  QRF00005_AGFR01000003.1        73     -12.5148     -12.5148      0.0000
  QRF00005_AFCH01000046.1        73     -15.6866     -15.6866      0.0000
  QRF00005_ADTV01000009.1        73     -15.6866     -15.6866      0.0000
  QRF00005_ABCE01000025.1        73     -15.7251     -15.7251      0.0000
  QRF00005_HM565909.1            72     -15.2067     -15.2067      0.0000
  QRF00005_CAFG01000441.1        73      -8.7533      -8.7533      0.0000
  QRF00005_AACY020656879.1       72     -11.0267     -11.0267      0.0000
  QRF00005_CP001744.1            73     -15.5871     -15.5871      0.0000
  QRF00005_CP000880.1            73     -14.3010     -14.3010      0.0000
  QRF00005_CACD01000012.1        73     -14.3010     -14.3010      0.0000
  QRF00005_CACD01000012.1        73     -14.3010     -14.3010      0.0000
  QRF00005_CACD01000012.1        73     -14.3010     -14.3010      0.0000
  QRF00005_AM849034.1            74     -15.5754     -15.5754      0.0000
  QRF00005_AM711867.1            74     -15.5754     -15.5754      0.0000
  QRF00005_AEQT01000005.1        73     -14.3010     -14.3010      0.0000
  QRF00005_AEQT01000005.1        73     -14.3010     -14.3010      0.0000
  QRF00005_ACDJ01000003.1        73     -14.3010     -14.3010      0.0000
  QRF00005_ABWL02000007.1        73     -14.3010     -14.3010      0.0000
  QRF00005_Z71579.1              73     -14.8057     -14.8057      0.0000
  QRF00005_X53782.1              73     -14.8057     -14.8057      0.0000
  QRF00005_M19391.1              73     -14.8057     -14.8057      0.0000
  QRF00005_M15314.1              73     -14.8057     -14.8057      0.0000
  QRF00005_L42023.1              73     -14.8057     -14.8057      0.0000
  QRF00005_L42023.1              73     -14.8057     -14.8057      0.0000
  QRF00005_L42023.1              73     -14.8057     -14.8057      0.0000
  QRF00005_FQ670204.1            73     -14.8057     -14.8057      0.0000
  QRF00005_FQ670204.1            73     -14.8057     -14.8057      0.0000
  QRF00005_FQ670204.1            73     -14.8057     -14.8057      0.0000
  QRF00005_FQ670178.1            73     -14.8057     -14.8057      0.0000
  QRF00005_FQ670178.1            73     -14.8057     -14.8057      0.0000
  QRF00005_FQ670178.1            73     -14.8057     -14.8057      0.0000
  QRF00005_FQ670178.1            73     -14.8057     -14.8057      0.0000
  QRF00005_FQ312006.1            73     -14.8057     -14.8057      0.0000
  QRF00005_FQ312006.1            73     -14.8057     -14.8057      0.0000
  QRF00005_FQ312006.1            73     -14.8057     -14.8057      0.0000
  QRF00005_FQ312002.1            73     -14.8057     -14.8057      0.0000
  QRF00005_FQ312002.1            73     -14.8057     -14.8057      0.0000
  QRF00005_FQ312002.1            73     -14.8057     -14.8057      0.0000
  QRF00005_EF196803.1            73     -14.8057     -14.8057      0.0000
  QRF00005_EF196803.1            73     -14.8057     -14.8057      0.0000
  QRF00005_CP003022.1            73     -14.8057     -14.8057      0.0000
  QRF00001_EU093378.1           119     -12.0721     -12.0721      0.0000
  QRF00001_AAAA02047827.1       119     -14.1722     -14.1722      0.0000
  QRF00001_AAAA02043281.1       119     -14.5582     -14.5582      0.0000
  QRF00001_EF064700.1           119     -13.3744     -13.3744      0.0000
  QRF00001_EF064692.1           119     -13.3744     -13.3744      0.0000
  QRF00001_EF064687.1           119     -13.3744     -13.3744      0.0000
  QRF00001_EF064680.1           119     -13.3744     -13.3744      0.0000
  QRF00001_EF064678.1           119     -13.3744     -13.3744      0.0000
  QRF00001_EF064556.1           119     -13.3744     -13.3744      0.0000
  QRF00001_AJ390135.1           119     -13.3744     -13.3744      0.0000
  QRF00001_HQ270965.1           119     -14.1722     -14.1722      0.0000
  QRF00001_GQ324770.1           119     -14.1722     -14.1722      0.0000
  QRF00001_FJ882503.1           119     -14.1722     -14.1722      0.0000
  QRF00001_AF550740.1           119     -14.1722     -14.1722      0.0000
  QRF00001_HQ270648.1           119     -14.1722     -14.1722      0.0000
  QRF00001_EU924818.1           119     -14.1722     -14.1722      0.0000
  QRF00001_EU093153.1           119     -14.1722     -14.1722      0.0000
  QRF00001_EF524209.1           119     -14.1722     -14.1722      0.0000
  QRF00001_AY316209.1           119     -14.1722     -14.1722      0.0000
  QRF00001_AY034674.1           119     -14.1722     -14.1722      0.0000
  QRF00001_AJ409525.1           119     -14.1722     -14.1722      0.0000
  QRF00001_AF550715.1           119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01010155.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01009775.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01009775.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01009775.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01009135.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01009119.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01009117.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01005845.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01005845.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01005844.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01005841.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01005839.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01005838.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01005838.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01005835.1       119     -14.1722     -14.1722      0.0000
  QRF00001_ABXC01005835.1       119     -14.1722     -14.1722      0.0000
  QRF00001_AAAA02039752.1       119     -13.0162     -13.0162      0.0000
  QRF00001_EU925066.1           119     -14.1722     -14.1722      0.0000
  QRF00001_EU093209.1           119     -14.1722     -14.1722      0.0000
  QRF00001_U02637.1             119     -14.1722     -14.1722      0.0000
  QRF00001_EU439291.1           119     -14.1722     -14.1722      0.0000
  QRF00001_EU439286.1           119     -14.1722     -14.1722      0.0000
  QRF00001_EU439284.1           119     -14.1722     -14.1722      0.0000
  QRF00001_EU439282.1           119     -14.1722     -14.1722      0.0000
  QRF00001_EU439280.1           119     -14.1722     -14.1722      0.0000
  QRF00001_EU439279.1           119     -14.1722     -14.1722      0.0000
  QRF00001_EU439278.1           119     -14.1722     -14.1722      0.0000
  QRF00001_EU439277.1           119     -14.1722     -14.1722      0.0000
  QRF01704_ACNY01000005.1        62     -20.5782     -21.3780      0.7999
  QRF01704_ADXL01000065.1        61     -17.2182     -17.2182      0.0000
  QRF01704_ADXL01000046.1        61     -13.8008     -13.8008      0.0000
  QRF01704_ADHP01001127.1        63     -16.4309     -16.4309      0.0000
  QRF01704_ADXM01000029.1        71     -13.8258     -13.8258      0.0000
  QRF01704_FJ869257.1            62     -14.0595     -14.0595      0.0000
  QRF01704_BX569692.1            62     -14.0595     -14.0595      0.0000
  QRF01704_AACY023835177.1       64     -18.1650     -18.1650      0.0000
  QRF01704_ACNY01000003.1        61     -19.0393     -19.0393      0.0000
  QRF01704_AACY020212823.1       62     -16.2152     -16.2152      0.0000
  QRF01704_GQ237222.1            58     -16.2905     -16.2905      0.0000
  QRF01704_ADHP01000860.1        64      -9.8417      -9.8417      0.0000
  QRF01704_AACY020313707.1       62     -14.7734     -14.7734      0.0000
  QRF01704_ACDW01000004.1        62     -16.2152     -16.2152      0.0000
  QRF01704_AACY022014507.1       62     -16.1397     -16.1397      0.0000
  QRF01704_ADHP01000878.1        59     -13.9391     -13.9391      0.0000
  QRF01704_AACY022415810.1       58     -15.3900     -15.3900      0.0000
  QRF01704_AACY020575673.1       58     -15.3900     -15.3900      0.0000
  QRF01704_ACNY01000005.1        59     -18.6754     -18.6754      0.0000
  QRF01704_ADHP01000854.1        63     -11.4139     -11.4139      0.0000
  QRF01704_GU936714.1            59     -14.8554     -14.8554      0.0000
  QRF01704_AACY021622950.1       62     -16.2152     -16.2152      0.0000
  QRF01704_CP000825.1            58     -18.8720     -18.8720      0.0000
  QRF01704_EU795157.1            64     -20.0703     -20.0703      0.0000
  QRF01704_ABVN01004790.1        61     -16.7643     -16.7643      0.0000
  QRF01704_ABMN01086741.1        60     -10.2546     -10.2546      0.0000
  QRF01704_DQ325539.1            60     -20.2967     -20.2967      0.0000
  QRF01704_ACNY01000005.1        62     -19.4282     -19.4282      0.0000
  QRF01704_ACNY01000004.1        60     -19.7563     -19.7563      0.0000
  QRF01704_ABVT01000061.1        57     -16.0941     -16.0941      0.0000
  QRF00023_CP001665.1           363       2.2919       2.2919      0.0000
  QRF00023_CP001509.3           363       2.2919       2.2919      0.0000
  QRF00023_CP000819.1           363       2.2919       2.2919      0.0000
  QRF00023_AM946981.2           363       2.2919       2.2919      0.0000
  QRF00023_ADTQ01000184.1       363       2.2919       2.2919      0.0000
  QRF00023_ADBT01000188.1       363       2.2919       2.2919      0.0000
  QRF00023_FN543093.2           364       2.2919       2.2919      0.0000
  QRF00023_AFAG01000033.1       363       2.2919       2.2919      0.0000
  QRF00023_AFAF01000014.1       363       2.2919       2.2919      0.0000
  QRF00023_ADUS01000034.1       363       2.2919       2.2919      0.0000
  QRF00023_U36840.1             363       2.2919       2.2919      0.0000
  QRF00023_FN649414.1           363       2.2919       2.2919      0.0000
  QRF00023_CU928162.2           363       2.2919       2.2919      0.0000
  QRF00023_CU928161.2           363       2.2919       2.2919      0.0000
  QRF00023_CU928158.2           363       2.2919       2.2919      0.0000
  QRF00023_CU651637.1           363       2.2919       2.2919      0.0000
  QRF00023_CP003034.1           363       2.2919       2.2919      0.0000
  QRF00023_CP002797.2           363       2.2919       2.2919      0.0000
  QRF00023_CP002729.1           363       2.2919       2.2919      0.0000
  QRF00023_CP002516.1           363       2.2919       2.2919      0.0000
  QRF00023_CP002212.1           363       2.2919       2.2919      0.0000
  QRF00023_CP002211.1           363       2.2919       2.2919      0.0000
  QRF00023_CP002185.1           363       2.2919       2.2919      0.0000
  QRF00023_CP002167.1           363       2.2919       2.2919      0.0000
  QRF00023_CP001969.1           363       2.2919       2.2919      0.0000
  QRF00023_CP001855.1           363       2.2919       2.2919      0.0000
  QRF00023_CP001671.1           363       2.2919       2.2919      0.0000
  QRF00023_CP001637.1           363       2.2919       2.2919      0.0000
  QRF00023_CP001396.1           363       2.2919       2.2919      0.0000
  QRF00023_CP001383.1           363       2.2919       2.2919      0.0000
  QRF00023_CP000970.1           363       2.2919       2.2919      0.0000
  QRF00023_CP000948.1           363       2.2919       2.2919      0.0000
  QRF00023_CP000802.1           363       2.2919       2.2919      0.0000
  QRF00023_CP000243.1           363       2.2919       2.2919      0.0000
  QRF00023_CP000038.1           363       2.2919       2.2919      0.0000
  QRF00023_CAFL01000074.1       363       2.2919       2.2919      0.0000
  QRF00023_CADZ01000057.1       363       2.2919       2.2919      0.0000
  QRF00023_BAAV01002786.1       363       2.2919       2.2919      0.0000
  QRF00023_AP012030.1           363       2.2919       2.2919      0.0000
  QRF00023_AP010960.1           363       2.2919       2.2919      0.0000
  QRF00023_AP010958.1           363       2.2919       2.2919      0.0000
  QRF00023_AP010953.1           363       2.2919       2.2919      0.0000
  QRF00023_AP009378.1           363       2.2919       2.2919      0.0000
  QRF00023_AP009240.1           363       2.2919       2.2919      0.0000
  QRF00023_AP009048.1           363       2.2919       2.2919      0.0000
  QRF00023_AJ304858.2           363       2.2919       2.2919      0.0000
  QRF00023_AGTK01000236.1       363       2.2919       2.2919      0.0000
  QRF00023_AGTJ01000345.1       363       2.2919       2.2919      0.0000
  QRF00023_AGTI01000029.1       363       2.2919       2.2919      0.0000
  QRF00023_AGTH01000033.1       363       2.2919       2.2919      0.0000
  QRF00010_CP002738.1           351     -11.1533     -11.1533      0.0000
  QRF00010_ABSP01001676.1       350     -10.1480     -10.1480      0.0000
  QRF00010_FO082060.1           365       3.2067       3.2067      0.0000
  QRF00010_AFJF01000001.1       394      -4.9060      -4.9060      0.0000
  QRF00010_AEGW02000003.1       350     -10.1480     -10.1480      0.0000
  QRF00010_CP002086.1           354     -10.4378     -10.4378      0.0000
  QRF00010_ACJN02000001.1       533       4.9615       4.9615      0.0000
  QRF00010_CP002881.1           360      -9.4413      -9.4413      0.0000
  QRF00010_AFOH01000117.1       345      -9.8044      -9.8044      0.0000
  QRF00010_AACY020185705.1      350     -10.9606     -10.9606      0.0000
  QRF00010_AGSX01000193.1       359     -11.1645     -11.1645      0.0000
  QRF00010_AFWT01000009.1       368      -8.7750      -8.7750      0.0000
  QRF00010_FM209186.1           350     -12.3629     -12.3629      0.0000
  QRF00010_CP002496.1           350     -12.3629     -12.3629      0.0000
  QRF00010_CP000438.1           350     -12.3629     -12.3629      0.0000
  QRF00010_BADP01000198.1       350     -12.3629     -12.3629      0.0000
  QRF00010_AP012280.1           350     -12.3629     -12.3629      0.0000
  QRF00010_AFXK01000001.1       350     -12.3629     -12.3629      0.0000
  QRF00010_AFXJ01000001.1       350     -12.3629     -12.3629      0.0000
  QRF00010_AFXI01000001.1       350     -12.3629     -12.3629      0.0000
  QRF00010_AFNF01000315.1       350     -12.3629     -12.3629      0.0000
  QRF00010_AEVW01000050.1       350     -12.3629     -12.3629      0.0000
  QRF00010_AEVV01000076.1       350     -12.3629     -12.3629      0.0000
  QRF00010_AEEX01000069.1       350     -12.3629     -12.3629      0.0000
  QRF00010_AE004091.2           350     -12.3629     -12.3629      0.0000
  QRF00010_ACWU01000204.1       350     -12.3629     -12.3629      0.0000
  QRF00010_ABKZ01000485.1       350     -12.3629     -12.3629      0.0000
  QRF00010_CP002622.1           360      -9.4413      -9.4413      0.0000
  QRF00010_ABYY01000008.1       344      -8.2371      -8.2371      0.0000
  QRF00010_AACY020062040.1      355      -5.4697      -5.4697      0.0000
  QRF00010_AACY023745699.1      347      -7.7329      -7.7329      0.0000
  QRF00010_AGTR01000084.1       350     -11.3654     -11.3654      0.0000
  QRF00010_CP000937.1           344      -8.2371      -8.2371      0.0000
  QRF00010_ACKY01000130.1       336     -10.5340     -10.5340      0.0000
  QRF00010_AAQW01000001.1       350     -12.3629     -12.3629      0.0000
  QRF00010_AFZB01000010.1       349      -4.5051      -4.5051      0.0000
  QRF00010_AFOC01000030.1       349      -4.5051      -4.5051      0.0000
  QRF00010_ABSG01000028.1       354     -10.2565     -10.2565      0.0000
  QRF00010_ABSP01006958.1       367      -9.9245      -9.9245      0.0000
  QRF00010_CP000744.1           350     -13.2289     -13.2289      0.0000
  QRF00010_CP001978.1           350     -11.3654     -11.3654      0.0000
  QRF00010_AP011529.1           404       6.6916       6.6916      0.0000
  QRF00010_AGBG01000003.1       351     -11.1648     -11.1648      0.0000
  QRF00010_CR628336.1           373      -7.1086      -7.1086      0.0000
  QRF00010_CP001649.1           366      -3.3875      -3.3875      0.0000
  QRF00010_CP002870.1           360      -9.7709      -9.7709      0.0000
  QRF00010_AFFX01000011.1       358      -9.4413      -9.4413      0.0000
  QRF00010_CP002727.1           350      -9.4413      -9.4413      0.0000
  QRF00010_CP001798.1           351     -11.0391     -11.0391      0.0000
  QRF00010_AATN01000057.1       365      -9.0046      -9.0046      0.0000
  QRF01695_CP001875.2            88     -14.9298     -14.9298      0.0000
  QRF01695_AEAF01000460.1        87      -5.2631      -5.2631      0.0000
  QRF01695_AGAS01001096.1        87       2.1809       2.1809      0.0000
  QRF01695_AEAI01001819.1        87       2.1809       2.1809      0.0000
  QRF01695_AEAI01000880.1        87       2.1809       2.1809      0.0000
  QRF01695_ADMI01000085.1        87       2.1809       2.1809      0.0000
  QRF01695_BAEF01000009.1        88     -11.8564     -11.8564      0.0000
  QRF01695_AFTG01000340.1        87      -5.2631      -5.2631      0.0000
  QRF01695_HM236454.1            88     -11.0198     -11.0198      0.0000
  QRF01695_AM181176.4            87     -11.9091     -11.9091      0.0000
  QRF01695_AGFS01032870.1        87     -12.8531     -12.8531      0.0000
  QRF01695_AGCS01000002.1        87      -5.9037      -5.9037      0.0000
  QRF01695_AGCS01000002.1        87      -9.3501      -9.3501      0.0000
  QRF01695_CP002154.1            87     -15.2381     -15.2381      0.0000
  QRF01695_AEDL01000013.1        88     -14.4210     -14.4210      0.0000
  QRF01695_AGFS01106545.1        85      -6.7568      -6.7568      0.0000
