# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00038.cm
# date:    Sat May 14 03:05:50 2016
# seed:    1463195150
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  PrfA                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:47.05       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -46.9164     -46.9164      0.0000
  QRF01739_AGJC01000011.1        62     -50.3647     -50.3647      0.0000
  QRF01739_AP012205.1            62     -47.3719     -47.3719      0.0000
  QRF01739_AEPQ01000180.1        85     -24.7627     -24.7627      0.0000
  QRF01739_AACY023065314.1       57     -44.1355     -44.1355      0.0000
  QRF01739_AACY020081009.1       57     -44.1355     -44.1355      0.0000
  QRF01739_ACSK01000180.1        92     -39.0405     -39.0405      0.0000
  QRF01739_BA000039.2           113     -33.1046     -33.1046      0.0000
  QRF01739_AACY023081145.1       53     -46.8041     -46.8041      0.0000
  QRF01739_AFSR01000238.1        99     -40.0383     -40.0383      0.0000
  QRF01739_AGJC01000003.1        76     -41.2211     -41.2211      0.0000
  QRF01739_AFSR01000146.1        92     -37.0435     -37.0435      0.0000
  QRF01739_CACA01000349.1        84     -36.7359     -36.7359      0.0000
  QRF01739_AACY022751187.1       52     -45.5189     -45.5189      0.0000
  QRF01739_AACY022283709.1       52     -45.5189     -45.5189      0.0000
  QRF01739_ABPS01003770.1       123     -27.1718     -27.1718      0.0000
  QRF01739_AFEJ01000345.1        83     -39.5841     -39.5841      0.0000
  QRF00005_CABR01000029.1        73     -53.9462     -53.9462      0.0000
  QRF00005_AFSR01002788.1        74     -46.7932     -46.7932      0.0000
  QRF00005_CP000927.1            72     -50.0929     -50.0929      0.0000
  QRF00005_AY741371.1            72     -45.5799     -45.5799      0.0000
  QRF00005_AEGR01000006.1        73     -46.6741     -46.6741      0.0000
  QRF00005_CP001189.1            73     -42.0927     -42.0927      0.0000
  QRF00005_CP000493.1            72     -54.7527     -54.7527      0.0000
  QRF00005_AP012159.1            73     -42.0927     -42.0927      0.0000
  QRF00005_AM889285.1            73     -42.0927     -42.0927      0.0000
  QRF00005_AGFR01000003.1        73     -42.6337     -42.6337      0.0000
