# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01313.cm
# date:    Fri May 13 23:17:45 2016
# seed:    1463181465
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  HHBV_epsilon               search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:18.92       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -20.0748     -20.0748      0.0000
  QRF01739_AGJC01000011.1        62     -17.0180     -17.0180      0.0000
  QRF01739_AP012205.1            62      -9.1209      -9.1209      0.0000
  QRF01739_AEPQ01000180.1        85      -6.8294      -6.8294      0.0000
  QRF01739_AACY023065314.1       57      -9.4181      -9.4181      0.0000
  QRF01739_AACY020081009.1       57      -9.4181      -9.4181      0.0000
  QRF01739_ACSK01000180.1        92     -16.1572     -16.1572      0.0000
  QRF01739_BA000039.2           113     -11.0079     -11.0079      0.0000
  QRF01739_AACY023081145.1       53     -18.2493     -18.2493      0.0000
  QRF01739_AFSR01000238.1        99     -17.6539     -17.6539      0.0000
  QRF01739_AGJC01000003.1        76      -9.8615      -9.8615      0.0000
  QRF01739_AFSR01000146.1        92     -12.5810     -12.5810      0.0000
  QRF01739_CACA01000349.1        84     -15.1050     -15.1050      0.0000
  QRF01739_AACY022751187.1       52     -18.8409     -18.8409      0.0000
  QRF01739_AACY022283709.1       52     -18.8409     -18.8409      0.0000
  QRF01739_ABPS01003770.1       123      -6.7599      -6.7599      0.0000
  QRF01739_AFEJ01000345.1        83      -4.7403      -4.7403      0.0000
  QRF00005_CABR01000029.1        73     -13.7641     -13.7641      0.0000
  QRF00005_AFSR01002788.1        74     -15.6000     -15.6000      0.0000
  QRF00005_CP000927.1            72     -10.1806     -10.1806      0.0000
  QRF00005_AY741371.1            72     -14.9961     -14.9961      0.0000
  QRF00005_AEGR01000006.1        73     -12.7318     -12.7318      0.0000
  QRF00005_CP001189.1            73     -13.5789     -13.5789      0.0000
  QRF00005_CP000493.1            72      -9.3995      -9.3995      0.0000
