# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF00622.cm
# date:    Sun May  8 20:43:44 2016
# seed:    1462715024
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  CPEB3_ribozyme             search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.31       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -13.7068     -13.7068      0.0000
  trna_2                         74     -14.6088     -14.6088      0.0000
  trna_3                         73     -19.9547     -19.9547      0.0000
  trna_4                         72     -15.5491     -15.5491      0.0000
  trna_5                         72     -13.0438     -13.0438      0.0000
  trna_6                         73     -15.2013     -15.2013      0.0000
  trna_7                         73     -23.0314     -23.0314      0.0000
  trna_8                         73     -12.8550     -12.8550      0.0000
  trna_9                         73     -16.9144     -16.9144      0.0000
  trna_10                        72     -13.2856     -13.2856      0.0000
  u5_1                          114     -13.5264     -13.5264      0.0000
  u5_2                          116     -16.3386     -16.3386      0.0000
  u5_3                          118     -11.2600     -11.2600      0.0000
  u5_4                          117     -10.3618     -10.3618      0.0000
  u5_5                          107     -12.2157     -12.2157      0.0000
  u5_6                          116     -17.1666     -17.1666      0.0000
  u5_7                          116     -10.4055     -10.4055      0.0000
  u5_8                          126     -10.3760     -10.3760      0.0000
  u5_9                          115     -15.3744     -15.3744      0.0000
  u5_10                         115     -12.5998     -12.5998      0.0000
  rrtWT_uc011zgd.1_2370         100     -12.8974     -12.8974      0.0000
  rrtWT_uc007ino.1_879          100     -13.0890     -13.0890      0.0000
  rrtWT_uc012dtn.1_1041         100     -19.2423     -19.2423      0.0000
  rrtWT_uc007bjr.2_621          100     -18.6433     -18.6433      0.0000
  rrtWT_uc008hom.1_603          100      -6.5199      -6.5199      0.0000
  rrtWT_uc007wki.1_323          100     -16.3655     -16.3655      0.0000
  rrtWT_uc008fec.1_254          100      -8.0242      -8.0242      0.0000
  rrtWT_uc007wxx.1_716          100     -10.6961     -10.6961      0.0000
  rrtWT_uc009qex.2_2789         100     -12.7274     -12.7274      0.0000
  rrtWT_uc007xbv.1_1165         100     -13.1765     -13.1765      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.53    0.58        0  0.00000    0.00
#
# CPU time: 0.84u 0.01s 00:00:00.85 Elapsed: 00:00:01
