# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00393.cm
# date:    Sat May 14 05:07:27 2016
# seed:    1463202447
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SNORA8                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:50.59       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -44.1702     -44.1702      0.0000
  QRF01739_AGJC01000011.1        62     -43.9545     -43.9545      0.0000
  QRF01739_AP012205.1            62     -36.5631     -36.5631      0.0000
  QRF01739_AEPQ01000180.1        85     -34.6342     -34.6342      0.0000
  QRF01739_AACY023065314.1       57     -47.0381     -47.0381      0.0000
  QRF01739_AACY020081009.1       57     -47.0381     -47.0381      0.0000
  QRF01739_ACSK01000180.1        92     -32.2611     -36.2381      3.9770
  QRF01739_BA000039.2           113     -32.0883     -32.0883      0.0000
  QRF01739_AACY023081145.1       53     -46.0481     -46.0481      0.0000
  QRF01739_AFSR01000238.1        99     -39.4076     -39.4076      0.0000
  QRF01739_AGJC01000003.1        76     -37.1427     -37.1427      0.0000
  QRF01739_AFSR01000146.1        92     -39.2252     -39.2252      0.0000
  QRF01739_CACA01000349.1        84     -41.1403     -41.1403      0.0000
  QRF01739_AACY022751187.1       52     -48.9096     -48.9096      0.0000
  QRF01739_AACY022283709.1       52     -48.9096     -48.9096      0.0000
  QRF01739_ABPS01003770.1       123     -33.1029     -33.1029      0.0000
  QRF01739_AFEJ01000345.1        83     -39.3579     -39.3579      0.0000
  QRF00005_CABR01000029.1        73     -40.8157     -40.8157      0.0000
  QRF00005_AFSR01002788.1        74     -44.3021     -44.3021      0.0000
  QRF00005_CP000927.1            72     -42.2276     -42.2276      0.0000
  QRF00005_AY741371.1            72     -41.2352     -41.2352      0.0000
  QRF00005_AEGR01000006.1        73     -41.8287     -41.8287      0.0000
  QRF00005_CP001189.1            73     -39.4912     -39.4912      0.0000
  QRF00005_CP000493.1            72     -40.2002     -40.2002      0.0000
  QRF00005_AP012159.1            73     -39.4912     -39.4912      0.0000
  QRF00005_AM889285.1            73     -39.4912     -39.4912      0.0000
  QRF00005_AGFR01000003.1        73     -36.1312     -36.1312      0.0000
  QRF00005_AFCH01000046.1        73     -39.4912     -39.4912      0.0000
  QRF00005_ADTV01000009.1        73     -39.4912     -39.4912      0.0000
  QRF00005_ABCE01000025.1        73     -39.7791     -39.7791      0.0000
  QRF00005_HM565909.1            72     -38.1272     -38.1272      0.0000
  QRF00005_CAFG01000441.1        73     -41.8287     -41.8287      0.0000
  QRF00005_AACY020656879.1       72     -37.5656     -37.5656      0.0000
  QRF00005_CP001744.1            73     -42.1975     -42.1975      0.0000
  QRF00005_CP000880.1            73     -42.4103     -42.4103      0.0000
  QRF00005_CACD01000012.1        73     -42.4103     -42.4103      0.0000
  QRF00005_CACD01000012.1        73     -42.4103     -42.4103      0.0000
  QRF00005_CACD01000012.1        73     -42.4103     -42.4103      0.0000
  QRF00005_AM849034.1            74     -41.4027     -45.3616      3.9589
  QRF00005_AM711867.1            74     -41.4027     -45.3616      3.9589
  QRF00005_AEQT01000005.1        73     -42.4103     -42.4103      0.0000
  QRF00005_AEQT01000005.1        73     -42.4103     -42.4103      0.0000
  QRF00005_ACDJ01000003.1        73     -42.4103     -42.4103      0.0000
  QRF00005_ABWL02000007.1        73     -42.4103     -42.4103      0.0000
  QRF00005_Z71579.1              73     -43.3817     -43.3817      0.0000
  QRF00005_X53782.1              73     -43.3817     -43.3817      0.0000
  QRF00005_M19391.1              73     -43.3817     -43.3817      0.0000
  QRF00005_M15314.1              73     -43.3817     -43.3817      0.0000
  QRF00005_L42023.1              73     -43.3817     -43.3817      0.0000
  QRF00005_L42023.1              73     -43.3817     -43.3817      0.0000
  QRF00005_L42023.1              73     -43.3817     -43.3817      0.0000
  QRF00005_FQ670204.1            73     -43.3817     -43.3817      0.0000
  QRF00005_FQ670204.1            73     -43.3817     -43.3817      0.0000
  QRF00005_FQ670204.1            73     -43.3817     -43.3817      0.0000
  QRF00005_FQ670178.1            73     -43.3817     -43.3817      0.0000
  QRF00005_FQ670178.1            73     -43.3817     -43.3817      0.0000
  QRF00005_FQ670178.1            73     -43.3817     -43.3817      0.0000
  QRF00005_FQ670178.1            73     -43.3817     -43.3817      0.0000
  QRF00005_FQ312006.1            73     -43.3817     -43.3817      0.0000
  QRF00005_FQ312006.1            73     -43.3817     -43.3817      0.0000
  QRF00005_FQ312006.1            73     -43.3817     -43.3817      0.0000
  QRF00005_FQ312002.1            73     -43.3817     -43.3817      0.0000
  QRF00005_FQ312002.1            73     -43.3817     -43.3817      0.0000
  QRF00005_FQ312002.1            73     -43.3817     -43.3817      0.0000
  QRF00005_EF196803.1            73     -43.3817     -43.3817      0.0000
  QRF00005_EF196803.1            73     -43.3817     -43.3817      0.0000
  QRF00005_CP003022.1            73     -43.3817     -43.3817      0.0000
  QRF00001_EU093378.1           119     -28.2151     -28.2151      0.0000
  QRF00001_AAAA02047827.1       119     -29.6751     -29.6751      0.0000
  QRF00001_AAAA02043281.1       119     -31.6088     -31.6088      0.0000
  QRF00001_EF064700.1           119     -26.5231     -26.5231      0.0000
  QRF00001_EF064692.1           119     -26.5231     -26.5231      0.0000
  QRF00001_EF064687.1           119     -26.5231     -26.5231      0.0000
  QRF00001_EF064680.1           119     -26.5231     -26.5231      0.0000
  QRF00001_EF064678.1           119     -26.5231     -26.5231      0.0000
  QRF00001_EF064556.1           119     -26.5231     -26.5231      0.0000
  QRF00001_AJ390135.1           119     -26.5231     -26.5231      0.0000
  QRF00001_HQ270965.1           119     -28.2151     -28.2151      0.0000
  QRF00001_GQ324770.1           119     -28.2151     -28.2151      0.0000
  QRF00001_FJ882503.1           119     -28.2151     -28.2151      0.0000
  QRF00001_AF550740.1           119     -28.2151     -28.2151      0.0000
  QRF00001_HQ270648.1           119     -28.2151     -28.2151      0.0000
  QRF00001_EU924818.1           119     -28.2151     -28.2151      0.0000
  QRF00001_EU093153.1           119     -28.2151     -28.2151      0.0000
  QRF00001_EF524209.1           119     -28.2151     -28.2151      0.0000
  QRF00001_AY316209.1           119     -28.2151     -28.2151      0.0000
  QRF00001_AY034674.1           119     -28.2151     -28.2151      0.0000
  QRF00001_AJ409525.1           119     -28.2151     -28.2151      0.0000
  QRF00001_AF550715.1           119     -28.2151     -28.2151      0.0000
  QRF00001_ABXC01010155.1       119     -28.2151     -28.2151      0.0000
  QRF00001_ABXC01009775.1       119     -28.2151     -28.2151      0.0000
