# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00506.cm
# date:    Fri May 13 21:48:16 2016
# seed:    1463176096
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Thr_leader                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:57.91       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -29.4279     -29.4279      0.0000
  QRF01739_AGJC01000011.1        62     -29.7354     -29.7354      0.0000
  QRF01739_AP012205.1            62     -30.5124     -30.5124      0.0000
  QRF01739_AEPQ01000180.1        85     -14.7136     -14.7136      0.0000
  QRF01739_AACY023065314.1       57     -29.5050     -29.5050      0.0000
  QRF01739_AACY020081009.1       57     -29.5050     -29.5050      0.0000
  QRF01739_ACSK01000180.1        92      -9.0049      -9.0049      0.0000
  QRF01739_BA000039.2           113     -20.4754     -20.4754      0.0000
  QRF01739_AACY023081145.1       53     -35.6564     -35.6564      0.0000
  QRF01739_AFSR01000238.1        99     -25.7650     -25.7650      0.0000
  QRF01739_AGJC01000003.1        76     -18.2047     -18.2047      0.0000
  QRF01739_AFSR01000146.1        92     -20.2131     -20.2131      0.0000
  QRF01739_CACA01000349.1        84     -29.9144     -29.9144      0.0000
  QRF01739_AACY022751187.1       52     -33.0540     -33.0540      0.0000
  QRF01739_AACY022283709.1       52     -33.0540     -33.0540      0.0000
  QRF01739_ABPS01003770.1       123     -16.7788     -16.7788      0.0000
  QRF01739_AFEJ01000345.1        83     -24.6863     -24.6863      0.0000
  QRF00005_CABR01000029.1        73     -34.3211     -34.3211      0.0000
  QRF00005_AFSR01002788.1        74     -29.1317     -29.1317      0.0000
  QRF00005_CP000927.1            72     -34.6168     -34.6168      0.0000
  QRF00005_AY741371.1            72     -30.4343     -30.4343      0.0000
  QRF00005_AEGR01000006.1        73     -32.0928     -32.0928      0.0000
  QRF00005_CP001189.1            73     -31.3524     -31.3524      0.0000
  QRF00005_CP000493.1            72     -32.2772     -32.2772      0.0000
  QRF00005_AP012159.1            73     -31.3524     -31.3524      0.0000
  QRF00005_AM889285.1            73     -31.3524     -31.3524      0.0000
  QRF00005_AGFR01000003.1        73     -33.0655     -33.0655      0.0000
  QRF00005_AFCH01000046.1        73     -31.3524     -31.3524      0.0000
  QRF00005_ADTV01000009.1        73     -31.3524     -31.3524      0.0000
  QRF00005_ABCE01000025.1        73     -34.6229     -34.6229      0.0000
  QRF00005_HM565909.1            72     -30.4020     -30.4020      0.0000
  QRF00005_CAFG01000441.1        73     -32.1548     -32.1548      0.0000
  QRF00005_AACY020656879.1       72     -29.2360     -29.2360      0.0000
  QRF00005_CP001744.1            73     -36.1691     -36.1691      0.0000
  QRF00005_CP000880.1            73     -30.9838     -30.9838      0.0000
  QRF00005_CACD01000012.1        73     -30.9838     -30.9838      0.0000
  QRF00005_CACD01000012.1        73     -30.9838     -30.9838      0.0000
  QRF00005_CACD01000012.1        73     -30.9838     -30.9838      0.0000
  QRF00005_AM849034.1            74     -31.6722     -31.6722      0.0000
  QRF00005_AM711867.1            74     -31.6722     -31.6722      0.0000
  QRF00005_AEQT01000005.1        73     -30.9838     -30.9838      0.0000
  QRF00005_AEQT01000005.1        73     -30.9838     -30.9838      0.0000
  QRF00005_ACDJ01000003.1        73     -30.9838     -30.9838      0.0000
  QRF00005_ABWL02000007.1        73     -30.9838     -30.9838      0.0000
  QRF00005_Z71579.1              73     -32.4647     -32.4647      0.0000
  QRF00005_X53782.1              73     -32.4647     -32.4647      0.0000
  QRF00005_M19391.1              73     -32.4647     -32.4647      0.0000
  QRF00005_M15314.1              73     -32.4647     -32.4647      0.0000
  QRF00005_L42023.1              73     -32.4647     -32.4647      0.0000
  QRF00005_L42023.1              73     -32.4647     -32.4647      0.0000
  QRF00005_L42023.1              73     -32.4647     -32.4647      0.0000
  QRF00005_FQ670204.1            73     -32.4647     -32.4647      0.0000
  QRF00005_FQ670204.1            73     -32.4647     -32.4647      0.0000
  QRF00005_FQ670204.1            73     -32.4647     -32.4647      0.0000
  QRF00005_FQ670178.1            73     -32.4647     -32.4647      0.0000
  QRF00005_FQ670178.1            73     -32.4647     -32.4647      0.0000
  QRF00005_FQ670178.1            73     -32.4647     -32.4647      0.0000
  QRF00005_FQ670178.1            73     -32.4647     -32.4647      0.0000
  QRF00005_FQ312006.1            73     -32.4647     -32.4647      0.0000
  QRF00005_FQ312006.1            73     -32.4647     -32.4647      0.0000
  QRF00005_FQ312006.1            73     -32.4647     -32.4647      0.0000
  QRF00005_FQ312002.1            73     -32.4647     -32.4647      0.0000
  QRF00005_FQ312002.1            73     -32.4647     -32.4647      0.0000
  QRF00005_FQ312002.1            73     -32.4647     -32.4647      0.0000
  QRF00005_EF196803.1            73     -32.4647     -32.4647      0.0000
  QRF00005_EF196803.1            73     -32.4647     -32.4647      0.0000
  QRF00005_CP003022.1            73     -32.4647     -32.4647      0.0000
  QRF00001_EU093378.1           119     -17.7706     -17.7706      0.0000
  QRF00001_AAAA02047827.1       119     -17.7575     -17.7575      0.0000
  QRF00001_AAAA02043281.1       119     -17.4111     -17.4111      0.0000
  QRF00001_EF064700.1           119     -16.5005     -16.5005      0.0000
  QRF00001_EF064692.1           119     -16.5005     -16.5005      0.0000
  QRF00001_EF064687.1           119     -16.5005     -16.5005      0.0000
  QRF00001_EF064680.1           119     -16.5005     -16.5005      0.0000
  QRF00001_EF064678.1           119     -16.5005     -16.5005      0.0000
  QRF00001_EF064556.1           119     -16.5005     -16.5005      0.0000
  QRF00001_AJ390135.1           119     -16.5005     -16.5005      0.0000
  QRF00001_HQ270965.1           119     -17.7575     -17.7575      0.0000
  QRF00001_GQ324770.1           119     -17.7575     -17.7575      0.0000
  QRF00001_FJ882503.1           119     -17.7575     -17.7575      0.0000
  QRF00001_AF550740.1           119     -17.7575     -17.7575      0.0000
  QRF00001_HQ270648.1           119     -17.5655     -17.5655      0.0000
  QRF00001_EU924818.1           119     -17.5655     -17.5655      0.0000
  QRF00001_EU093153.1           119     -17.5655     -17.5655      0.0000
  QRF00001_EF524209.1           119     -17.5655     -17.5655      0.0000
  QRF00001_AY316209.1           119     -17.5655     -17.5655      0.0000
