# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00361.cm
# date:    Fri May 13 21:54:22 2016
# seed:    1463176462
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoZ119                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:40.10       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -27.3835     -27.3835      0.0000
  QRF01739_AGJC01000011.1        62     -32.1940     -32.1940      0.0000
  QRF01739_AP012205.1            62     -21.4958     -21.4958      0.0000
  QRF01739_AEPQ01000180.1        85     -19.9072     -19.9072      0.0000
  QRF01739_AACY023065314.1       57     -32.7360     -32.7360      0.0000
  QRF01739_AACY020081009.1       57     -32.7360     -32.7360      0.0000
  QRF01739_ACSK01000180.1        92     -27.1284     -27.1284      0.0000
  QRF01739_BA000039.2           113     -20.2071     -20.2071      0.0000
  QRF01739_AACY023081145.1       53     -34.3631     -34.3631      0.0000
  QRF01739_AFSR01000238.1        99     -23.5472     -23.5472      0.0000
  QRF01739_AGJC01000003.1        76     -21.2497     -21.2497      0.0000
  QRF01739_AFSR01000146.1        92     -25.3209     -25.3209      0.0000
  QRF01739_CACA01000349.1        84     -28.1491     -28.1491      0.0000
  QRF01739_AACY022751187.1       52     -30.7378     -30.7378      0.0000
  QRF01739_AACY022283709.1       52     -30.7378     -30.7378      0.0000
  QRF01739_ABPS01003770.1       123      -9.8380      -9.8380      0.0000
  QRF01739_AFEJ01000345.1        83     -26.3772     -26.3772      0.0000
  QRF00005_CABR01000029.1        73     -24.8460     -24.8460      0.0000
  QRF00005_AFSR01002788.1        74     -23.9168     -23.9168      0.0000
  QRF00005_CP000927.1            72     -20.1053     -20.1053      0.0000
  QRF00005_AY741371.1            72     -28.1794     -28.1794      0.0000
  QRF00005_AEGR01000006.1        73     -24.2377     -24.2377      0.0000
  QRF00005_CP001189.1            73     -22.7573     -22.7573      0.0000
  QRF00005_CP000493.1            72     -30.0083     -30.0083      0.0000
  QRF00005_AP012159.1            73     -22.7573     -22.7573      0.0000
  QRF00005_AM889285.1            73     -22.7573     -22.7573      0.0000
  QRF00005_AGFR01000003.1        73     -25.0550     -25.0550      0.0000
  QRF00005_AFCH01000046.1        73     -22.7573     -22.7573      0.0000
  QRF00005_ADTV01000009.1        73     -22.7573     -22.7573      0.0000
  QRF00005_ABCE01000025.1        73     -20.2546     -20.2546      0.0000
  QRF00005_HM565909.1            72     -27.4235     -27.4235      0.0000
  QRF00005_CAFG01000441.1        73     -24.6905     -24.6905      0.0000
  QRF00005_AACY020656879.1       72     -27.2747     -27.2747      0.0000
  QRF00005_CP001744.1            73     -22.1849     -22.1849      0.0000
  QRF00005_CP000880.1            73     -25.6780     -25.6780      0.0000
  QRF00005_CACD01000012.1        73     -25.6780     -25.6780      0.0000
  QRF00005_CACD01000012.1        73     -25.6780     -25.6780      0.0000
  QRF00005_CACD01000012.1        73     -25.6780     -25.6780      0.0000
  QRF00005_AM849034.1            74     -20.2165     -20.2165      0.0000
  QRF00005_AM711867.1            74     -20.2165     -20.2165      0.0000
  QRF00005_AEQT01000005.1        73     -25.6780     -25.6780      0.0000
  QRF00005_AEQT01000005.1        73     -25.6780     -25.6780      0.0000
  QRF00005_ACDJ01000003.1        73     -25.6780     -25.6780      0.0000
  QRF00005_ABWL02000007.1        73     -25.6780     -25.6780      0.0000
  QRF00005_Z71579.1              73     -21.3856     -21.3856      0.0000
  QRF00005_X53782.1              73     -21.3856     -21.3856      0.0000
  QRF00005_M19391.1              73     -21.3856     -21.3856      0.0000
  QRF00005_M15314.1              73     -21.3856     -21.3856      0.0000
  QRF00005_L42023.1              73     -21.3856     -21.3856      0.0000
  QRF00005_L42023.1              73     -21.3856     -21.3856      0.0000
  QRF00005_L42023.1              73     -21.3856     -21.3856      0.0000
  QRF00005_FQ670204.1            73     -21.3856     -21.3856      0.0000
  QRF00005_FQ670204.1            73     -21.3856     -21.3856      0.0000
  QRF00005_FQ670204.1            73     -21.3856     -21.3856      0.0000
  QRF00005_FQ670178.1            73     -21.3856     -21.3856      0.0000
  QRF00005_FQ670178.1            73     -21.3856     -21.3856      0.0000
  QRF00005_FQ670178.1            73     -21.3856     -21.3856      0.0000
  QRF00005_FQ670178.1            73     -21.3856     -21.3856      0.0000
  QRF00005_FQ312006.1            73     -21.3856     -21.3856      0.0000
  QRF00005_FQ312006.1            73     -21.3856     -21.3856      0.0000
  QRF00005_FQ312006.1            73     -21.3856     -21.3856      0.0000
  QRF00005_FQ312002.1            73     -21.3856     -21.3856      0.0000
  QRF00005_FQ312002.1            73     -21.3856     -21.3856      0.0000
  QRF00005_FQ312002.1            73     -21.3856     -21.3856      0.0000
  QRF00005_EF196803.1            73     -21.3856     -21.3856      0.0000
  QRF00005_EF196803.1            73     -21.3856     -21.3856      0.0000
  QRF00005_CP003022.1            73     -21.3856     -21.3856      0.0000
  QRF00001_EU093378.1           119     -25.3227     -25.3227      0.0000
  QRF00001_AAAA02047827.1       119     -23.5910     -23.5910      0.0000
  QRF00001_AAAA02043281.1       119     -22.6081     -22.6081      0.0000
  QRF00001_EF064700.1           119     -24.5169     -24.5169      0.0000
  QRF00001_EF064692.1           119     -24.5169     -24.5169      0.0000
  QRF00001_EF064687.1           119     -24.5169     -24.5169      0.0000
  QRF00001_EF064680.1           119     -24.5169     -24.5169      0.0000
  QRF00001_EF064678.1           119     -24.5169     -24.5169      0.0000
  QRF00001_EF064556.1           119     -24.5169     -24.5169      0.0000
  QRF00001_AJ390135.1           119     -24.5169     -24.5169      0.0000
  QRF00001_HQ270965.1           119     -23.5910     -23.5910      0.0000
  QRF00001_GQ324770.1           119     -23.5910     -23.5910      0.0000
  QRF00001_FJ882503.1           119     -23.5910     -23.5910      0.0000
  QRF00001_AF550740.1           119     -23.5910     -23.5910      0.0000
  QRF00001_HQ270648.1           119     -23.5910     -23.5910      0.0000
  QRF00001_EU924818.1           119     -23.5910     -23.5910      0.0000
  QRF00001_EU093153.1           119     -23.5910     -23.5910      0.0000
  QRF00001_EF524209.1           119     -23.5910     -23.5910      0.0000
  QRF00001_AY316209.1           119     -23.5910     -23.5910      0.0000
  QRF00001_AY034674.1           119     -23.5910     -23.5910      0.0000
  QRF00001_AJ409525.1           119     -23.5910     -23.5910      0.0000
  QRF00001_AF550715.1           119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01010155.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01009775.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01009775.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01009775.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01009135.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01009119.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01009117.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01005845.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01005845.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01005844.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01005841.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01005839.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01005838.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01005838.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01005835.1       119     -23.5910     -23.5910      0.0000
  QRF00001_ABXC01005835.1       119     -23.5910     -23.5910      0.0000
  QRF00001_AAAA02039752.1       119     -23.5910     -23.5910      0.0000
  QRF00001_EU925066.1           119     -23.5910     -23.5910      0.0000
  QRF00001_EU093209.1           119     -23.5910     -23.5910      0.0000
  QRF00001_U02637.1             119     -23.5910     -23.5910      0.0000
  QRF00001_EU439291.1           119     -23.5910     -23.5910      0.0000
  QRF00001_EU439286.1           119     -23.5910     -23.5910      0.0000
  QRF00001_EU439284.1           119     -23.5910     -23.5910      0.0000
  QRF00001_EU439282.1           119     -23.5910     -23.5910      0.0000
  QRF00001_EU439280.1           119     -23.5910     -23.5910      0.0000
  QRF00001_EU439279.1           119     -23.5910     -23.5910      0.0000
  QRF00001_EU439278.1           119     -23.5910     -23.5910      0.0000
  QRF00001_EU439277.1           119     -23.5910     -23.5910      0.0000
  QRF01704_ACNY01000005.1        62     -35.5791     -35.5791      0.0000
  QRF01704_ADXL01000065.1        61     -38.9652     -38.9652      0.0000
  QRF01704_ADXL01000046.1        61     -34.9622     -34.9622      0.0000
  QRF01704_ADHP01001127.1        63     -35.4286     -35.4286      0.0000
  QRF01704_ADXM01000029.1        71     -36.2889     -36.2889      0.0000
  QRF01704_FJ869257.1            62     -37.0927     -37.0927      0.0000
  QRF01704_BX569692.1            62     -37.0927     -37.0927      0.0000
  QRF01704_AACY023835177.1       64     -37.3303     -37.3303      0.0000
  QRF01704_ACNY01000003.1        61     -36.2758     -36.2758      0.0000
  QRF01704_AACY020212823.1       62     -28.4100     -28.4100      0.0000
  QRF01704_GQ237222.1            58     -36.2076     -36.2076      0.0000
  QRF01704_ADHP01000860.1        64     -32.1001     -32.1001      0.0000
  QRF01704_AACY020313707.1       62     -33.6598     -33.6598      0.0000
  QRF01704_ACDW01000004.1        62     -26.3250     -26.3250      0.0000
  QRF01704_AACY022014507.1       62     -28.8430     -28.8430      0.0000
  QRF01704_ADHP01000878.1        59     -26.1439     -26.1439      0.0000
  QRF01704_AACY022415810.1       58     -30.5288     -30.5288      0.0000
  QRF01704_AACY020575673.1       58     -30.5288     -30.5288      0.0000
  QRF01704_ACNY01000005.1        59     -30.0747     -30.0747      0.0000
  QRF01704_ADHP01000854.1        63     -30.3804     -30.3804      0.0000
  QRF01704_GU936714.1            59     -33.8226     -33.8226      0.0000
  QRF01704_AACY021622950.1       62     -29.1980     -29.1980      0.0000
  QRF01704_CP000825.1            58     -29.7957     -29.7957      0.0000
  QRF01704_EU795157.1            64     -33.7962     -33.7962      0.0000
  QRF01704_ABVN01004790.1        61     -32.1352     -32.1352      0.0000
  QRF01704_ABMN01086741.1        60     -28.6870     -28.6870      0.0000
  QRF01704_DQ325539.1            60     -37.0874     -37.0874      0.0000
  QRF01704_ACNY01000005.1        62     -32.5328     -32.5328      0.0000
  QRF01704_ACNY01000004.1        60     -32.8179     -32.8179      0.0000
  QRF01704_ABVT01000061.1        57     -31.5897     -31.5897      0.0000
  QRF00023_CP001665.1           363     -13.2317     -13.2317      0.0000
  QRF00023_CP001509.3           363     -13.2317     -13.2317      0.0000
  QRF00023_CP000819.1           363     -13.2317     -13.2317      0.0000
  QRF00023_AM946981.2           363     -13.2317     -13.2317      0.0000
  QRF00023_ADTQ01000184.1       363     -13.2317     -13.2317      0.0000
  QRF00023_ADBT01000188.1       363     -13.2317     -13.2317      0.0000
  QRF00023_FN543093.2           364     -13.5355     -13.5355      0.0000
  QRF00023_AFAG01000033.1       363     -13.2317     -13.2317      0.0000
  QRF00023_AFAF01000014.1       363     -13.2317     -13.2317      0.0000
  QRF00023_ADUS01000034.1       363     -13.2317     -13.2317      0.0000
  QRF00023_U36840.1             363     -13.2317     -13.2317      0.0000
  QRF00023_FN649414.1           363     -13.2317     -13.2317      0.0000
  QRF00023_CU928162.2           363     -13.2317     -13.2317      0.0000
  QRF00023_CU928161.2           363     -13.2317     -13.2317      0.0000
  QRF00023_CU928158.2           363     -13.2317     -13.2317      0.0000
  QRF00023_CU651637.1           363     -13.2317     -13.2317      0.0000
  QRF00023_CP003034.1           363     -13.2317     -13.2317      0.0000
  QRF00023_CP002797.2           363     -13.2317     -13.2317      0.0000
  QRF00023_CP002729.1           363     -13.2317     -13.2317      0.0000
  QRF00023_CP002516.1           363     -13.2317     -13.2317      0.0000
  QRF00023_CP002212.1           363     -13.2317     -13.2317      0.0000
  QRF00023_CP002211.1           363     -13.2317     -13.2317      0.0000
  QRF00023_CP002185.1           363     -13.2317     -13.2317      0.0000
