# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01197.cm
# date:    Sat May 14 02:51:16 2016
# seed:    1463194276
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snR39                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:30.22       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -35.9762     -35.9762      0.0000
  QRF01739_AGJC01000011.1        62     -35.6014     -35.6014      0.0000
  QRF01739_AP012205.1            62     -33.7514     -33.7514      0.0000
  QRF01739_AEPQ01000180.1        85     -24.3602     -24.3602      0.0000
  QRF01739_AACY023065314.1       57     -30.5049     -30.5049      0.0000
  QRF01739_AACY020081009.1       57     -30.5049     -30.5049      0.0000
  QRF01739_ACSK01000180.1        92     -35.0114     -35.0114      0.0000
  QRF01739_BA000039.2           113     -28.0289     -28.0289      0.0000
  QRF01739_AACY023081145.1       53     -37.6941     -37.6941      0.0000
  QRF01739_AFSR01000238.1        99     -31.3919     -31.3919      0.0000
  QRF01739_AGJC01000003.1        76     -28.8015     -28.8015      0.0000
  QRF01739_AFSR01000146.1        92     -36.2548     -36.2548      0.0000
  QRF01739_CACA01000349.1        84     -22.0989     -22.0989      0.0000
  QRF01739_AACY022751187.1       52     -36.5369     -36.5369      0.0000
  QRF01739_AACY022283709.1       52     -36.5369     -36.5369      0.0000
  QRF01739_ABPS01003770.1       123     -16.6900     -16.6900      0.0000
  QRF01739_AFEJ01000345.1        83     -29.1495     -29.1495      0.0000
  QRF00005_CABR01000029.1        73     -31.7838     -31.7838      0.0000
  QRF00005_AFSR01002788.1        74     -33.2005     -33.2005      0.0000
  QRF00005_CP000927.1            72     -35.1768     -35.1768      0.0000
  QRF00005_AY741371.1            72     -35.6341     -35.6341      0.0000
  QRF00005_AEGR01000006.1        73     -37.1843     -37.1843      0.0000
  QRF00005_CP001189.1            73     -31.3628     -31.3628      0.0000
  QRF00005_CP000493.1            72     -41.3211     -41.3211      0.0000
  QRF00005_AP012159.1            73     -31.3628     -31.3628      0.0000
  QRF00005_AM889285.1            73     -31.3628     -31.3628      0.0000
  QRF00005_AGFR01000003.1        73     -34.2041     -34.2041      0.0000
  QRF00005_AFCH01000046.1        73     -31.3628     -31.3628      0.0000
  QRF00005_ADTV01000009.1        73     -31.3628     -31.3628      0.0000
  QRF00005_ABCE01000025.1        73     -39.6428     -39.6428      0.0000
  QRF00005_HM565909.1            72     -33.1481     -33.1481      0.0000
  QRF00005_CAFG01000441.1        73     -34.9053     -34.9053      0.0000
  QRF00005_AACY020656879.1       72     -33.7613     -33.7613      0.0000
  QRF00005_CP001744.1            73     -34.0220     -34.0220      0.0000
  QRF00005_CP000880.1            73     -32.8354     -32.8354      0.0000
  QRF00005_CACD01000012.1        73     -32.8354     -32.8354      0.0000
  QRF00005_CACD01000012.1        73     -32.8354     -32.8354      0.0000
  QRF00005_CACD01000012.1        73     -32.8354     -32.8354      0.0000
  QRF00005_AM849034.1            74     -34.1522     -34.1522      0.0000
  QRF00005_AM711867.1            74     -34.1522     -34.1522      0.0000
  QRF00005_AEQT01000005.1        73     -32.8354     -32.8354      0.0000
  QRF00005_AEQT01000005.1        73     -32.8354     -32.8354      0.0000
  QRF00005_ACDJ01000003.1        73     -32.8354     -32.8354      0.0000
  QRF00005_ABWL02000007.1        73     -32.8354     -32.8354      0.0000
  QRF00005_Z71579.1              73     -33.9787     -33.9787      0.0000
  QRF00005_X53782.1              73     -33.9787     -33.9787      0.0000
  QRF00005_M19391.1              73     -33.9787     -33.9787      0.0000
  QRF00005_M15314.1              73     -33.9787     -33.9787      0.0000
  QRF00005_L42023.1              73     -33.9787     -33.9787      0.0000
  QRF00005_L42023.1              73     -33.9787     -33.9787      0.0000
  QRF00005_L42023.1              73     -33.9787     -33.9787      0.0000
  QRF00005_FQ670204.1            73     -33.9787     -33.9787      0.0000
  QRF00005_FQ670204.1            73     -33.9787     -33.9787      0.0000
  QRF00005_FQ670204.1            73     -33.9787     -33.9787      0.0000
  QRF00005_FQ670178.1            73     -33.9787     -33.9787      0.0000
  QRF00005_FQ670178.1            73     -33.9787     -33.9787      0.0000
  QRF00005_FQ670178.1            73     -33.9787     -33.9787      0.0000
  QRF00005_FQ670178.1            73     -33.9787     -33.9787      0.0000
  QRF00005_FQ312006.1            73     -33.9787     -33.9787      0.0000
  QRF00005_FQ312006.1            73     -33.9787     -33.9787      0.0000
  QRF00005_FQ312006.1            73     -33.9787     -33.9787      0.0000
  QRF00005_FQ312002.1            73     -33.9787     -33.9787      0.0000
  QRF00005_FQ312002.1            73     -33.9787     -33.9787      0.0000
  QRF00005_FQ312002.1            73     -33.9787     -33.9787      0.0000
  QRF00005_EF196803.1            73     -33.9787     -33.9787      0.0000
  QRF00005_EF196803.1            73     -33.9787     -33.9787      0.0000
  QRF00005_CP003022.1            73     -33.9787     -33.9787      0.0000
  QRF00001_EU093378.1           119     -28.3598     -28.3598      0.0000
  QRF00001_AAAA02047827.1       119     -29.4858     -29.4858      0.0000
  QRF00001_AAAA02043281.1       119     -26.6978     -26.6978      0.0000
  QRF00001_EF064700.1           119     -24.4752     -24.4752      0.0000
  QRF00001_EF064692.1           119     -24.4752     -24.4752      0.0000
  QRF00001_EF064687.1           119     -24.4752     -24.4752      0.0000
