# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00309.cm
# date:    Fri May 13 20:25:56 2016
# seed:    1463171156
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snosnR60_Z15               search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:33.65       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -19.6465     -19.6465      0.0000
  QRF01739_AGJC01000011.1        62     -26.2052     -26.2052      0.0000
  QRF01739_AP012205.1            62     -22.3255     -22.3255      0.0000
  QRF01739_AEPQ01000180.1        85     -16.5991     -16.5991      0.0000
  QRF01739_AACY023065314.1       57     -27.4809     -27.4809      0.0000
  QRF01739_AACY020081009.1       57     -27.4809     -27.4809      0.0000
  QRF01739_ACSK01000180.1        92     -28.3304     -28.3304      0.0000
  QRF01739_BA000039.2           113     -25.4439     -25.4439      0.0000
  QRF01739_AACY023081145.1       53     -33.1818     -33.1818      0.0000
  QRF01739_AFSR01000238.1        99     -26.7160     -26.7160      0.0000
  QRF01739_AGJC01000003.1        76     -23.1628     -23.1628      0.0000
  QRF01739_AFSR01000146.1        92     -29.7100     -29.7100      0.0000
  QRF01739_CACA01000349.1        84     -29.4362     -29.4362      0.0000
  QRF01739_AACY022751187.1       52     -28.9986     -28.9986      0.0000
  QRF01739_AACY022283709.1       52     -28.9986     -28.9986      0.0000
  QRF01739_ABPS01003770.1       123     -20.8066     -20.8066      0.0000
  QRF01739_AFEJ01000345.1        83     -26.5133     -26.5133      0.0000
  QRF00005_CABR01000029.1        73     -28.5007     -28.5007      0.0000
  QRF00005_AFSR01002788.1        74     -22.5629     -22.5629      0.0000
  QRF00005_CP000927.1            72     -20.3777     -20.3777      0.0000
  QRF00005_AY741371.1            72     -31.9196     -31.9196      0.0000
  QRF00005_AEGR01000006.1        73     -25.1130     -25.1130      0.0000
  QRF00005_CP001189.1            73     -15.7206     -15.7206      0.0000
  QRF00005_CP000493.1            72     -36.4311     -36.4311      0.0000
  QRF00005_AP012159.1            73     -15.7206     -15.7206      0.0000
  QRF00005_AM889285.1            73     -15.7206     -15.7206      0.0000
  QRF00005_AGFR01000003.1        73     -20.5666     -20.5666      0.0000
  QRF00005_AFCH01000046.1        73     -15.7206     -15.7206      0.0000
  QRF00005_ADTV01000009.1        73     -15.7206     -15.7206      0.0000
