# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01928.cm
# date:    Sat May 14 02:23:09 2016
# seed:    1463192589
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Mico1                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:31.99       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -90.0730     -90.0730      0.0000
  QRF01739_AGJC01000011.1        62     -88.3590     -88.3590      0.0000
  QRF01739_AP012205.1            62     -93.0423     -93.0423      0.0000
  QRF01739_AEPQ01000180.1        85     -78.9486     -78.9486      0.0000
  QRF01739_AACY023065314.1       57     -90.7892     -90.7892      0.0000
  QRF01739_AACY020081009.1       57     -90.7892     -90.7892      0.0000
  QRF01739_ACSK01000180.1        92     -76.7125     -76.7125      0.0000
  QRF01739_BA000039.2           113     -68.2958     -68.2958      0.0000
  QRF01739_AACY023081145.1       53     -97.2812     -97.2812      0.0000
  QRF01739_AFSR01000238.1        99     -78.0253     -78.0253      0.0000
  QRF01739_AGJC01000003.1        76     -83.6607     -83.6607      0.0000
  QRF01739_AFSR01000146.1        92     -86.3867     -86.3867      0.0000
  QRF01739_CACA01000349.1        84     -79.4353     -79.4353      0.0000
  QRF01739_AACY022751187.1       52     -87.7105     -87.7105      0.0000
  QRF01739_AACY022283709.1       52     -87.7105     -87.7105      0.0000
  QRF01739_ABPS01003770.1       123     -60.5514     -60.5514      0.0000
  QRF01739_AFEJ01000345.1        83     -83.4088     -83.4088      0.0000
  QRF00005_CABR01000029.1        73     -88.7701     -88.7701      0.0000
  QRF00005_AFSR01002788.1        74     -89.1103     -89.1103      0.0000
  QRF00005_CP000927.1            72     -78.7478     -78.7478      0.0000
  QRF00005_AY741371.1            72     -88.1539     -88.1539      0.0000
  QRF00005_AEGR01000006.1        73     -89.1018     -89.1018      0.0000
  QRF00005_CP001189.1            73     -85.3420     -85.3420      0.0000
  QRF00005_CP000493.1            72     -94.5938     -94.5938      0.0000
  QRF00005_AP012159.1            73     -85.3420     -85.3420      0.0000
  QRF00005_AM889285.1            73     -85.3420     -85.3420      0.0000
  QRF00005_AGFR01000003.1        73     -83.7263     -83.7263      0.0000
  QRF00005_AFCH01000046.1        73     -85.3420     -85.3420      0.0000
  QRF00005_ADTV01000009.1        73     -85.3420     -85.3420      0.0000
  QRF00005_ABCE01000025.1        73     -87.2730     -87.2730      0.0000
  QRF00005_HM565909.1            72     -86.1799     -86.1799      0.0000
  QRF00005_CAFG01000441.1        73     -89.9976     -89.9976      0.0000
  QRF00005_AACY020656879.1       72     -87.9578     -87.9578      0.0000
  QRF00005_CP001744.1            73     -87.5756     -87.5756      0.0000
  QRF00005_CP000880.1            73     -85.5047     -85.5047      0.0000
  QRF00005_CACD01000012.1        73     -85.5047     -85.5047      0.0000
  QRF00005_CACD01000012.1        73     -85.5047     -85.5047      0.0000
  QRF00005_CACD01000012.1        73     -85.5047     -85.5047      0.0000
  QRF00005_AM849034.1            74     -85.7993     -85.7993      0.0000
  QRF00005_AM711867.1            74     -85.7993     -85.7993      0.0000
  QRF00005_AEQT01000005.1        73     -85.5047     -85.5047      0.0000
  QRF00005_AEQT01000005.1        73     -85.5047     -85.5047      0.0000
  QRF00005_ACDJ01000003.1        73     -85.5047     -85.5047      0.0000
  QRF00005_ABWL02000007.1        73     -85.5047     -85.5047      0.0000
  QRF00005_Z71579.1              73     -88.4300     -88.4300      0.0000
  QRF00005_X53782.1              73     -88.4300     -88.4300      0.0000
  QRF00005_M19391.1              73     -88.4300     -88.4300      0.0000
  QRF00005_M15314.1              73     -88.4300     -88.4300      0.0000
  QRF00005_L42023.1              73     -88.4300     -88.4300      0.0000
  QRF00005_L42023.1              73     -88.4300     -88.4300      0.0000
  QRF00005_L42023.1              73     -88.4300     -88.4300      0.0000
  QRF00005_FQ670204.1            73     -88.4300     -88.4300      0.0000
  QRF00005_FQ670204.1            73     -88.4300     -88.4300      0.0000
  QRF00005_FQ670204.1            73     -88.4300     -88.4300      0.0000
  QRF00005_FQ670178.1            73     -88.4300     -88.4300      0.0000
  QRF00005_FQ670178.1            73     -88.4300     -88.4300      0.0000
  QRF00005_FQ670178.1            73     -88.4300     -88.4300      0.0000
  QRF00005_FQ670178.1            73     -88.4300     -88.4300      0.0000
  QRF00005_FQ312006.1            73     -88.4300     -88.4300      0.0000
  QRF00005_FQ312006.1            73     -88.4300     -88.4300      0.0000
  QRF00005_FQ312006.1            73     -88.4300     -88.4300      0.0000
  QRF00005_FQ312002.1            73     -88.4300     -88.4300      0.0000
  QRF00005_FQ312002.1            73     -88.4300     -88.4300      0.0000
  QRF00005_FQ312002.1            73     -88.4300     -88.4300      0.0000
  QRF00005_EF196803.1            73     -88.4300     -88.4300      0.0000
  QRF00005_EF196803.1            73     -88.4300     -88.4300      0.0000
  QRF00005_CP003022.1            73     -88.4300     -88.4300      0.0000
  QRF00001_EU093378.1           119     -62.9873     -62.9873      0.0000
  QRF00001_AAAA02047827.1       119     -66.4563     -66.4563      0.0000
  QRF00001_AAAA02043281.1       119     -66.7213     -66.7213      0.0000
  QRF00001_EF064700.1           119     -67.1910     -67.1910      0.0000
  QRF00001_EF064692.1           119     -67.1910     -67.1910      0.0000
  QRF00001_EF064687.1           119     -67.1910     -67.1910      0.0000
  QRF00001_EF064680.1           119     -67.1910     -67.1910      0.0000
  QRF00001_EF064678.1           119     -67.1910     -67.1910      0.0000
  QRF00001_EF064556.1           119     -67.1910     -67.1910      0.0000
  QRF00001_AJ390135.1           119     -67.1910     -67.1910      0.0000
  QRF00001_HQ270965.1           119     -65.8413     -65.8413      0.0000
  QRF00001_GQ324770.1           119     -65.8413     -65.8413      0.0000
  QRF00001_FJ882503.1           119     -65.8413     -65.8413      0.0000
  QRF00001_AF550740.1           119     -65.8413     -65.8413      0.0000
  QRF00001_HQ270648.1           119     -65.8413     -65.8413      0.0000
  QRF00001_EU924818.1           119     -65.8413     -65.8413      0.0000
  QRF00001_EU093153.1           119     -65.8413     -65.8413      0.0000
  QRF00001_EF524209.1           119     -65.8413     -65.8413      0.0000
  QRF00001_AY316209.1           119     -65.8413     -65.8413      0.0000
  QRF00001_AY034674.1           119     -65.8413     -65.8413      0.0000
  QRF00001_AJ409525.1           119     -65.8413     -65.8413      0.0000
  QRF00001_AF550715.1           119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01010155.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01009775.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01009775.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01009775.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01009135.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01009119.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01009117.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01005845.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01005845.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01005844.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01005841.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01005839.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01005838.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01005838.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01005835.1       119     -65.8413     -65.8413      0.0000
  QRF00001_ABXC01005835.1       119     -65.8413     -65.8413      0.0000
  QRF00001_AAAA02039752.1       119     -62.8893     -62.8893      0.0000
  QRF00001_EU925066.1           119     -66.3883     -66.3883      0.0000
  QRF00001_EU093209.1           119     -66.3883     -66.3883      0.0000
  QRF00001_U02637.1             119     -66.4563     -66.4563      0.0000
  QRF00001_EU439291.1           119     -66.4563     -66.4563      0.0000
  QRF00001_EU439286.1           119     -66.4563     -66.4563      0.0000
  QRF00001_EU439284.1           119     -66.4563     -66.4563      0.0000
  QRF00001_EU439282.1           119     -66.4563     -66.4563      0.0000
  QRF00001_EU439280.1           119     -66.4563     -66.4563      0.0000
  QRF00001_EU439279.1           119     -66.4563     -66.4563      0.0000
  QRF00001_EU439278.1           119     -66.4563     -66.4563      0.0000
  QRF00001_EU439277.1           119     -66.4563     -66.4563      0.0000
  QRF01704_ACNY01000005.1        62     -93.2996     -93.2996      0.0000
  QRF01704_ADXL01000065.1        61     -89.0295     -89.0295      0.0000
  QRF01704_ADXL01000046.1        61     -93.0406     -93.0406      0.0000
  QRF01704_ADHP01001127.1        63     -80.8919     -80.8919      0.0000
  QRF01704_ADXM01000029.1        71     -86.3596     -86.3596      0.0000
  QRF01704_FJ869257.1            62     -92.6031     -92.6031      0.0000
  QRF01704_BX569692.1            62     -92.6031     -92.6031      0.0000
  QRF01704_AACY023835177.1       64     -92.0582     -92.0582      0.0000
  QRF01704_ACNY01000003.1        61     -90.0749     -90.0749      0.0000
  QRF01704_AACY020212823.1       62     -76.4975     -76.4975      0.0000
  QRF01704_GQ237222.1            58     -91.7489     -91.7489      0.0000
  QRF01704_ADHP01000860.1        64     -81.1765     -81.1765      0.0000
  QRF01704_AACY020313707.1       62     -89.7163     -89.7163      0.0000
  QRF01704_ACDW01000004.1        62     -77.4705     -77.4705      0.0000
  QRF01704_AACY022014507.1       62     -80.4585     -80.4585      0.0000
  QRF01704_ADHP01000878.1        59     -95.3341     -95.3341      0.0000
  QRF01704_AACY022415810.1       58     -92.6416     -92.6416      0.0000
  QRF01704_AACY020575673.1       58     -92.6416     -92.6416      0.0000
  QRF01704_ACNY01000005.1        59     -94.6016     -94.6016      0.0000
  QRF01704_ADHP01000854.1        63     -81.9739     -81.9739      0.0000
  QRF01704_GU936714.1            59     -90.1393     -90.1393      0.0000
  QRF01704_AACY021622950.1       62     -77.1125     -77.1125      0.0000
  QRF01704_CP000825.1            58     -95.5606     -95.5606      0.0000
  QRF01704_EU795157.1            64     -89.6746     -89.6746      0.0000
  QRF01704_ABVN01004790.1        61     -89.9627     -89.9627      0.0000
  QRF01704_ABMN01086741.1        60     -89.6967     -89.6967      0.0000
  QRF01704_DQ325539.1            60     -87.2059     -87.2059      0.0000
  QRF01704_ACNY01000005.1        62     -79.7730     -79.7730      0.0000
  QRF01704_ACNY01000004.1        60     -86.9400     -86.9400      0.0000
  QRF01704_ABVT01000061.1        57     -93.1757     -93.1757      0.0000
  QRF00023_CP001665.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP001509.3           363     -38.5603     -38.5603      0.0000
  QRF00023_CP000819.1           363     -38.5603     -38.5603      0.0000
  QRF00023_AM946981.2           363     -38.5603     -38.5603      0.0000
  QRF00023_ADTQ01000184.1       363     -38.5603     -38.5603      0.0000
  QRF00023_ADBT01000188.1       363     -38.5603     -38.5603      0.0000
  QRF00023_FN543093.2           364     -37.7842     -37.7842      0.0000
  QRF00023_AFAG01000033.1       363     -38.5603     -38.5603      0.0000
  QRF00023_AFAF01000014.1       363     -38.5603     -38.5603      0.0000
  QRF00023_ADUS01000034.1       363     -38.5603     -38.5603      0.0000
  QRF00023_U36840.1             363     -38.5603     -38.5603      0.0000
  QRF00023_FN649414.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CU928162.2           363     -38.5603     -38.5603      0.0000
  QRF00023_CU928161.2           363     -38.5603     -38.5603      0.0000
  QRF00023_CU928158.2           363     -38.5603     -38.5603      0.0000
  QRF00023_CU651637.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP003034.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP002797.2           363     -38.5603     -38.5603      0.0000
  QRF00023_CP002729.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP002516.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP002212.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP002211.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP002185.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP002167.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP001969.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP001855.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP001671.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP001637.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP001396.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP001383.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP000970.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP000948.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP000802.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP000243.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CP000038.1           363     -38.5603     -38.5603      0.0000
  QRF00023_CAFL01000074.1       363     -38.5603     -38.5603      0.0000
  QRF00023_CADZ01000057.1       363     -38.5603     -38.5603      0.0000
  QRF00023_BAAV01002786.1       363     -38.5603     -38.5603      0.0000
  QRF00023_AP012030.1           363     -38.5603     -38.5603      0.0000
  QRF00023_AP010960.1           363     -38.5603     -38.5603      0.0000
  QRF00023_AP010958.1           363     -38.5603     -38.5603      0.0000
  QRF00023_AP010953.1           363     -38.5603     -38.5603      0.0000
  QRF00023_AP009378.1           363     -38.5603     -38.5603      0.0000
  QRF00023_AP009240.1           363     -38.5603     -38.5603      0.0000
  QRF00023_AP009048.1           363     -38.5603     -38.5603      0.0000
  QRF00023_AJ304858.2           363     -38.5603     -38.5603      0.0000
  QRF00023_AGTK01000236.1       363     -38.5603     -38.5603      0.0000
  QRF00023_AGTJ01000345.1       363     -38.5603     -38.5603      0.0000
  QRF00023_AGTI01000029.1       363     -38.5603     -38.5603      0.0000
  QRF00023_AGTH01000033.1       363     -38.5603     -38.5603      0.0000
  QRF00010_CP002738.1           351     -38.4475     -38.4475      0.0000
  QRF00010_ABSP01001676.1       350     -41.7162     -41.7162      0.0000
  QRF00010_FO082060.1           365     -40.5787     -40.5787      0.0000
  QRF00010_AFJF01000001.1       394     -32.4889     -32.4889      0.0000
  QRF00010_AEGW02000003.1       350     -41.0076     -41.0076      0.0000
  QRF00010_CP002086.1           354     -27.7841     -27.7841      0.0000
  QRF00010_ACJN02000001.1       533     -34.3784     -34.3784      0.0000
  QRF00010_CP002881.1           360     -34.7453     -34.7453      0.0000
  QRF00010_AFOH01000117.1       345     -43.4268     -43.4268      0.0000
  QRF00010_AACY020185705.1      350     -34.0934     -34.0934      0.0000
  QRF00010_AGSX01000193.1       359     -36.9243     -36.9243      0.0000
  QRF00010_AFWT01000009.1       368     -47.4511     -47.4511      0.0000
  QRF00010_FM209186.1           350     -38.2407     -38.2407      0.0000
  QRF00010_CP002496.1           350     -38.2407     -38.2407      0.0000
  QRF00010_CP000438.1           350     -38.2407     -38.2407      0.0000
  QRF00010_BADP01000198.1       350     -38.2407     -38.2407      0.0000
  QRF00010_AP012280.1           350     -38.2407     -38.2407      0.0000
  QRF00010_AFXK01000001.1       350     -38.2407     -38.2407      0.0000
  QRF00010_AFXJ01000001.1       350     -38.2407     -38.2407      0.0000
  QRF00010_AFXI01000001.1       350     -38.2407     -38.2407      0.0000
  QRF00010_AFNF01000315.1       350     -38.2407     -38.2407      0.0000
  QRF00010_AEVW01000050.1       350     -38.2407     -38.2407      0.0000
  QRF00010_AEVV01000076.1       350     -38.2407     -38.2407      0.0000
  QRF00010_AEEX01000069.1       350     -38.2407     -38.2407      0.0000
  QRF00010_AE004091.2           350     -38.2407     -38.2407      0.0000
  QRF00010_ACWU01000204.1       350     -38.2407     -38.2407      0.0000
  QRF00010_ABKZ01000485.1       350     -38.2407     -38.2407      0.0000
  QRF00010_CP002622.1           360     -34.7453     -34.7453      0.0000
  QRF00010_ABYY01000008.1       344     -25.0489     -25.0489      0.0000
  QRF00010_AACY020062040.1      355     -34.6657     -34.6657      0.0000
  QRF00010_AACY023745699.1      347     -39.7457     -39.7457      0.0000
  QRF00010_AGTR01000084.1       350     -36.9325     -36.9325      0.0000
  QRF00010_CP000937.1           344     -25.0489     -25.0489      0.0000
  QRF00010_ACKY01000130.1       336     -31.9679     -31.9679      0.0000
  QRF00010_AAQW01000001.1       350     -38.2407     -38.2407      0.0000
  QRF00010_AFZB01000010.1       349     -40.9045     -40.9045      0.0000
  QRF00010_AFOC01000030.1       349     -40.9045     -40.9045      0.0000
  QRF00010_ABSG01000028.1       354     -33.6783     -33.6783      0.0000
  QRF00010_ABSP01006958.1       367     -33.1285     -33.1285      0.0000
  QRF00010_CP000744.1           350     -35.7807     -35.7807      0.0000
  QRF00010_CP001978.1           350     -37.0875     -37.0875      0.0000
  QRF00010_AP011529.1           404     -32.6044     -32.6044      0.0000
  QRF00010_AGBG01000003.1       351     -38.4142     -38.4142      0.0000
  QRF00010_CR628336.1           373     -37.0485     -37.0485      0.0000
  QRF00010_CP001649.1           366     -36.4469     -36.4469      0.0000
  QRF00010_CP002870.1           360     -39.8565     -39.8565      0.0000
  QRF00010_AFFX01000011.1       358     -34.5677     -34.5677      0.0000
  QRF00010_CP002727.1           350     -36.3655     -36.3655      0.0000
  QRF00010_CP001798.1           351     -29.4504     -29.4504      0.0000
  QRF00010_AATN01000057.1       365     -38.8683     -38.8683      0.0000
  QRF01695_CP001875.2            88     -86.9151     -86.9151      0.0000
  QRF01695_AEAF01000460.1        87     -83.8684     -83.8684      0.0000
  QRF01695_AGAS01001096.1        87     -80.7179     -80.7179      0.0000
  QRF01695_AEAI01001819.1        87     -80.7179     -80.7179      0.0000
  QRF01695_AEAI01000880.1        87     -80.7179     -80.7179      0.0000
  QRF01695_ADMI01000085.1        87     -80.7179     -80.7179      0.0000
  QRF01695_BAEF01000009.1        88     -87.3595     -87.3595      0.0000
  QRF01695_AFTG01000340.1        87     -84.1841     -84.1841      0.0000
  QRF01695_HM236454.1            88     -82.7905     -82.7905      0.0000
  QRF01695_AM181176.4            87     -82.2897     -82.2897      0.0000
  QRF01695_AGFS01032870.1        87     -85.4468     -85.4468      0.0000
  QRF01695_AGCS01000002.1        87     -80.4610     -80.4610      0.0000
  QRF01695_AGCS01000002.1        87     -86.6425     -86.6425      0.0000
  QRF01695_CP002154.1            87     -87.3339     -87.3339      0.0000
  QRF01695_AEDL01000013.1        88     -85.4388     -85.4388      0.0000
  QRF01695_AGFS01106545.1        85     -86.0697     -86.0697      0.0000
  QRF01695_AGFS01092185.1        85     -86.0697     -86.0697      0.0000
  QRF01695_AFTG01000021.1        87     -80.9279     -80.9279      0.0000
  QRF01695_AM181176.4            87     -88.2694     -88.2694      0.0000
  QRF01695_HM752578.1            87     -86.5598     -86.5598      0.0000
  QRF01695_AGCS01000012.1        87     -83.3162     -83.3162      0.0000
  QRF01695_CADX01000041.1        88     -89.1239     -89.1239      0.0000
  QRF01695_CADW01000337.1        88     -89.1239     -89.1239      0.0000
  QRF01695_AGFS01169096.1        87     -81.5313     -81.5313      0.0000
  QRF01695_ACOQ01000013.1        87     -88.1947     -88.1947      0.0000
  QRF01695_AFOY01000061.1        86     -83.4866     -83.4866      0.0000
  QRF01695_AFOY01000051.1        87     -81.0163     -81.0163      0.0000
  QRF01695_AFOY01000012.1        86     -81.7633     -81.7633      0.0000
  QRF01695_CADX01000050.1        87     -84.6928     -84.6928      0.0000
  QRF01695_CADW01000142.1        87     -84.6928     -84.6928      0.0000
  QRF01695_BABY01000089.1        88     -84.8551     -84.8551      0.0000
  QRF01695_AFOY01000127.1        87     -80.7302     -80.7302      0.0000
  QRF01695_AF074874.1            88     -75.2008     -75.2008      0.0000
  QRF01695_AEAZ01000014.1        87     -88.7416     -88.7416      0.0000
