# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00447.cm
# date:    Sat May 14 04:33:05 2016
# seed:    1463200385
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  IRES_Kv1_4                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:06.38       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -102.0023    -102.0023      0.0000
  QRF01739_AGJC01000011.1        62    -106.7524    -106.7524      0.0000
  QRF01739_AP012205.1            62    -108.0390    -108.0390      0.0000
  QRF01739_AEPQ01000180.1        85     -91.6062     -91.6062      0.0000
  QRF01739_AACY023065314.1       57    -104.5893    -104.5893      0.0000
  QRF01739_AACY020081009.1       57    -104.5893    -104.5893      0.0000
  QRF01739_ACSK01000180.1        92     -92.3254     -92.3254      0.0000
  QRF01739_BA000039.2           113     -79.8470     -79.8470      0.0000
  QRF01739_AACY023081145.1       53    -108.7174    -108.7174      0.0000
  QRF01739_AFSR01000238.1        99     -95.5081     -95.5081      0.0000
  QRF01739_AGJC01000003.1        76    -100.6378    -100.6378      0.0000
  QRF01739_AFSR01000146.1        92    -100.1061    -100.1061      0.0000
  QRF01739_CACA01000349.1        84     -96.8999     -96.8999      0.0000
  QRF01739_AACY022751187.1       52    -104.9880    -104.9880      0.0000
  QRF01739_AACY022283709.1       52    -104.9880    -104.9880      0.0000
