# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01722.cm
# date:    Fri May 13 21:29:09 2016
# seed:    1463174949
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Pyrobac-1                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:20.02       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -14.9716     -14.9716      0.0000
  QRF01739_AGJC01000011.1        62     -12.7143     -12.7143      0.0000
  QRF01739_AP012205.1            62     -15.2689     -15.2689      0.0000
  QRF01739_AEPQ01000180.1        85     -11.5271     -11.5271      0.0000
  QRF01739_AACY023065314.1       57     -15.8749     -15.8749      0.0000
  QRF01739_AACY020081009.1       57     -15.8749     -15.8749      0.0000
  QRF01739_ACSK01000180.1        92     -10.5248     -10.5248      0.0000
  QRF01739_BA000039.2           113     -11.7927     -11.7927      0.0000
  QRF01739_AACY023081145.1       53     -16.7699     -16.7699      0.0000
  QRF01739_AFSR01000238.1        99     -16.2925     -16.2925      0.0000
  QRF01739_AGJC01000003.1        76      -6.8608      -6.8608      0.0000
  QRF01739_AFSR01000146.1        92      -5.0850      -5.0850      0.0000
  QRF01739_CACA01000349.1        84     -10.2657     -10.2657      0.0000
  QRF01739_AACY022751187.1       52     -11.0069     -11.0069      0.0000
  QRF01739_AACY022283709.1       52     -11.0069     -11.0069      0.0000
  QRF01739_ABPS01003770.1       123      -8.7870      -8.7870      0.0000
  QRF01739_AFEJ01000345.1        83      -8.5525      -8.5525      0.0000
  QRF00005_CABR01000029.1        73     -14.4789     -14.4789      0.0000
  QRF00005_AFSR01002788.1        74     -13.6323     -13.6323      0.0000
  QRF00005_CP000927.1            72     -17.1623     -17.1623      0.0000
  QRF00005_AY741371.1            72     -11.7307     -11.7307      0.0000
  QRF00005_AEGR01000006.1        73     -15.7729     -15.7729      0.0000
  QRF00005_CP001189.1            73     -10.2470     -10.2470      0.0000
  QRF00005_CP000493.1            72      -6.1298      -6.1298      0.0000
  QRF00005_AP012159.1            73     -10.2470     -10.2470      0.0000
  QRF00005_AM889285.1            73     -10.2470     -10.2470      0.0000
  QRF00005_AGFR01000003.1        73     -14.2690     -14.2690      0.0000
  QRF00005_AFCH01000046.1        73     -10.2470     -10.2470      0.0000
  QRF00005_ADTV01000009.1        73     -10.2470     -10.2470      0.0000
  QRF00005_ABCE01000025.1        73     -15.4261     -15.4261      0.0000
  QRF00005_HM565909.1            72     -11.7307     -11.7307      0.0000
  QRF00005_CAFG01000441.1        73     -15.0999     -15.4957      0.3957
  QRF00005_AACY020656879.1       72     -12.2037     -12.2037      0.0000
  QRF00005_CP001744.1            73     -15.5331     -15.5331      0.0000
  QRF00005_CP000880.1            73     -18.7321     -18.7321      0.0000
  QRF00005_CACD01000012.1        73     -18.7321     -18.7321      0.0000
  QRF00005_CACD01000012.1        73     -18.7321     -18.7321      0.0000
  QRF00005_CACD01000012.1        73     -18.7321     -18.7321      0.0000
  QRF00005_AM849034.1            74     -16.0195     -16.0195      0.0000
  QRF00005_AM711867.1            74     -16.0195     -16.0195      0.0000
  QRF00005_AEQT01000005.1        73     -18.7321     -18.7321      0.0000
  QRF00005_AEQT01000005.1        73     -18.7321     -18.7321      0.0000
  QRF00005_ACDJ01000003.1        73     -18.7321     -18.7321      0.0000
  QRF00005_ABWL02000007.1        73     -18.7321     -18.7321      0.0000
  QRF00005_Z71579.1              73     -16.0873     -16.0873      0.0000
  QRF00005_X53782.1              73     -16.0873     -16.0873      0.0000
  QRF00005_M19391.1              73     -16.0873     -16.0873      0.0000
  QRF00005_M15314.1              73     -16.0873     -16.0873      0.0000
  QRF00005_L42023.1              73     -16.0873     -16.0873      0.0000
  QRF00005_L42023.1              73     -16.0873     -16.0873      0.0000
  QRF00005_L42023.1              73     -16.0873     -16.0873      0.0000
  QRF00005_FQ670204.1            73     -16.0873     -16.0873      0.0000
  QRF00005_FQ670204.1            73     -16.0873     -16.0873      0.0000
  QRF00005_FQ670204.1            73     -16.0873     -16.0873      0.0000
  QRF00005_FQ670178.1            73     -16.0873     -16.0873      0.0000
  QRF00005_FQ670178.1            73     -16.0873     -16.0873      0.0000
  QRF00005_FQ670178.1            73     -16.0873     -16.0873      0.0000
  QRF00005_FQ670178.1            73     -16.0873     -16.0873      0.0000
  QRF00005_FQ312006.1            73     -16.0873     -16.0873      0.0000
  QRF00005_FQ312006.1            73     -16.0873     -16.0873      0.0000
  QRF00005_FQ312006.1            73     -16.0873     -16.0873      0.0000
  QRF00005_FQ312002.1            73     -16.0873     -16.0873      0.0000
  QRF00005_FQ312002.1            73     -16.0873     -16.0873      0.0000
  QRF00005_FQ312002.1            73     -16.0873     -16.0873      0.0000
  QRF00005_EF196803.1            73     -16.0873     -16.0873      0.0000
  QRF00005_EF196803.1            73     -16.0873     -16.0873      0.0000
  QRF00005_CP003022.1            73     -16.0873     -16.0873      0.0000
  QRF00001_EU093378.1           119      -9.6282      -9.6282      0.0000
  QRF00001_AAAA02047827.1       119      -9.6282      -9.6282      0.0000
  QRF00001_AAAA02043281.1       119     -12.8344     -12.8344      0.0000
  QRF00001_EF064700.1           119      -5.8654      -5.8654      0.0000
  QRF00001_EF064692.1           119      -5.8654      -5.8654      0.0000
  QRF00001_EF064687.1           119      -5.8654      -5.8654      0.0000
  QRF00001_EF064680.1           119      -5.8654      -5.8654      0.0000
  QRF00001_EF064678.1           119      -5.8654      -5.8654      0.0000
  QRF00001_EF064556.1           119      -5.8654      -5.8654      0.0000
  QRF00001_AJ390135.1           119      -5.8654      -5.8654      0.0000
  QRF00001_HQ270965.1           119      -9.6282      -9.6282      0.0000
  QRF00001_GQ324770.1           119      -9.6282      -9.6282      0.0000
  QRF00001_FJ882503.1           119      -9.6282      -9.6282      0.0000
  QRF00001_AF550740.1           119      -9.6282      -9.6282      0.0000
  QRF00001_HQ270648.1           119      -9.6282      -9.6282      0.0000
  QRF00001_EU924818.1           119      -9.6282      -9.6282      0.0000
  QRF00001_EU093153.1           119      -9.6282      -9.6282      0.0000
  QRF00001_EF524209.1           119      -9.6282      -9.6282      0.0000
  QRF00001_AY316209.1           119      -9.6282      -9.6282      0.0000
  QRF00001_AY034674.1           119      -9.6282      -9.6282      0.0000
  QRF00001_AJ409525.1           119      -9.6282      -9.6282      0.0000
  QRF00001_AF550715.1           119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01010155.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01009775.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01009775.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01009775.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01009135.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01009119.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01009117.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01005845.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01005845.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01005844.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01005841.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01005839.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01005838.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01005838.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01005835.1       119      -9.6282      -9.6282      0.0000
  QRF00001_ABXC01005835.1       119      -9.6282      -9.6282      0.0000
  QRF00001_AAAA02039752.1       119      -9.6554      -9.6554      0.0000
  QRF00001_EU925066.1           119      -9.4782      -9.4782      0.0000
  QRF00001_EU093209.1           119      -9.4782      -9.4782      0.0000
  QRF00001_U02637.1             119      -9.6282      -9.6282      0.0000
  QRF00001_EU439291.1           119      -9.6282      -9.6282      0.0000
  QRF00001_EU439286.1           119      -9.6282      -9.6282      0.0000
  QRF00001_EU439284.1           119      -9.6282      -9.6282      0.0000
  QRF00001_EU439282.1           119      -9.6282      -9.6282      0.0000
  QRF00001_EU439280.1           119      -9.6282      -9.6282      0.0000
  QRF00001_EU439279.1           119      -9.6282      -9.6282      0.0000
  QRF00001_EU439278.1           119      -9.6282      -9.6282      0.0000
  QRF00001_EU439277.1           119      -9.6282      -9.6282      0.0000
  QRF01704_ACNY01000005.1        62     -17.8432     -17.8432      0.0000
  QRF01704_ADXL01000065.1        61     -11.3622     -11.3622      0.0000
  QRF01704_ADXL01000046.1        61      -7.3432      -7.3432      0.0000
  QRF01704_ADHP01001127.1        63     -15.6037     -15.6037      0.0000
  QRF01704_ADXM01000029.1        71     -15.4950     -15.4950      0.0000
  QRF01704_FJ869257.1            62     -13.8577     -13.8577      0.0000
  QRF01704_BX569692.1            62     -13.8577     -13.8577      0.0000
  QRF01704_AACY023835177.1       64     -17.4882     -17.4882      0.0000
  QRF01704_ACNY01000003.1        61     -11.3522     -11.3522      0.0000
  QRF01704_AACY020212823.1       62     -17.2505     -17.2505      0.0000
  QRF01704_GQ237222.1            58     -11.8345     -11.8345      0.0000
  QRF01704_ADHP01000860.1        64     -16.5694     -16.5694      0.0000
  QRF01704_AACY020313707.1       62     -11.6847     -11.6847      0.0000
  QRF01704_ACDW01000004.1        62     -16.4657     -16.4657      0.0000
  QRF01704_AACY022014507.1       62     -17.2505     -17.2505      0.0000
  QRF01704_ADHP01000878.1        59     -19.1229     -19.1229      0.0000
  QRF01704_AACY022415810.1       58     -19.1229     -19.1229      0.0000
  QRF01704_AACY020575673.1       58     -19.1229     -19.1229      0.0000
  QRF01704_ACNY01000005.1        59     -14.5645     -14.5645      0.0000
  QRF01704_ADHP01000854.1        63     -14.3558     -14.3558      0.0000
  QRF01704_GU936714.1            59     -16.7507     -16.7507      0.0000
  QRF01704_AACY021622950.1       62     -17.2505     -17.2505      0.0000
  QRF01704_CP000825.1            58     -19.1229     -19.1229      0.0000
  QRF01704_EU795157.1            64     -17.3355     -17.3355      0.0000
  QRF01704_ABVN01004790.1        61     -14.6398     -14.6398      0.0000
  QRF01704_ABMN01086741.1        60     -10.1305     -10.1305      0.0000
  QRF01704_DQ325539.1            60     -14.5645     -14.5645      0.0000
  QRF01704_ACNY01000005.1        62     -12.7553     -12.7553      0.0000
  QRF01704_ACNY01000004.1        60     -13.6613     -13.6613      0.0000
  QRF01704_ABVT01000061.1        57     -13.8795     -13.8795      0.0000
  QRF00023_CP001665.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP001509.3           363      -7.3535      -7.3535      0.0000
  QRF00023_CP000819.1           363      -7.3535      -7.3535      0.0000
  QRF00023_AM946981.2           363      -7.3535      -7.3535      0.0000
  QRF00023_ADTQ01000184.1       363      -7.3535      -7.3535      0.0000
  QRF00023_ADBT01000188.1       363      -7.3535      -7.3535      0.0000
  QRF00023_FN543093.2           364      -2.5934      -2.5934      0.0000
  QRF00023_AFAG01000033.1       363      -7.3535      -7.3535      0.0000
  QRF00023_AFAF01000014.1       363      -7.3535      -7.3535      0.0000
  QRF00023_ADUS01000034.1       363      -7.3535      -7.3535      0.0000
  QRF00023_U36840.1             363      -7.3535      -7.3535      0.0000
  QRF00023_FN649414.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CU928162.2           363      -7.3535      -7.3535      0.0000
  QRF00023_CU928161.2           363      -7.3535      -7.3535      0.0000
  QRF00023_CU928158.2           363      -7.3535      -7.3535      0.0000
  QRF00023_CU651637.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP003034.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP002797.2           363      -7.3535      -7.3535      0.0000
  QRF00023_CP002729.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP002516.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP002212.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP002211.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP002185.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP002167.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP001969.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP001855.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP001671.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP001637.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP001396.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP001383.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP000970.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP000948.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP000802.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP000243.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CP000038.1           363      -7.3535      -7.3535      0.0000
  QRF00023_CAFL01000074.1       363      -7.3535      -7.3535      0.0000
  QRF00023_CADZ01000057.1       363      -7.3535      -7.3535      0.0000
  QRF00023_BAAV01002786.1       363      -7.3535      -7.3535      0.0000
  QRF00023_AP012030.1           363      -7.3535      -7.3535      0.0000
  QRF00023_AP010960.1           363      -7.3535      -7.3535      0.0000
  QRF00023_AP010958.1           363      -7.3535      -7.3535      0.0000
  QRF00023_AP010953.1           363      -7.3535      -7.3535      0.0000
  QRF00023_AP009378.1           363      -7.3535      -7.3535      0.0000
  QRF00023_AP009240.1           363      -7.3535      -7.3535      0.0000
  QRF00023_AP009048.1           363      -7.3535      -7.3535      0.0000
  QRF00023_AJ304858.2           363      -7.3535      -7.3535      0.0000
  QRF00023_AGTK01000236.1       363      -7.3535      -7.3535      0.0000
  QRF00023_AGTJ01000345.1       363      -7.3535      -7.3535      0.0000
  QRF00023_AGTI01000029.1       363      -7.3535      -7.3535      0.0000
  QRF00023_AGTH01000033.1       363      -7.3535      -7.3535      0.0000
  QRF00010_CP002738.1           351      -6.9223      -6.9223      0.0000
  QRF00010_ABSP01001676.1       350      -8.2104      -8.2104      0.0000
  QRF00010_FO082060.1           365      -5.2638      -5.2638      0.0000
  QRF00010_AFJF01000001.1       394      -7.0742      -7.0742      0.0000
  QRF00010_AEGW02000003.1       350      -4.8432      -4.8432      0.0000
  QRF00010_CP002086.1           354      -1.7049      -1.7049      0.0000
  QRF00010_ACJN02000001.1       533      -3.2878      -3.2878      0.0000
