# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01700.cm
# date:    Sat May 14 00:38:53 2016
# seed:    1463186333
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Collinsella-1              search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:04.80       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -69.5577     -69.5577      0.0000
  QRF01739_AGJC01000011.1        62     -72.3906     -72.3906      0.0000
  QRF01739_AP012205.1            62     -72.3327     -72.3327      0.0000
  QRF01739_AEPQ01000180.1        85     -60.5315     -60.5315      0.0000
  QRF01739_AACY023065314.1       57     -71.4613     -71.4613      0.0000
  QRF01739_AACY020081009.1       57     -71.4613     -71.4613      0.0000
  QRF01739_ACSK01000180.1        92     -62.7194     -62.7194      0.0000
  QRF01739_BA000039.2           113     -50.4699     -50.4699      0.0000
  QRF01739_AACY023081145.1       53     -73.4974     -73.4974      0.0000
  QRF01739_AFSR01000238.1        99     -56.0142     -56.0142      0.0000
  QRF01739_AGJC01000003.1        76     -70.9272     -70.9272      0.0000
  QRF01739_AFSR01000146.1        92     -62.9850     -66.3547      3.3697
  QRF01739_CACA01000349.1        84     -64.2954     -64.2954      0.0000
  QRF01739_AACY022751187.1       52     -75.6477     -75.6477      0.0000
  QRF01739_AACY022283709.1       52     -75.6477     -75.6477      0.0000
  QRF01739_ABPS01003770.1       123     -47.5671     -47.5671      0.0000
  QRF01739_AFEJ01000345.1        83     -66.1976     -66.1976      0.0000
  QRF00005_CABR01000029.1        73     -68.9462     -68.9462      0.0000
  QRF00005_AFSR01002788.1        74     -69.4663     -69.4663      0.0000
  QRF00005_CP000927.1            72     -69.2846     -69.2846      0.0000
  QRF00005_AY741371.1            72     -69.6067     -69.6067      0.0000
  QRF00005_AEGR01000006.1        73     -57.8032     -57.8032      0.0000
  QRF00005_CP001189.1            73     -69.8730     -69.8730      0.0000
  QRF00005_CP000493.1            72     -66.1027     -66.1027      0.0000
  QRF00005_AP012159.1            73     -69.8730     -69.8730      0.0000
  QRF00005_AM889285.1            73     -69.8730     -69.8730      0.0000
  QRF00005_AGFR01000003.1        73     -68.0373     -68.0373      0.0000
  QRF00005_AFCH01000046.1        73     -69.8730     -69.8730      0.0000
  QRF00005_ADTV01000009.1        73     -69.8730     -69.8730      0.0000
  QRF00005_ABCE01000025.1        73     -68.7228     -68.7228      0.0000
  QRF00005_HM565909.1            72     -66.7530     -66.7530      0.0000
  QRF00005_CAFG01000441.1        73     -61.2179     -61.2179      0.0000
  QRF00005_AACY020656879.1       72     -69.6904     -69.6904      0.0000
  QRF00005_CP001744.1            73     -70.6251     -70.6251      0.0000
  QRF00005_CP000880.1            73     -64.8578     -64.8578      0.0000
  QRF00005_CACD01000012.1        73     -64.8578     -64.8578      0.0000
  QRF00005_CACD01000012.1        73     -64.8578     -64.8578      0.0000
  QRF00005_CACD01000012.1        73     -64.8578     -64.8578      0.0000
  QRF00005_AM849034.1            74     -64.7780     -64.7780      0.0000
  QRF00005_AM711867.1            74     -64.7780     -64.7780      0.0000
  QRF00005_AEQT01000005.1        73     -64.8578     -64.8578      0.0000
  QRF00005_AEQT01000005.1        73     -64.8578     -64.8578      0.0000
  QRF00005_ACDJ01000003.1        73     -64.8578     -64.8578      0.0000
  QRF00005_ABWL02000007.1        73     -64.8578     -64.8578      0.0000
  QRF00005_Z71579.1              73     -70.8719     -70.8719      0.0000
  QRF00005_X53782.1              73     -70.8719     -70.8719      0.0000
  QRF00005_M19391.1              73     -70.8719     -70.8719      0.0000
  QRF00005_M15314.1              73     -70.8719     -70.8719      0.0000
  QRF00005_L42023.1              73     -70.8719     -70.8719      0.0000
  QRF00005_L42023.1              73     -70.8719     -70.8719      0.0000
  QRF00005_L42023.1              73     -70.8719     -70.8719      0.0000
  QRF00005_FQ670204.1            73     -70.8719     -70.8719      0.0000
  QRF00005_FQ670204.1            73     -70.8719     -70.8719      0.0000
  QRF00005_FQ670204.1            73     -70.8719     -70.8719      0.0000
  QRF00005_FQ670178.1            73     -70.8719     -70.8719      0.0000
  QRF00005_FQ670178.1            73     -70.8719     -70.8719      0.0000
  QRF00005_FQ670178.1            73     -70.8719     -70.8719      0.0000
  QRF00005_FQ670178.1            73     -70.8719     -70.8719      0.0000
  QRF00005_FQ312006.1            73     -70.8719     -70.8719      0.0000
  QRF00005_FQ312006.1            73     -70.8719     -70.8719      0.0000
  QRF00005_FQ312006.1            73     -70.8719     -70.8719      0.0000
  QRF00005_FQ312002.1            73     -70.8719     -70.8719      0.0000
  QRF00005_FQ312002.1            73     -70.8719     -70.8719      0.0000
  QRF00005_FQ312002.1            73     -70.8719     -70.8719      0.0000
  QRF00005_EF196803.1            73     -70.8719     -70.8719      0.0000
  QRF00005_EF196803.1            73     -70.8719     -70.8719      0.0000
  QRF00005_CP003022.1            73     -70.8719     -70.8719      0.0000
  QRF00001_EU093378.1           119     -45.9065     -45.9065      0.0000
  QRF00001_AAAA02047827.1       119     -46.4132     -46.4132      0.0000
  QRF00001_AAAA02043281.1       119     -45.8572     -45.8572      0.0000
  QRF00001_EF064700.1           119     -46.1789     -46.1789      0.0000
  QRF00001_EF064692.1           119     -46.1789     -46.1789      0.0000
  QRF00001_EF064687.1           119     -46.1789     -46.1789      0.0000
  QRF00001_EF064680.1           119     -46.1789     -46.1789      0.0000
  QRF00001_EF064678.1           119     -46.1789     -46.1789      0.0000
  QRF00001_EF064556.1           119     -46.1789     -46.1789      0.0000
  QRF00001_AJ390135.1           119     -46.1789     -46.1789      0.0000
  QRF00001_HQ270965.1           119     -46.4132     -46.4132      0.0000
  QRF00001_GQ324770.1           119     -46.4132     -46.4132      0.0000
  QRF00001_FJ882503.1           119     -46.4132     -46.4132      0.0000
  QRF00001_AF550740.1           119     -46.4132     -46.4132      0.0000
  QRF00001_HQ270648.1           119     -47.8781     -47.8781      0.0000
  QRF00001_EU924818.1           119     -47.8781     -47.8781      0.0000
  QRF00001_EU093153.1           119     -47.8781     -47.8781      0.0000
  QRF00001_EF524209.1           119     -47.8781     -47.8781      0.0000
  QRF00001_AY316209.1           119     -47.8781     -47.8781      0.0000
  QRF00001_AY034674.1           119     -47.8781     -47.8781      0.0000
  QRF00001_AJ409525.1           119     -47.8781     -47.8781      0.0000
  QRF00001_AF550715.1           119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01010155.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01009775.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01009775.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01009775.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01009135.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01009119.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01009117.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01005845.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01005845.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01005844.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01005841.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01005839.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01005838.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01005838.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01005835.1       119     -47.8781     -47.8781      0.0000
  QRF00001_ABXC01005835.1       119     -47.8781     -47.8781      0.0000
  QRF00001_AAAA02039752.1       119     -45.6599     -45.6599      0.0000
  QRF00001_EU925066.1           119     -45.6599     -45.6599      0.0000
  QRF00001_EU093209.1           119     -45.6599     -45.6599      0.0000
  QRF00001_U02637.1             119     -45.6599     -45.6599      0.0000
  QRF00001_EU439291.1           119     -45.6599     -45.6599      0.0000
  QRF00001_EU439286.1           119     -45.6599     -45.6599      0.0000
  QRF00001_EU439284.1           119     -45.6599     -45.6599      0.0000
  QRF00001_EU439282.1           119     -45.6599     -45.6599      0.0000
  QRF00001_EU439280.1           119     -45.6599     -45.6599      0.0000
  QRF00001_EU439279.1           119     -45.6599     -45.6599      0.0000
  QRF00001_EU439278.1           119     -45.6599     -45.6599      0.0000
  QRF00001_EU439277.1           119     -45.6599     -45.6599      0.0000
  QRF01704_ACNY01000005.1        62     -75.9233     -75.9233      0.0000
  QRF01704_ADXL01000065.1        61     -69.5633     -69.5633      0.0000
  QRF01704_ADXL01000046.1        61     -69.5733     -69.5733      0.0000
  QRF01704_ADHP01001127.1        63     -66.1614     -66.1614      0.0000
  QRF01704_ADXM01000029.1        71     -68.3671     -68.3671      0.0000
  QRF01704_FJ869257.1            62     -76.0865     -76.0865      0.0000
  QRF01704_BX569692.1            62     -76.0865     -76.0865      0.0000
  QRF01704_AACY023835177.1       64     -72.9382     -72.9382      0.0000
  QRF01704_ACNY01000003.1        61     -69.6052     -69.6052      0.0000
  QRF01704_AACY020212823.1       62     -66.5937     -66.5937      0.0000
  QRF01704_GQ237222.1            58     -69.7111     -69.7111      0.0000
  QRF01704_ADHP01000860.1        64     -71.9754     -71.9754      0.0000
  QRF01704_AACY020313707.1       62     -73.5586     -73.5586      0.0000
  QRF01704_ACDW01000004.1        62     -69.9590     -69.9590      0.0000
  QRF01704_AACY022014507.1       62     -69.9670     -69.9670      0.0000
  QRF01704_ADHP01000878.1        59     -78.0323     -78.0323      0.0000
