# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00550.cm
# date:    Sat May 14 04:05:26 2016
# seed:    1463198726
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  HepE_CRE                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:12.88       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -48.0128     -48.0128      0.0000
  QRF01739_AGJC01000011.1        62     -55.6865     -55.6865      0.0000
  QRF01739_AP012205.1            62     -51.5102     -51.5102      0.0000
  QRF01739_AEPQ01000180.1        85     -49.5538     -49.5538      0.0000
  QRF01739_AACY023065314.1       57     -56.5037     -56.5037      0.0000
  QRF01739_AACY020081009.1       57     -56.5037     -56.5037      0.0000
  QRF01739_ACSK01000180.1        92     -51.8448     -51.8448      0.0000
  QRF01739_BA000039.2           113     -37.8522     -41.6712      3.8190
  QRF01739_AACY023081145.1       53     -58.1466     -58.1466      0.0000
  QRF01739_AFSR01000238.1        99     -49.6610     -49.9905      0.3295
  QRF01739_AGJC01000003.1        76     -49.3256     -49.3256      0.0000
  QRF01739_AFSR01000146.1        92     -52.5566     -52.5566      0.0000
  QRF01739_CACA01000349.1        84     -53.2985     -53.2985      0.0000
  QRF01739_AACY022751187.1       52     -57.2009     -57.2009      0.0000
  QRF01739_AACY022283709.1       52     -57.2009     -57.2009      0.0000
  QRF01739_ABPS01003770.1       123     -36.2641     -36.2641      0.0000
  QRF01739_AFEJ01000345.1        83     -47.6647     -47.6647      0.0000
  QRF00005_CABR01000029.1        73     -48.2453     -48.2453      0.0000
  QRF00005_AFSR01002788.1        74     -40.1450     -40.1450      0.0000
  QRF00005_CP000927.1            72     -45.6502     -45.6502      0.0000
  QRF00005_AY741371.1            72     -35.9857     -35.9857      0.0000
  QRF00005_AEGR01000006.1        73     -42.2786     -42.2786      0.0000
  QRF00005_CP001189.1            73     -42.8241     -42.8241      0.0000
  QRF00005_CP000493.1            72     -40.3220     -40.3220      0.0000
  QRF00005_AP012159.1            73     -42.8241     -42.8241      0.0000
  QRF00005_AM889285.1            73     -42.8241     -42.8241      0.0000
  QRF00005_AGFR01000003.1        73     -40.1027     -40.1027      0.0000
  QRF00005_AFCH01000046.1        73     -42.8241     -42.8241      0.0000
  QRF00005_ADTV01000009.1        73     -42.8241     -42.8241      0.0000
  QRF00005_ABCE01000025.1        73     -47.0179     -47.0179      0.0000
  QRF00005_HM565909.1            72     -41.2376     -41.2376      0.0000
  QRF00005_CAFG01000441.1        73     -44.9400     -44.9400      0.0000
  QRF00005_AACY020656879.1       72     -40.5056     -40.5056      0.0000
  QRF00005_CP001744.1            73     -43.0735     -43.0735      0.0000
  QRF00005_CP000880.1            73     -43.4309     -43.4309      0.0000
  QRF00005_CACD01000012.1        73     -43.4309     -43.4309      0.0000
  QRF00005_CACD01000012.1        73     -43.4309     -43.4309      0.0000
  QRF00005_CACD01000012.1        73     -43.4309     -43.4309      0.0000
  QRF00005_AM849034.1            74     -42.6483     -42.6483      0.0000
  QRF00005_AM711867.1            74     -42.6483     -42.6483      0.0000
  QRF00005_AEQT01000005.1        73     -43.4309     -43.4309      0.0000
  QRF00005_AEQT01000005.1        73     -43.4309     -43.4309      0.0000
