# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01796.cm
# date:    Tue May 10 02:37:03 2016
# seed:    1462847823
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  frnS                       search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.52       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -14.0587     -14.0587      0.0000
  RF00418_AAIY01556911.1        141     -13.4302     -13.4302      0.0000
  RF00418_AAYZ01244227.1        137     -14.6271     -14.6271      0.0000
  RF00418_AF357386.1            126     -14.5325     -14.5325      0.0000
  RF00418_AABR04001620.1        135     -14.5645     -14.5645      0.0000
  RF00418_AAQQ01789110.1        137      -8.2765      -8.2765      0.0000
  RF00418_AJ609450.1            137     -17.6398     -17.6398      0.0000
  RF00418_AL590431.11           136     -24.2772     -24.2772      0.0000
  RF00418_AL049745.9            136      -7.2141      -7.2141      0.0000
  RF00418_ABDC01240840.1        136     -11.9910     -11.9910      0.0000
  RF00418_AAQR01162064.1        136     -19.0573     -19.0573      0.0000
  RF00418_AAEX02026315.1        137     -15.1531     -15.1531      0.0000
  RF00418_AANG01021210.1        136     -21.7188     -21.7188      0.0000
  RF00418_AAFC03027776.1        135     -16.1405     -16.1405      0.0000
  RF00418_AAPE01281662.1        136     -15.1547     -15.1547      0.0000
  RF00418_AALT01368588.1        136     -13.0243     -13.0243      0.0000
  RF00418_AAWR02038694.1        136     -20.2266     -20.2266      0.0000
  RF00418_AAGV020286123.1       137      -9.3514      -9.3514      0.0000
  RF00418_AAFR03052180.1        134     -20.4886     -20.4886      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.54    0.96        0  0.00000    0.00
#
# CPU time: 1.06u 0.00s 00:00:01.06 Elapsed: 00:00:01
