# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00504.cm
# date:    Fri May 13 22:57:39 2016
# seed:    1463180259
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Glycine                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:49.57       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -11.9157     -11.9157      0.0000
  QRF01739_AGJC01000011.1        62     -18.4188     -18.4188      0.0000
  QRF01739_AP012205.1            62     -21.3728     -21.3728      0.0000
  QRF01739_AEPQ01000180.1        85     -21.5369     -21.5369      0.0000
  QRF01739_AACY023065314.1       57     -21.1995     -21.1995      0.0000
  QRF01739_AACY020081009.1       57     -21.1995     -21.1995      0.0000
  QRF01739_ACSK01000180.1        92     -18.6869     -18.6869      0.0000
  QRF01739_BA000039.2           113     -17.9504     -17.9504      0.0000
  QRF01739_AACY023081145.1       53     -25.4838     -25.4838      0.0000
  QRF01739_AFSR01000238.1        99     -20.9371     -20.9371      0.0000
  QRF01739_AGJC01000003.1        76     -16.0063     -16.0063      0.0000
  QRF01739_AFSR01000146.1        92     -20.5601     -20.5601      0.0000
  QRF01739_CACA01000349.1        84     -21.7312     -21.7312      0.0000
  QRF01739_AACY022751187.1       52     -21.4122     -21.4122      0.0000
  QRF01739_AACY022283709.1       52     -21.4122     -21.4122      0.0000
  QRF01739_ABPS01003770.1       123      -7.8622      -7.8622      0.0000
  QRF01739_AFEJ01000345.1        83     -22.1773     -22.1773      0.0000
  QRF00005_CABR01000029.1        73     -17.3262     -17.3262      0.0000
  QRF00005_AFSR01002788.1        74     -19.9510     -19.9510      0.0000
  QRF00005_CP000927.1            72     -23.9735     -23.9735      0.0000
  QRF00005_AY741371.1            72     -17.6116     -17.6116      0.0000
  QRF00005_AEGR01000006.1        73     -23.0801     -23.0801      0.0000
  QRF00005_CP001189.1            73     -17.6476     -17.6476      0.0000
  QRF00005_CP000493.1            72     -18.3004     -18.3004      0.0000
  QRF00005_AP012159.1            73     -17.6476     -17.6476      0.0000
  QRF00005_AM889285.1            73     -17.6476     -17.6476      0.0000
  QRF00005_AGFR01000003.1        73     -17.8564     -17.8564      0.0000
  QRF00005_AFCH01000046.1        73     -17.6476     -17.6476      0.0000
  QRF00005_ADTV01000009.1        73     -17.6476     -17.6476      0.0000
  QRF00005_ABCE01000025.1        73     -21.8191     -21.8191      0.0000
  QRF00005_HM565909.1            72     -16.9555     -16.9555      0.0000
  QRF00005_CAFG01000441.1        73     -20.2059     -20.2059      0.0000
  QRF00005_AACY020656879.1       72     -18.0665     -18.0665      0.0000
  QRF00005_CP001744.1            73     -25.7835     -25.7835      0.0000
