# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01907.cm
# date:    Sat May 14 03:13:59 2016
# seed:    1463195639
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  HOTAIR_4                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:23.49       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -64.5037     -64.5037      0.0000
  QRF01739_AGJC01000011.1        62     -68.6208     -68.6208      0.0000
  QRF01739_AP012205.1            62     -69.5856     -69.5856      0.0000
  QRF01739_AEPQ01000180.1        85     -61.5095     -61.5095      0.0000
  QRF01739_AACY023065314.1       57     -73.9630     -73.9630      0.0000
  QRF01739_AACY020081009.1       57     -73.9630     -73.9630      0.0000
  QRF01739_ACSK01000180.1        92     -67.0431     -67.0431      0.0000
  QRF01739_BA000039.2           113     -57.5032     -57.5032      0.0000
  QRF01739_AACY023081145.1       53     -73.8265     -73.8265      0.0000
  QRF01739_AFSR01000238.1        99     -64.3129     -64.3129      0.0000
  QRF01739_AGJC01000003.1        76     -69.7277     -69.7277      0.0000
  QRF01739_AFSR01000146.1        92     -64.2406     -64.2406      0.0000
  QRF01739_CACA01000349.1        84     -65.2461     -65.2461      0.0000
  QRF01739_AACY022751187.1       52     -70.0061     -70.0061      0.0000
  QRF01739_AACY022283709.1       52     -70.0061     -70.0061      0.0000
  QRF01739_ABPS01003770.1       123     -50.4241     -50.4241      0.0000
  QRF01739_AFEJ01000345.1        83     -59.5004     -59.5004      0.0000
  QRF00005_CABR01000029.1        73     -72.4338     -72.4338      0.0000
  QRF00005_AFSR01002788.1        74     -62.0322     -62.0322      0.0000
  QRF00005_CP000927.1            72     -74.1643     -74.1643      0.0000
  QRF00005_AY741371.1            72     -66.3235     -66.3235      0.0000
  QRF00005_AEGR01000006.1        73     -76.1929     -76.1929      0.0000
  QRF00005_CP001189.1            73     -71.5328     -71.5328      0.0000
