# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01726.cm
# date:    Tue May 10 02:39:06 2016
# seed:    1462847946
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SAM-II_long_loops          search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.18       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -10.1522     -10.1522      0.0000
  RF00418_AAIY01556911.1        141      -7.2465      -7.2465      0.0000
  RF00418_AAYZ01244227.1        137      -7.0985      -7.0985      0.0000
  RF00418_AF357386.1            126      -6.4516      -6.4516      0.0000
  RF00418_AABR04001620.1        135      -4.5916      -4.5916      0.0000
  RF00418_AAQQ01789110.1        137     -12.4699     -12.4699      0.0000
  RF00418_AJ609450.1            137     -10.2760     -10.2760      0.0000
  RF00418_AL590431.11           136       0.3466       0.3466      0.0000
  RF00418_AL049745.9            136     -10.6482     -10.6482      0.0000
  RF00418_ABDC01240840.1        136      -0.4170      -0.4170      0.0000
  RF00418_AAQR01162064.1        136      -8.5975      -8.5975      0.0000
  RF00418_AAEX02026315.1        137      -6.6190      -6.6190      0.0000
  RF00418_AANG01021210.1        136     -21.1244     -21.1244      0.0000
  RF00418_AAFC03027776.1        135      -9.1595      -9.1595      0.0000
  RF00418_AAPE01281662.1        136     -17.0648     -17.0648      0.0000
  RF00418_AALT01368588.1        136      -6.4817      -6.4817      0.0000
  RF00418_AAWR02038694.1        136      -7.5260      -7.5260      0.0000
  RF00418_AAGV020286123.1       137      -6.2651      -6.2651      0.0000
  RF00418_AAFR03052180.1        134     -15.6378     -15.6378      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.42    0.43        0  0.00000    0.00
#
# CPU time: 0.60u 0.00s 00:00:00.60 Elapsed: 00:00:01
