# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01768.cm
# date:    Sat May 14 01:19:40 2016
# seed:    1463188780
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  flavi_FSE                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:18.97       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -7.0604      -7.0604      0.0000
  QRF01739_AGJC01000011.1        62     -10.2475     -10.2475      0.0000
  QRF01739_AP012205.1            62     -12.6259     -12.6259      0.0000
  QRF01739_AEPQ01000180.1        85      -8.0155      -8.0155      0.0000
  QRF01739_AACY023065314.1       57     -10.8670     -10.8670      0.0000
  QRF01739_AACY020081009.1       57     -10.8670     -10.8670      0.0000
  QRF01739_ACSK01000180.1        92      -6.3536      -6.3536      0.0000
  QRF01739_BA000039.2           113     -10.1236     -10.1236      0.0000
  QRF01739_AACY023081145.1       53     -13.6649     -13.6649      0.0000
  QRF01739_AFSR01000238.1        99     -12.7129     -12.7129      0.0000
  QRF01739_AGJC01000003.1        76     -11.5104     -11.5104      0.0000
  QRF01739_AFSR01000146.1        92      -7.9658      -7.9658      0.0000
  QRF01739_CACA01000349.1        84     -11.8645     -11.8645      0.0000
  QRF01739_AACY022751187.1       52      -9.6137      -9.6137      0.0000
  QRF01739_AACY022283709.1       52      -9.6137      -9.6137      0.0000
  QRF01739_ABPS01003770.1       123      -9.7340      -9.7340      0.0000
  QRF01739_AFEJ01000345.1        83     -12.9566     -12.9566      0.0000
  QRF00005_CABR01000029.1        73     -14.7842     -14.7842      0.0000
  QRF00005_AFSR01002788.1        74     -15.4015     -15.4015      0.0000
  QRF00005_CP000927.1            72     -14.3823     -14.3823      0.0000
  QRF00005_AY741371.1            72     -10.2494     -10.2494      0.0000
  QRF00005_AEGR01000006.1        73     -17.2637     -17.2637      0.0000
  QRF00005_CP001189.1            73     -15.6630     -15.6630      0.0000
  QRF00005_CP000493.1            72     -13.8702     -13.8702      0.0000
  QRF00005_AP012159.1            73     -15.6630     -15.6630      0.0000
  QRF00005_AM889285.1            73     -15.6630     -15.6630      0.0000
  QRF00005_AGFR01000003.1        73     -12.1550     -12.1550      0.0000
  QRF00005_AFCH01000046.1        73     -15.6630     -15.6630      0.0000
  QRF00005_ADTV01000009.1        73     -15.6630     -15.6630      0.0000
  QRF00005_ABCE01000025.1        73     -16.1650     -16.1650      0.0000
  QRF00005_HM565909.1            72     -11.3529     -11.3529      0.0000
  QRF00005_CAFG01000441.1        73     -16.8407     -16.8407      0.0000
  QRF00005_AACY020656879.1       72     -10.2621     -10.2621      0.0000
  QRF00005_CP001744.1            73     -16.5881     -16.5881      0.0000
  QRF00005_CP000880.1            73     -11.2050     -11.2050      0.0000
  QRF00005_CACD01000012.1        73     -11.2050     -11.2050      0.0000
  QRF00005_CACD01000012.1        73     -11.2050     -11.2050      0.0000
  QRF00005_CACD01000012.1        73     -11.2050     -11.2050      0.0000
  QRF00005_AM849034.1            74      -8.6854      -8.6854      0.0000
  QRF00005_AM711867.1            74      -8.6854      -8.6854      0.0000
  QRF00005_AEQT01000005.1        73     -11.2050     -11.2050      0.0000
  QRF00005_AEQT01000005.1        73     -11.2050     -11.2050      0.0000
  QRF00005_ACDJ01000003.1        73     -11.2050     -11.2050      0.0000
  QRF00005_ABWL02000007.1        73     -11.2050     -11.2050      0.0000
  QRF00005_Z71579.1              73     -16.6620     -16.6620      0.0000
  QRF00005_X53782.1              73     -16.6620     -16.6620      0.0000
  QRF00005_M19391.1              73     -16.6620     -16.6620      0.0000
  QRF00005_M15314.1              73     -16.6620     -16.6620      0.0000
  QRF00005_L42023.1              73     -16.6620     -16.6620      0.0000
  QRF00005_L42023.1              73     -16.6620     -16.6620      0.0000
  QRF00005_L42023.1              73     -16.6620     -16.6620      0.0000
  QRF00005_FQ670204.1            73     -16.6620     -16.6620      0.0000
  QRF00005_FQ670204.1            73     -16.6620     -16.6620      0.0000
  QRF00005_FQ670204.1            73     -16.6620     -16.6620      0.0000
  QRF00005_FQ670178.1            73     -16.6620     -16.6620      0.0000
  QRF00005_FQ670178.1            73     -16.6620     -16.6620      0.0000
  QRF00005_FQ670178.1            73     -16.6620     -16.6620      0.0000
  QRF00005_FQ670178.1            73     -16.6620     -16.6620      0.0000
  QRF00005_FQ312006.1            73     -16.6620     -16.6620      0.0000
  QRF00005_FQ312006.1            73     -16.6620     -16.6620      0.0000
  QRF00005_FQ312006.1            73     -16.6620     -16.6620      0.0000
  QRF00005_FQ312002.1            73     -16.6620     -16.6620      0.0000
  QRF00005_FQ312002.1            73     -16.6620     -16.6620      0.0000
  QRF00005_FQ312002.1            73     -16.6620     -16.6620      0.0000
  QRF00005_EF196803.1            73     -16.6620     -16.6620      0.0000
  QRF00005_EF196803.1            73     -16.6620     -16.6620      0.0000
  QRF00005_CP003022.1            73     -16.6620     -16.6620      0.0000
  QRF00001_EU093378.1           119     -15.3490     -15.3490      0.0000
  QRF00001_AAAA02047827.1       119     -15.3490     -15.3490      0.0000
  QRF00001_AAAA02043281.1       119     -12.6621     -12.6621      0.0000
  QRF00001_EF064700.1           119     -10.0877     -10.0877      0.0000
  QRF00001_EF064692.1           119     -10.0877     -10.0877      0.0000
  QRF00001_EF064687.1           119     -10.0877     -10.0877      0.0000
  QRF00001_EF064680.1           119     -10.0877     -10.0877      0.0000
  QRF00001_EF064678.1           119     -10.0877     -10.0877      0.0000
  QRF00001_EF064556.1           119     -10.0877     -10.0877      0.0000
  QRF00001_AJ390135.1           119     -10.0877     -10.0877      0.0000
  QRF00001_HQ270965.1           119     -15.3490     -15.3490      0.0000
  QRF00001_GQ324770.1           119     -15.3490     -15.3490      0.0000
  QRF00001_FJ882503.1           119     -15.3490     -15.3490      0.0000
  QRF00001_AF550740.1           119     -15.3490     -15.3490      0.0000
  QRF00001_HQ270648.1           119     -15.3490     -15.3490      0.0000
  QRF00001_EU924818.1           119     -15.3490     -15.3490      0.0000
  QRF00001_EU093153.1           119     -15.3490     -15.3490      0.0000
  QRF00001_EF524209.1           119     -15.3490     -15.3490      0.0000
  QRF00001_AY316209.1           119     -15.3490     -15.3490      0.0000
  QRF00001_AY034674.1           119     -15.3490     -15.3490      0.0000
  QRF00001_AJ409525.1           119     -15.3490     -15.3490      0.0000
  QRF00001_AF550715.1           119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01010155.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01009775.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01009775.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01009775.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01009135.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01009119.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01009117.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01005845.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01005845.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01005844.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01005841.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01005839.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01005838.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01005838.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01005835.1       119     -15.3490     -15.3490      0.0000
  QRF00001_ABXC01005835.1       119     -15.3490     -15.3490      0.0000
  QRF00001_AAAA02039752.1       119     -15.3490     -15.3490      0.0000
  QRF00001_EU925066.1           119     -15.3490     -15.3490      0.0000
  QRF00001_EU093209.1           119     -15.3490     -15.3490      0.0000
  QRF00001_U02637.1             119     -15.3490     -15.3490      0.0000
  QRF00001_EU439291.1           119     -15.3490     -15.3490      0.0000
  QRF00001_EU439286.1           119     -15.3490     -15.3490      0.0000
  QRF00001_EU439284.1           119     -15.3490     -15.3490      0.0000
  QRF00001_EU439282.1           119     -15.3490     -15.3490      0.0000
  QRF00001_EU439280.1           119     -15.3490     -15.3490      0.0000
  QRF00001_EU439279.1           119     -15.3490     -15.3490      0.0000
  QRF00001_EU439278.1           119     -15.3490     -15.3490      0.0000
  QRF00001_EU439277.1           119     -15.3490     -15.3490      0.0000
  QRF01704_ACNY01000005.1        62     -16.1609     -16.1609      0.0000
  QRF01704_ADXL01000065.1        61     -12.7979     -12.7979      0.0000
  QRF01704_ADXL01000046.1        61     -12.7979     -12.7979      0.0000
  QRF01704_ADHP01001127.1        63     -18.7029     -18.7029      0.0000
  QRF01704_ADXM01000029.1        71     -14.6759     -14.6759      0.0000
  QRF01704_FJ869257.1            62     -16.0895     -16.0895      0.0000
  QRF01704_BX569692.1            62     -16.0895     -16.0895      0.0000
  QRF01704_AACY023835177.1       64     -12.8279     -12.8279      0.0000
  QRF01704_ACNY01000003.1        61     -18.1549     -18.1549      0.0000
  QRF01704_AACY020212823.1       62     -16.8584     -16.8584      0.0000
  QRF01704_GQ237222.1            58     -13.7849     -13.7849      0.0000
