# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00166.cm
# date:    Fri May 13 20:42:34 2016
# seed:    1463172154
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  PrrB_RsmZ                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:18.66       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -43.9173     -43.9173      0.0000
  QRF01739_AGJC01000011.1        62     -43.8152     -43.8152      0.0000
  QRF01739_AP012205.1            62     -40.2741     -40.2741      0.0000
  QRF01739_AEPQ01000180.1        85     -32.0721     -32.0721      0.0000
  QRF01739_AACY023065314.1       57     -44.0219     -44.0219      0.0000
  QRF01739_AACY020081009.1       57     -44.0219     -44.0219      0.0000
  QRF01739_ACSK01000180.1        92     -34.5928     -34.5928      0.0000
  QRF01739_BA000039.2           113     -29.0602     -29.0602      0.0000
  QRF01739_AACY023081145.1       53     -48.1741     -48.1741      0.0000
  QRF01739_AFSR01000238.1        99     -36.7700     -36.7700      0.0000
  QRF01739_AGJC01000003.1        76     -41.0809     -41.0809      0.0000
  QRF01739_AFSR01000146.1        92     -37.8264     -37.8264      0.0000
  QRF01739_CACA01000349.1        84     -32.0235     -32.0235      0.0000
  QRF01739_AACY022751187.1       52     -46.6741     -46.6741      0.0000
  QRF01739_AACY022283709.1       52     -46.6741     -46.6741      0.0000
  QRF01739_ABPS01003770.1       123     -34.3250     -34.3250      0.0000
  QRF01739_AFEJ01000345.1        83     -40.5960     -40.5960      0.0000
  QRF00005_CABR01000029.1        73     -39.9165     -39.9165      0.0000
  QRF00005_AFSR01002788.1        74     -33.4100     -33.4100      0.0000
  QRF00005_CP000927.1            72     -37.5510     -37.5510      0.0000
  QRF00005_AY741371.1            72     -42.9751     -42.9751      0.0000
  QRF00005_AEGR01000006.1        73     -41.4555     -41.4555      0.0000
  QRF00005_CP001189.1            73     -37.5071     -37.5071      0.0000
  QRF00005_CP000493.1            72     -34.6329     -34.6329      0.0000
  QRF00005_AP012159.1            73     -37.5071     -37.5071      0.0000
  QRF00005_AM889285.1            73     -37.5071     -37.5071      0.0000
  QRF00005_AGFR01000003.1        73     -39.1041     -39.1041      0.0000
  QRF00005_AFCH01000046.1        73     -37.5071     -37.5071      0.0000
  QRF00005_ADTV01000009.1        73     -37.5071     -37.5071      0.0000
  QRF00005_ABCE01000025.1        73     -36.6274     -36.6274      0.0000
  QRF00005_HM565909.1            72     -43.3289     -43.3289      0.0000
  QRF00005_CAFG01000441.1        73     -41.4555     -41.4555      0.0000
  QRF00005_AACY020656879.1       72     -44.6556     -44.6556      0.0000
  QRF00005_CP001744.1            73     -36.8597     -36.8597      0.0000
  QRF00005_CP000880.1            73     -41.1287     -41.1287      0.0000
  QRF00005_CACD01000012.1        73     -41.1287     -41.1287      0.0000
  QRF00005_CACD01000012.1        73     -41.1287     -41.1287      0.0000
  QRF00005_CACD01000012.1        73     -41.1287     -41.1287      0.0000
  QRF00005_AM849034.1            74     -34.0237     -34.0237      0.0000
  QRF00005_AM711867.1            74     -34.0237     -34.0237      0.0000
  QRF00005_AEQT01000005.1        73     -41.1287     -41.1287      0.0000
  QRF00005_AEQT01000005.1        73     -41.1287     -41.1287      0.0000
  QRF00005_ACDJ01000003.1        73     -41.1287     -41.1287      0.0000
  QRF00005_ABWL02000007.1        73     -41.1287     -41.1287      0.0000
  QRF00005_Z71579.1              73     -41.2651     -41.2651      0.0000
  QRF00005_X53782.1              73     -41.2651     -41.2651      0.0000
  QRF00005_M19391.1              73     -41.2651     -41.2651      0.0000
  QRF00005_M15314.1              73     -41.2651     -41.2651      0.0000
  QRF00005_L42023.1              73     -41.2651     -41.2651      0.0000
  QRF00005_L42023.1              73     -41.2651     -41.2651      0.0000
  QRF00005_L42023.1              73     -41.2651     -41.2651      0.0000
  QRF00005_FQ670204.1            73     -41.2651     -41.2651      0.0000
  QRF00005_FQ670204.1            73     -41.2651     -41.2651      0.0000
  QRF00005_FQ670204.1            73     -41.2651     -41.2651      0.0000
  QRF00005_FQ670178.1            73     -41.2651     -41.2651      0.0000
  QRF00005_FQ670178.1            73     -41.2651     -41.2651      0.0000
  QRF00005_FQ670178.1            73     -41.2651     -41.2651      0.0000
  QRF00005_FQ670178.1            73     -41.2651     -41.2651      0.0000
  QRF00005_FQ312006.1            73     -41.2651     -41.2651      0.0000
  QRF00005_FQ312006.1            73     -41.2651     -41.2651      0.0000
  QRF00005_FQ312006.1            73     -41.2651     -41.2651      0.0000
  QRF00005_FQ312002.1            73     -41.2651     -41.2651      0.0000
  QRF00005_FQ312002.1            73     -41.2651     -41.2651      0.0000
  QRF00005_FQ312002.1            73     -41.2651     -41.2651      0.0000
  QRF00005_EF196803.1            73     -41.2651     -41.2651      0.0000
  QRF00005_EF196803.1            73     -41.2651     -41.2651      0.0000
  QRF00005_CP003022.1            73     -41.2651     -41.2651      0.0000
  QRF00001_EU093378.1           119     -24.4832     -24.4832      0.0000
  QRF00001_AAAA02047827.1       119     -23.0142     -23.0142      0.0000
  QRF00001_AAAA02043281.1       119     -25.9542     -25.9542      0.0000
  QRF00001_EF064700.1           119     -25.5642     -25.5642      0.0000
  QRF00001_EF064692.1           119     -25.5642     -25.5642      0.0000
  QRF00001_EF064687.1           119     -25.5642     -25.5642      0.0000
  QRF00001_EF064680.1           119     -25.5642     -25.5642      0.0000
  QRF00001_EF064678.1           119     -25.5642     -25.5642      0.0000
  QRF00001_EF064556.1           119     -25.5642     -25.5642      0.0000
  QRF00001_AJ390135.1           119     -25.5642     -25.5642      0.0000
  QRF00001_HQ270965.1           119     -23.0142     -23.0142      0.0000
  QRF00001_GQ324770.1           119     -23.0142     -23.0142      0.0000
  QRF00001_FJ882503.1           119     -23.0142     -23.0142      0.0000
  QRF00001_AF550740.1           119     -23.0142     -23.0142      0.0000
  QRF00001_HQ270648.1           119     -20.8462     -20.8462      0.0000
  QRF00001_EU924818.1           119     -20.8462     -20.8462      0.0000
  QRF00001_EU093153.1           119     -20.8462     -20.8462      0.0000
  QRF00001_EF524209.1           119     -20.8462     -20.8462      0.0000
  QRF00001_AY316209.1           119     -20.8462     -20.8462      0.0000
  QRF00001_AY034674.1           119     -20.8462     -20.8462      0.0000
  QRF00001_AJ409525.1           119     -20.8462     -20.8462      0.0000
  QRF00001_AF550715.1           119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01010155.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01009775.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01009775.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01009775.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01009135.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01009119.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01009117.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01005845.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01005845.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01005844.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01005841.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01005839.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01005838.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01005838.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01005835.1       119     -20.8462     -20.8462      0.0000
  QRF00001_ABXC01005835.1       119     -20.8462     -20.8462      0.0000
  QRF00001_AAAA02039752.1       119     -22.4652     -22.4652      0.0000
  QRF00001_EU925066.1           119     -22.4652     -22.4652      0.0000
  QRF00001_EU093209.1           119     -22.4652     -22.4652      0.0000
  QRF00001_U02637.1             119     -22.4652     -22.4652      0.0000
  QRF00001_EU439291.1           119     -22.4652     -22.4652      0.0000
  QRF00001_EU439286.1           119     -22.4652     -22.4652      0.0000
  QRF00001_EU439284.1           119     -22.4652     -22.4652      0.0000
  QRF00001_EU439282.1           119     -22.4652     -22.4652      0.0000
  QRF00001_EU439280.1           119     -22.4652     -22.4652      0.0000
  QRF00001_EU439279.1           119     -22.4652     -22.4652      0.0000
  QRF00001_EU439278.1           119     -22.4652     -22.4652      0.0000
  QRF00001_EU439277.1           119     -22.4652     -22.4652      0.0000
  QRF01704_ACNY01000005.1        62     -49.1055     -49.1055      0.0000
  QRF01704_ADXL01000065.1        61     -45.8476     -45.8476      0.0000
  QRF01704_ADXL01000046.1        61     -43.4979     -43.4979      0.0000
  QRF01704_ADHP01001127.1        63     -39.4863     -39.4863      0.0000
  QRF01704_ADXM01000029.1        71     -44.9194     -44.9194      0.0000
  QRF01704_FJ869257.1            62     -50.3477     -50.3477      0.0000
  QRF01704_BX569692.1            62     -50.3477     -50.3477      0.0000
  QRF01704_AACY023835177.1       64     -46.1717     -46.1717      0.0000
  QRF01704_ACNY01000003.1        61     -50.8209     -50.8209      0.0000
  QRF01704_AACY020212823.1       62     -40.6934     -40.6934      0.0000
  QRF01704_GQ237222.1            58     -45.2439     -45.2439      0.0000
  QRF01704_ADHP01000860.1        64     -44.2691     -44.2691      0.0000
  QRF01704_AACY020313707.1       62     -42.4287     -42.4287      0.0000
  QRF01704_ACDW01000004.1        62     -42.0409     -42.0409      0.0000
  QRF01704_AACY022014507.1       62     -37.3039     -37.3039      0.0000
  QRF01704_ADHP01000878.1        59     -49.2013     -49.2013      0.0000
  QRF01704_AACY022415810.1       58     -48.3202     -48.3202      0.0000
  QRF01704_AACY020575673.1       58     -48.3202     -48.3202      0.0000
  QRF01704_ACNY01000005.1        59     -44.3258     -44.3258      0.0000
  QRF01704_ADHP01000854.1        63     -41.0136     -41.0136      0.0000
  QRF01704_GU936714.1            59     -51.5283     -51.5283      0.0000
  QRF01704_AACY021622950.1       62     -44.1824     -44.1824      0.0000
  QRF01704_CP000825.1            58     -49.3758     -49.3758      0.0000
  QRF01704_EU795157.1            64     -44.3379     -44.3379      0.0000
  QRF01704_ABVN01004790.1        61     -50.3921     -50.3921      0.0000
  QRF01704_ABMN01086741.1        60     -50.9399     -50.9399      0.0000
  QRF01704_DQ325539.1            60     -44.3913     -44.3913      0.0000
  QRF01704_ACNY01000005.1        62     -47.1513     -47.1513      0.0000
  QRF01704_ACNY01000004.1        60     -42.4771     -42.4771      0.0000
  QRF01704_ABVT01000061.1        57     -47.5618     -47.5618      0.0000
  QRF00023_CP001665.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP001509.3           363     -13.8115     -13.8115      0.0000
  QRF00023_CP000819.1           363     -13.8115     -13.8115      0.0000
  QRF00023_AM946981.2           363     -13.8115     -13.8115      0.0000
  QRF00023_ADTQ01000184.1       363     -13.8115     -13.8115      0.0000
  QRF00023_ADBT01000188.1       363     -13.8115     -13.8115      0.0000
  QRF00023_FN543093.2           364     -14.9054     -14.9054      0.0000
  QRF00023_AFAG01000033.1       363     -15.4785     -15.4785      0.0000
  QRF00023_AFAF01000014.1       363     -15.4785     -15.4785      0.0000
  QRF00023_ADUS01000034.1       363     -15.4785     -15.4785      0.0000
  QRF00023_U36840.1             363     -13.8115     -13.8115      0.0000
  QRF00023_FN649414.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CU928162.2           363     -13.8115     -13.8115      0.0000
  QRF00023_CU928161.2           363     -13.8115     -13.8115      0.0000
  QRF00023_CU928158.2           363     -13.8115     -13.8115      0.0000
  QRF00023_CU651637.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP003034.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP002797.2           363     -13.8115     -13.8115      0.0000
  QRF00023_CP002729.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP002516.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP002212.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP002211.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP002185.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP002167.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP001969.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP001855.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP001671.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP001637.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP001396.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP001383.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP000970.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP000948.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP000802.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP000243.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CP000038.1           363     -13.8115     -13.8115      0.0000
  QRF00023_CAFL01000074.1       363     -13.8115     -13.8115      0.0000
  QRF00023_CADZ01000057.1       363     -13.8115     -13.8115      0.0000
  QRF00023_BAAV01002786.1       363     -13.8115     -13.8115      0.0000
  QRF00023_AP012030.1           363     -13.8115     -13.8115      0.0000
  QRF00023_AP010960.1           363     -13.8115     -13.8115      0.0000
  QRF00023_AP010958.1           363     -13.8115     -13.8115      0.0000
  QRF00023_AP010953.1           363     -13.8115     -13.8115      0.0000
  QRF00023_AP009378.1           363     -13.8115     -13.8115      0.0000
  QRF00023_AP009240.1           363     -13.8115     -13.8115      0.0000
  QRF00023_AP009048.1           363     -13.8115     -13.8115      0.0000
  QRF00023_AJ304858.2           363     -13.8115     -13.8115      0.0000
  QRF00023_AGTK01000236.1       363     -13.8115     -13.8115      0.0000
