# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00296.cm
# date:    Sat May 14 03:27:33 2016
# seed:    1463196453
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoR16                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:27.73       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -20.8438     -20.8438      0.0000
  QRF01739_AGJC01000011.1        62     -24.8593     -24.8593      0.0000
  QRF01739_AP012205.1            62     -23.2444     -23.2444      0.0000
  QRF01739_AEPQ01000180.1        85     -18.3145     -18.3145      0.0000
  QRF01739_AACY023065314.1       57     -20.7332     -20.7332      0.0000
  QRF01739_AACY020081009.1       57     -20.7332     -20.7332      0.0000
  QRF01739_ACSK01000180.1        92     -29.5740     -29.5740      0.0000
  QRF01739_BA000039.2           113     -22.3058     -22.3058      0.0000
  QRF01739_AACY023081145.1       53     -23.4653     -23.4653      0.0000
  QRF01739_AFSR01000238.1        99     -24.8970     -24.8970      0.0000
  QRF01739_AGJC01000003.1        76     -19.9157     -19.9157      0.0000
  QRF01739_AFSR01000146.1        92     -23.3947     -23.3947      0.0000
  QRF01739_CACA01000349.1        84     -23.1447     -23.1447      0.0000
  QRF01739_AACY022751187.1       52     -26.3773     -26.3773      0.0000
  QRF01739_AACY022283709.1       52     -26.3773     -26.3773      0.0000
  QRF01739_ABPS01003770.1       123     -20.8457     -20.8457      0.0000
  QRF01739_AFEJ01000345.1        83     -25.7992     -25.7992      0.0000
  QRF00005_CABR01000029.1        73     -29.1494     -29.1494      0.0000
  QRF00005_AFSR01002788.1        74     -25.2781     -25.2781      0.0000
  QRF00005_CP000927.1            72     -22.4442     -22.4442      0.0000
  QRF00005_AY741371.1            72     -25.7263     -25.7263      0.0000
  QRF00005_AEGR01000006.1        73     -29.5052     -29.5052      0.0000
  QRF00005_CP001189.1            73     -20.1458     -20.1458      0.0000
  QRF00005_CP000493.1            72     -35.8681     -35.8681      0.0000
  QRF00005_AP012159.1            73     -20.1458     -20.1458      0.0000
  QRF00005_AM889285.1            73     -20.1458     -20.1458      0.0000
  QRF00005_AGFR01000003.1        73     -23.1974     -23.1974      0.0000
  QRF00005_AFCH01000046.1        73     -20.1458     -20.1458      0.0000
  QRF00005_ADTV01000009.1        73     -20.1458     -20.1458      0.0000
  QRF00005_ABCE01000025.1        73     -21.6316     -21.6316      0.0000
  QRF00005_HM565909.1            72     -22.6889     -22.6889      0.0000
  QRF00005_CAFG01000441.1        73     -28.6392     -28.6392      0.0000
  QRF00005_AACY020656879.1       72     -22.9059     -22.9059      0.0000
  QRF00005_CP001744.1            73     -26.2699     -26.2699      0.0000
  QRF00005_CP000880.1            73     -27.6084     -27.6084      0.0000
  QRF00005_CACD01000012.1        73     -27.6084     -27.6084      0.0000
  QRF00005_CACD01000012.1        73     -27.6084     -27.6084      0.0000
  QRF00005_CACD01000012.1        73     -27.6084     -27.6084      0.0000
  QRF00005_AM849034.1            74     -24.7051     -24.7051      0.0000
  QRF00005_AM711867.1            74     -24.7051     -24.7051      0.0000
  QRF00005_AEQT01000005.1        73     -27.6084     -27.6084      0.0000
  QRF00005_AEQT01000005.1        73     -27.6084     -27.6084      0.0000
  QRF00005_ACDJ01000003.1        73     -27.6084     -27.6084      0.0000
  QRF00005_ABWL02000007.1        73     -27.6084     -27.6084      0.0000
  QRF00005_Z71579.1              73     -28.2969     -28.2969      0.0000
  QRF00005_X53782.1              73     -28.2969     -28.2969      0.0000
  QRF00005_M19391.1              73     -28.2969     -28.2969      0.0000
  QRF00005_M15314.1              73     -28.2969     -28.2969      0.0000
  QRF00005_L42023.1              73     -28.2969     -28.2969      0.0000
  QRF00005_L42023.1              73     -28.2969     -28.2969      0.0000
  QRF00005_L42023.1              73     -28.2969     -28.2969      0.0000
  QRF00005_FQ670204.1            73     -28.2969     -28.2969      0.0000
  QRF00005_FQ670204.1            73     -28.2969     -28.2969      0.0000
  QRF00005_FQ670204.1            73     -28.2969     -28.2969      0.0000
  QRF00005_FQ670178.1            73     -28.2969     -28.2969      0.0000
  QRF00005_FQ670178.1            73     -28.2969     -28.2969      0.0000
  QRF00005_FQ670178.1            73     -28.2969     -28.2969      0.0000
  QRF00005_FQ670178.1            73     -28.2969     -28.2969      0.0000
  QRF00005_FQ312006.1            73     -28.2969     -28.2969      0.0000
  QRF00005_FQ312006.1            73     -28.2969     -28.2969      0.0000
  QRF00005_FQ312006.1            73     -28.2969     -28.2969      0.0000
  QRF00005_FQ312002.1            73     -28.2969     -28.2969      0.0000
  QRF00005_FQ312002.1            73     -28.2969     -28.2969      0.0000
  QRF00005_FQ312002.1            73     -28.2969     -28.2969      0.0000
  QRF00005_EF196803.1            73     -28.2969     -28.2969      0.0000
  QRF00005_EF196803.1            73     -28.2969     -28.2969      0.0000
  QRF00005_CP003022.1            73     -28.2969     -28.2969      0.0000
  QRF00001_EU093378.1           119     -25.0078     -25.0078      0.0000
  QRF00001_AAAA02047827.1       119     -24.4933     -24.4933      0.0000
  QRF00001_AAAA02043281.1       119     -23.5353     -23.5353      0.0000
  QRF00001_EF064700.1           119     -22.8698     -22.8698      0.0000
  QRF00001_EF064692.1           119     -22.8698     -22.8698      0.0000
  QRF00001_EF064687.1           119     -22.8698     -22.8698      0.0000
  QRF00001_EF064680.1           119     -22.8698     -22.8698      0.0000
  QRF00001_EF064678.1           119     -22.8698     -22.8698      0.0000
  QRF00001_EF064556.1           119     -22.8698     -22.8698      0.0000
  QRF00001_AJ390135.1           119     -22.8698     -22.8698      0.0000
  QRF00001_HQ270965.1           119     -24.4933     -24.4933      0.0000
  QRF00001_GQ324770.1           119     -24.4933     -24.4933      0.0000
  QRF00001_FJ882503.1           119     -24.4933     -24.4933      0.0000
  QRF00001_AF550740.1           119     -24.4933     -24.4933      0.0000
  QRF00001_HQ270648.1           119     -24.5252     -24.5252      0.0000
  QRF00001_EU924818.1           119     -24.5252     -24.5252      0.0000
  QRF00001_EU093153.1           119     -24.5252     -24.5252      0.0000
  QRF00001_EF524209.1           119     -24.5252     -24.5252      0.0000
