# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00101.cm
# date:    Sat May 14 01:14:50 2016
# seed:    1463188490
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SraC_RyeA                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:12.42       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -57.1042     -57.1042      0.0000
  QRF01739_AGJC01000011.1        62     -54.8835     -54.8835      0.0000
  QRF01739_AP012205.1            62     -54.8852     -54.8852      0.0000
  QRF01739_AEPQ01000180.1        85     -44.0082     -44.0082      0.0000
  QRF01739_AACY023065314.1       57     -52.3701     -52.3701      0.0000
  QRF01739_AACY020081009.1       57     -52.3701     -52.3701      0.0000
  QRF01739_ACSK01000180.1        92     -52.8882     -52.8882      0.0000
  QRF01739_BA000039.2           113     -45.9590     -45.9590      0.0000
  QRF01739_AACY023081145.1       53     -56.8323     -56.8323      0.0000
  QRF01739_AFSR01000238.1        99     -42.3748     -42.3748      0.0000
  QRF01739_AGJC01000003.1        76     -52.9293     -52.9293      0.0000
  QRF01739_AFSR01000146.1        92     -58.0341     -58.0341      0.0000
  QRF01739_CACA01000349.1        84     -50.8272     -50.8272      0.0000
  QRF01739_AACY022751187.1       52     -59.4226     -59.4226      0.0000
  QRF01739_AACY022283709.1       52     -59.4226     -59.4226      0.0000
  QRF01739_ABPS01003770.1       123     -39.4109     -39.4109      0.0000
  QRF01739_AFEJ01000345.1        83     -54.4170     -54.4170      0.0000
  QRF00005_CABR01000029.1        73     -58.1500     -58.1500      0.0000
  QRF00005_AFSR01002788.1        74     -45.6386     -45.6386      0.0000
  QRF00005_CP000927.1            72     -54.0858     -54.0858      0.0000
  QRF00005_AY741371.1            72     -54.2942     -54.2942      0.0000
  QRF00005_AEGR01000006.1        73     -56.5454     -56.5454      0.0000
  QRF00005_CP001189.1            73     -53.1198     -53.1198      0.0000
  QRF00005_CP000493.1            72     -59.4314     -59.4314      0.0000
  QRF00005_AP012159.1            73     -53.1198     -53.1198      0.0000
  QRF00005_AM889285.1            73     -53.1198     -53.1198      0.0000
  QRF00005_AGFR01000003.1        73     -47.2468     -47.2468      0.0000
  QRF00005_AFCH01000046.1        73     -53.1198     -53.1198      0.0000
  QRF00005_ADTV01000009.1        73     -53.1198     -53.1198      0.0000
  QRF00005_ABCE01000025.1        73     -50.6316     -50.6316      0.0000
  QRF00005_HM565909.1            72     -54.9794     -54.9794      0.0000
  QRF00005_CAFG01000441.1        73     -57.8642     -57.8642      0.0000
  QRF00005_AACY020656879.1       72     -52.6299     -52.6299      0.0000
  QRF00005_CP001744.1            73     -51.6497     -51.6497      0.0000
  QRF00005_CP000880.1            73     -50.4126     -50.4126      0.0000
  QRF00005_CACD01000012.1        73     -50.4126     -50.4126      0.0000
  QRF00005_CACD01000012.1        73     -50.4126     -50.4126      0.0000
  QRF00005_CACD01000012.1        73     -50.4126     -50.4126      0.0000
  QRF00005_AM849034.1            74     -49.6178     -49.6178      0.0000
  QRF00005_AM711867.1            74     -49.6178     -49.6178      0.0000
  QRF00005_AEQT01000005.1        73     -50.4126     -50.4126      0.0000
  QRF00005_AEQT01000005.1        73     -50.4126     -50.4126      0.0000
  QRF00005_ACDJ01000003.1        73     -50.4126     -50.4126      0.0000
