# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01791.cm
# date:    Fri May 13 22:37:14 2016
# seed:    1463179034
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  F6                         search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:20.78       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -10.0570     -10.0570      0.0000
  QRF01739_AGJC01000011.1        62     -10.9038     -10.9038      0.0000
  QRF01739_AP012205.1            62     -12.1945     -12.1945      0.0000
  QRF01739_AEPQ01000180.1        85      -9.0688      -9.0688      0.0000
  QRF01739_AACY023065314.1       57     -15.1368     -15.1368      0.0000
  QRF01739_AACY020081009.1       57     -15.1368     -15.1368      0.0000
  QRF01739_ACSK01000180.1        92     -13.9774     -13.9774      0.0000
  QRF01739_BA000039.2           113      -9.1186      -9.1186      0.0000
  QRF01739_AACY023081145.1       53     -13.1990     -13.1990      0.0000
  QRF01739_AFSR01000238.1        99     -12.0125     -12.0125      0.0000
  QRF01739_AGJC01000003.1        76     -12.2915     -12.2915      0.0000
  QRF01739_AFSR01000146.1        92      -2.5297      -2.5297      0.0000
  QRF01739_CACA01000349.1        84     -12.1095     -12.1095      0.0000
  QRF01739_AACY022751187.1       52     -13.6648     -13.6648      0.0000
  QRF01739_AACY022283709.1       52     -13.6648     -13.6648      0.0000
  QRF01739_ABPS01003770.1       123      -6.4929      -6.4929      0.0000
  QRF01739_AFEJ01000345.1        83      -6.4575      -6.4575      0.0000
  QRF00005_CABR01000029.1        73      -3.0959      -3.0959      0.0000
  QRF00005_AFSR01002788.1        74      -8.3582      -8.3582      0.0000
  QRF00005_CP000927.1            72      -5.1219      -5.1219      0.0000
  QRF00005_AY741371.1            72      -6.6020      -6.6020      0.0000
  QRF00005_AEGR01000006.1        73      -8.4645      -8.4645      0.0000
  QRF00005_CP001189.1            73      -8.6909      -8.6909      0.0000
  QRF00005_CP000493.1            72      -7.2728      -7.2728      0.0000
  QRF00005_AP012159.1            73      -8.6909      -8.6909      0.0000
  QRF00005_AM889285.1            73      -8.6909      -8.6909      0.0000
  QRF00005_AGFR01000003.1        73      -8.7259      -8.7259      0.0000
  QRF00005_AFCH01000046.1        73      -8.6909      -8.6909      0.0000
  QRF00005_ADTV01000009.1        73      -8.6909      -8.6909      0.0000
  QRF00005_ABCE01000025.1        73      -9.3222      -9.3222      0.0000
  QRF00005_HM565909.1            72      -6.6020      -6.6020      0.0000
  QRF00005_CAFG01000441.1        73      -8.4645      -8.4645      0.0000
  QRF00005_AACY020656879.1       72      -6.6020      -6.6020      0.0000
  QRF00005_CP001744.1            73      -9.3908      -9.3908      0.0000
  QRF00005_CP000880.1            73     -10.8919     -10.8919      0.0000
  QRF00005_CACD01000012.1        73     -10.8919     -10.8919      0.0000
  QRF00005_CACD01000012.1        73     -10.8919     -10.8919      0.0000
  QRF00005_CACD01000012.1        73     -10.8919     -10.8919      0.0000
  QRF00005_AM849034.1            74     -10.9773     -10.9773      0.0000
  QRF00005_AM711867.1            74     -10.9773     -10.9773      0.0000
  QRF00005_AEQT01000005.1        73     -10.8919     -10.8919      0.0000
  QRF00005_AEQT01000005.1        73     -10.8919     -10.8919      0.0000
  QRF00005_ACDJ01000003.1        73     -10.8919     -10.8919      0.0000
  QRF00005_ABWL02000007.1        73     -10.8919     -10.8919      0.0000
  QRF00005_Z71579.1              73      -7.9345      -7.9345      0.0000
  QRF00005_X53782.1              73      -7.9345      -7.9345      0.0000
  QRF00005_M19391.1              73      -7.9345      -7.9345      0.0000
  QRF00005_M15314.1              73      -7.9345      -7.9345      0.0000
  QRF00005_L42023.1              73      -7.9345      -7.9345      0.0000
  QRF00005_L42023.1              73      -7.9345      -7.9345      0.0000
