# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01296.cm
# date:    Fri May 13 20:43:50 2016
# seed:    1463172230
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoU85                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:46.50       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -160.9050    -160.9050      0.0000
  QRF01739_AGJC01000011.1        62    -163.7038    -163.7038      0.0000
  QRF01739_AP012205.1            62    -157.3717    -157.3717      0.0000
  QRF01739_AEPQ01000180.1        85    -143.0743    -143.0743      0.0000
  QRF01739_AACY023065314.1       57    -156.7193    -156.7193      0.0000
  QRF01739_AACY020081009.1       57    -156.7193    -156.7193      0.0000
  QRF01739_ACSK01000180.1        92    -143.8489    -143.8489      0.0000
  QRF01739_BA000039.2           113    -131.5808    -131.5808      0.0000
  QRF01739_AACY023081145.1       53    -166.0904    -166.0904      0.0000
  QRF01739_AFSR01000238.1        99    -137.7348    -137.7348      0.0000
  QRF01739_AGJC01000003.1        76    -149.9854    -149.9854      0.0000
  QRF01739_AFSR01000146.1        92    -147.3801    -147.3801      0.0000
  QRF01739_CACA01000349.1        84    -139.9049    -139.9049      0.0000
  QRF01739_AACY022751187.1       52    -165.8272    -165.8272      0.0000
  QRF01739_AACY022283709.1       52    -165.8272    -165.8272      0.0000
  QRF01739_ABPS01003770.1       123    -129.2556    -129.2556      0.0000
  QRF01739_AFEJ01000345.1        83    -154.4608    -154.4608      0.0000
  QRF00005_CABR01000029.1        73    -161.8725    -161.8725      0.0000
  QRF00005_AFSR01002788.1        74    -156.1749    -156.1749      0.0000
  QRF00005_CP000927.1            72    -155.2470    -155.2470      0.0000
  QRF00005_AY741371.1            72    -153.3503    -153.3503      0.0000
  QRF00005_AEGR01000006.1        73    -157.6514    -157.6514      0.0000
  QRF00005_CP001189.1            73    -157.0444    -157.0444      0.0000
  QRF00005_CP000493.1            72    -157.7371    -157.7371      0.0000
  QRF00005_AP012159.1            73    -157.0444    -157.0444      0.0000
  QRF00005_AM889285.1            73    -157.0444    -157.0444      0.0000
  QRF00005_AGFR01000003.1        73    -155.3094    -155.3094      0.0000
  QRF00005_AFCH01000046.1        73    -157.0444    -157.0444      0.0000
  QRF00005_ADTV01000009.1        73    -157.0444    -157.0444      0.0000
  QRF00005_ABCE01000025.1        73    -152.6631    -152.6631      0.0000
  QRF00005_HM565909.1            72    -153.1980    -153.1980      0.0000
  QRF00005_CAFG01000441.1        73    -159.9175    -159.9175      0.0000
  QRF00005_AACY020656879.1       72    -152.8342    -152.8342      0.0000
  QRF00005_CP001744.1            73    -153.2589    -153.2589      0.0000
  QRF00005_CP000880.1            73    -155.2061    -155.2061      0.0000
  QRF00005_CACD01000012.1        73    -155.2061    -155.2061      0.0000
  QRF00005_CACD01000012.1        73    -155.2061    -155.2061      0.0000
  QRF00005_CACD01000012.1        73    -155.2061    -155.2061      0.0000
  QRF00005_AM849034.1            74    -151.8370    -151.8370      0.0000
  QRF00005_AM711867.1            74    -151.8370    -151.8370      0.0000
  QRF00005_AEQT01000005.1        73    -155.2061    -155.2061      0.0000
  QRF00005_AEQT01000005.1        73    -155.2061    -155.2061      0.0000
  QRF00005_ACDJ01000003.1        73    -155.2061    -155.2061      0.0000
  QRF00005_ABWL02000007.1        73    -155.2061    -155.2061      0.0000
  QRF00005_Z71579.1              73    -156.6499    -156.6499      0.0000
  QRF00005_X53782.1              73    -156.6499    -156.6499      0.0000
  QRF00005_M19391.1              73    -156.6499    -156.6499      0.0000
  QRF00005_M15314.1              73    -156.6499    -156.6499      0.0000
  QRF00005_L42023.1              73    -156.6499    -156.6499      0.0000
  QRF00005_L42023.1              73    -156.6499    -156.6499      0.0000
  QRF00005_L42023.1              73    -156.6499    -156.6499      0.0000
  QRF00005_FQ670204.1            73    -156.6499    -156.6499      0.0000
  QRF00005_FQ670204.1            73    -156.6499    -156.6499      0.0000
  QRF00005_FQ670204.1            73    -156.6499    -156.6499      0.0000
  QRF00005_FQ670178.1            73    -156.6499    -156.6499      0.0000
  QRF00005_FQ670178.1            73    -156.6499    -156.6499      0.0000
  QRF00005_FQ670178.1            73    -156.6499    -156.6499      0.0000
  QRF00005_FQ670178.1            73    -156.6499    -156.6499      0.0000
  QRF00005_FQ312006.1            73    -156.6499    -156.6499      0.0000
  QRF00005_FQ312006.1            73    -156.6499    -156.6499      0.0000
  QRF00005_FQ312006.1            73    -156.6499    -156.6499      0.0000
  QRF00005_FQ312002.1            73    -156.6499    -156.6499      0.0000
  QRF00005_FQ312002.1            73    -156.6499    -156.6499      0.0000
  QRF00005_FQ312002.1            73    -156.6499    -156.6499      0.0000
  QRF00005_EF196803.1            73    -156.6499    -156.6499      0.0000
  QRF00005_EF196803.1            73    -156.6499    -156.6499      0.0000
  QRF00005_CP003022.1            73    -156.6499    -156.6499      0.0000
  QRF00001_EU093378.1           119    -125.1639    -125.1639      0.0000
  QRF00001_AAAA02047827.1       119    -125.8886    -125.8886      0.0000
  QRF00001_AAAA02043281.1       119    -127.3910    -127.3910      0.0000
  QRF00001_EF064700.1           119    -118.3795    -118.3795      0.0000
  QRF00001_EF064692.1           119    -118.3795    -118.3795      0.0000
  QRF00001_EF064687.1           119    -118.3795    -118.3795      0.0000
  QRF00001_EF064680.1           119    -118.3795    -118.3795      0.0000
  QRF00001_EF064678.1           119    -118.3795    -118.3795      0.0000
  QRF00001_EF064556.1           119    -118.3795    -118.3795      0.0000
  QRF00001_AJ390135.1           119    -118.3795    -118.3795      0.0000
  QRF00001_HQ270965.1           119    -126.9615    -126.9615      0.0000
  QRF00001_GQ324770.1           119    -126.9615    -126.9615      0.0000
  QRF00001_FJ882503.1           119    -126.9615    -126.9615      0.0000
  QRF00001_AF550740.1           119    -126.9615    -126.9615      0.0000
  QRF00001_HQ270648.1           119    -123.7275    -123.7275      0.0000
  QRF00001_EU924818.1           119    -123.7275    -123.7275      0.0000
  QRF00001_EU093153.1           119    -123.7275    -123.7275      0.0000
  QRF00001_EF524209.1           119    -123.7275    -123.7275      0.0000
  QRF00001_AY316209.1           119    -123.7275    -123.7275      0.0000
  QRF00001_AY034674.1           119    -123.7275    -123.7275      0.0000
  QRF00001_AJ409525.1           119    -123.7275    -123.7275      0.0000
  QRF00001_AF550715.1           119    -123.7275    -123.7275      0.0000
  QRF00001_ABXC01010155.1       119    -123.7275    -123.7275      0.0000
  QRF00001_ABXC01009775.1       119    -123.7275    -123.7275      0.0000
  QRF00001_ABXC01009775.1       119    -123.7275    -123.7275      0.0000
  QRF00001_ABXC01009775.1       119    -123.7275    -123.7275      0.0000
  QRF00001_ABXC01009135.1       119    -123.7275    -123.7275      0.0000
