# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00029.cm
# date:    Fri May 13 19:36:18 2016
# seed:    1463168178
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Intron_gpII                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:47.21       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -20.1917     -20.1917      0.0000
  QRF01739_AGJC01000011.1        62     -15.7558     -15.7558      0.0000
  QRF01739_AP012205.1            62     -17.3165     -17.3165      0.0000
  QRF01739_AEPQ01000180.1        85      -8.0500      -8.0500      0.0000
  QRF01739_AACY023065314.1       57     -20.4352     -20.4352      0.0000
  QRF01739_AACY020081009.1       57     -20.4352     -20.4352      0.0000
  QRF01739_ACSK01000180.1        92      -5.2448      -5.2448      0.0000
  QRF01739_BA000039.2           113     -14.0760     -14.0760      0.0000
  QRF01739_AACY023081145.1       53     -21.1115     -21.1115      0.0000
  QRF01739_AFSR01000238.1        99     -16.7556     -16.7556      0.0000
  QRF01739_AGJC01000003.1        76     -19.1693     -19.1693      0.0000
  QRF01739_AFSR01000146.1        92     -13.7543     -13.7543      0.0000
  QRF01739_CACA01000349.1        84     -14.3727     -14.3727      0.0000
  QRF01739_AACY022751187.1       52     -21.2411     -21.2411      0.0000
  QRF01739_AACY022283709.1       52     -21.2411     -21.2411      0.0000
  QRF01739_ABPS01003770.1       123     -12.9282     -12.9282      0.0000
  QRF01739_AFEJ01000345.1        83     -22.6171     -22.6171      0.0000
  QRF00005_CABR01000029.1        73     -16.4892     -16.4892      0.0000
  QRF00005_AFSR01002788.1        74     -17.8891     -17.8891      0.0000
  QRF00005_CP000927.1            72     -17.0664     -17.0664      0.0000
  QRF00005_AY741371.1            72     -18.7882     -18.7882      0.0000
  QRF00005_AEGR01000006.1        73     -15.5485     -15.5485      0.0000
  QRF00005_CP001189.1            73     -15.2352     -15.2352      0.0000
  QRF00005_CP000493.1            72     -16.5679     -16.5679      0.0000
  QRF00005_AP012159.1            73     -15.2352     -15.2352      0.0000
  QRF00005_AM889285.1            73     -15.2352     -15.2352      0.0000
  QRF00005_AGFR01000003.1        73     -15.4738     -15.4738      0.0000
  QRF00005_AFCH01000046.1        73     -15.2352     -15.2352      0.0000
  QRF00005_ADTV01000009.1        73     -15.2352     -15.2352      0.0000
  QRF00005_ABCE01000025.1        73     -17.4067     -17.4067      0.0000
  QRF00005_HM565909.1            72     -17.9221     -17.9221      0.0000
  QRF00005_CAFG01000441.1        73     -15.5485     -15.5485      0.0000
  QRF00005_AACY020656879.1       72     -17.7506     -17.7506      0.0000
  QRF00005_CP001744.1            73     -14.9740     -14.9740      0.0000
  QRF00005_CP000880.1            73     -13.7228     -13.7228      0.0000
  QRF00005_CACD01000012.1        73     -13.7228     -13.7228      0.0000
  QRF00005_CACD01000012.1        73     -13.7228     -13.7228      0.0000
  QRF00005_CACD01000012.1        73     -13.7228     -13.7228      0.0000
  QRF00005_AM849034.1            74     -18.2544     -18.2544      0.0000
  QRF00005_AM711867.1            74     -18.2544     -18.2544      0.0000
  QRF00005_AEQT01000005.1        73     -13.7228     -13.7228      0.0000
  QRF00005_AEQT01000005.1        73     -13.7228     -13.7228      0.0000
  QRF00005_ACDJ01000003.1        73     -13.7228     -13.7228      0.0000
  QRF00005_ABWL02000007.1        73     -13.7228     -13.7228      0.0000
  QRF00005_Z71579.1              73     -14.2535     -14.2535      0.0000
  QRF00005_X53782.1              73     -14.2535     -14.2535      0.0000
  QRF00005_M19391.1              73     -14.2535     -14.2535      0.0000
  QRF00005_M15314.1              73     -14.2535     -14.2535      0.0000
  QRF00005_L42023.1              73     -14.2535     -14.2535      0.0000
  QRF00005_L42023.1              73     -14.2535     -14.2535      0.0000
  QRF00005_L42023.1              73     -14.2535     -14.2535      0.0000
  QRF00005_FQ670204.1            73     -14.2535     -14.2535      0.0000
  QRF00005_FQ670204.1            73     -14.2535     -14.2535      0.0000
  QRF00005_FQ670204.1            73     -14.2535     -14.2535      0.0000
  QRF00005_FQ670178.1            73     -14.2535     -14.2535      0.0000
  QRF00005_FQ670178.1            73     -14.2535     -14.2535      0.0000
  QRF00005_FQ670178.1            73     -14.2535     -14.2535      0.0000
  QRF00005_FQ670178.1            73     -14.2535     -14.2535      0.0000
  QRF00005_FQ312006.1            73     -14.2535     -14.2535      0.0000
  QRF00005_FQ312006.1            73     -14.2535     -14.2535      0.0000
  QRF00005_FQ312006.1            73     -14.2535     -14.2535      0.0000
  QRF00005_FQ312002.1            73     -14.2535     -14.2535      0.0000
  QRF00005_FQ312002.1            73     -14.2535     -14.2535      0.0000
  QRF00005_FQ312002.1            73     -14.2535     -14.2535      0.0000
  QRF00005_EF196803.1            73     -14.2535     -14.2535      0.0000
  QRF00005_EF196803.1            73     -14.2535     -14.2535      0.0000
  QRF00005_CP003022.1            73     -14.2535     -14.2535      0.0000
  QRF00001_EU093378.1           119     -11.4168     -11.4168      0.0000
  QRF00001_AAAA02047827.1       119     -11.1877     -11.1877      0.0000
  QRF00001_AAAA02043281.1       119     -14.1414     -14.1414      0.0000
  QRF00001_EF064700.1           119      -9.4527      -9.4527      0.0000
  QRF00001_EF064692.1           119      -9.4527      -9.4527      0.0000
  QRF00001_EF064687.1           119      -9.4527      -9.4527      0.0000
  QRF00001_EF064680.1           119      -9.4527      -9.4527      0.0000
  QRF00001_EF064678.1           119      -9.4527      -9.4527      0.0000
  QRF00001_EF064556.1           119      -9.4527      -9.4527      0.0000
  QRF00001_AJ390135.1           119      -9.4527      -9.4527      0.0000
  QRF00001_HQ270965.1           119     -11.4168     -11.4168      0.0000
  QRF00001_GQ324770.1           119     -11.4168     -11.4168      0.0000
  QRF00001_FJ882503.1           119     -11.4168     -11.4168      0.0000
  QRF00001_AF550740.1           119     -11.4168     -11.4168      0.0000
  QRF00001_HQ270648.1           119     -11.4168     -11.4168      0.0000
  QRF00001_EU924818.1           119     -11.4168     -11.4168      0.0000
  QRF00001_EU093153.1           119     -11.4168     -11.4168      0.0000
  QRF00001_EF524209.1           119     -11.4168     -11.4168      0.0000
  QRF00001_AY316209.1           119     -11.4168     -11.4168      0.0000
  QRF00001_AY034674.1           119     -11.4168     -11.4168      0.0000
  QRF00001_AJ409525.1           119     -11.4168     -11.4168      0.0000
  QRF00001_AF550715.1           119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01010155.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01009775.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01009775.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01009775.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01009135.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01009119.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01009117.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01005845.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01005845.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01005844.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01005841.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01005839.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01005838.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01005838.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01005835.1       119     -11.4168     -11.4168      0.0000
  QRF00001_ABXC01005835.1       119     -11.4168     -11.4168      0.0000
  QRF00001_AAAA02039752.1       119     -10.3557     -10.3557      0.0000
  QRF00001_EU925066.1           119      -8.5777      -8.5777      0.0000
  QRF00001_EU093209.1           119      -8.5777      -8.5777      0.0000
  QRF00001_U02637.1             119     -11.1877     -11.1877      0.0000
  QRF00001_EU439291.1           119     -11.1877     -11.1877      0.0000
  QRF00001_EU439286.1           119     -11.1877     -11.1877      0.0000
  QRF00001_EU439284.1           119     -11.1877     -11.1877      0.0000
  QRF00001_EU439282.1           119     -11.1877     -11.1877      0.0000
  QRF00001_EU439280.1           119     -11.1877     -11.1877      0.0000
  QRF00001_EU439279.1           119     -11.1877     -11.1877      0.0000
  QRF00001_EU439278.1           119     -11.1877     -11.1877      0.0000
  QRF00001_EU439277.1           119     -11.1877     -11.1877      0.0000
  QRF01704_ACNY01000005.1        62     -19.9319     -19.9319      0.0000
  QRF01704_ADXL01000065.1        61     -22.7434     -22.7434      0.0000
  QRF01704_ADXL01000046.1        61     -19.6011     -19.6011      0.0000
  QRF01704_ADHP01001127.1        63     -21.3328     -21.3328      0.0000
  QRF01704_ADXM01000029.1        71     -21.5731     -21.5731      0.0000
  QRF01704_FJ869257.1            62     -19.9319     -19.9319      0.0000
  QRF01704_BX569692.1            62     -19.9319     -19.9319      0.0000
  QRF01704_AACY023835177.1       64     -20.0734     -20.0734      0.0000
  QRF01704_ACNY01000003.1        61     -20.2682     -20.2682      0.0000
  QRF01704_AACY020212823.1       62     -21.1788     -21.1788      0.0000
  QRF01704_GQ237222.1            58     -21.9967     -21.9967      0.0000
  QRF01704_ADHP01000860.1        64     -22.1302     -22.1302      0.0000
  QRF01704_AACY020313707.1       62     -18.9388     -18.9388      0.0000
  QRF01704_ACDW01000004.1        62     -23.8465     -23.8465      0.0000
  QRF01704_AACY022014507.1       62     -21.4315     -21.4315      0.0000
  QRF01704_ADHP01000878.1        59     -22.8750     -22.8750      0.0000
  QRF01704_AACY022415810.1       58     -22.5164     -22.5164      0.0000
  QRF01704_AACY020575673.1       58     -22.5164     -22.5164      0.0000
  QRF01704_ACNY01000005.1        59     -22.9328     -22.9328      0.0000
  QRF01704_ADHP01000854.1        63     -23.1937     -23.1937      0.0000
  QRF01704_GU936714.1            59     -19.9356     -19.9356      0.0000
  QRF01704_AACY021622950.1       62     -21.1788     -21.1788      0.0000
  QRF01704_CP000825.1            58     -23.0031     -23.0031      0.0000
  QRF01704_EU795157.1            64     -17.3006     -17.3006      0.0000
  QRF01704_ABVN01004790.1        61     -26.1671     -26.1671      0.0000
  QRF01704_ABMN01086741.1        60     -19.3047     -19.3047      0.0000
  QRF01704_DQ325539.1            60     -24.3160     -24.3160      0.0000
  QRF01704_ACNY01000005.1        62     -24.3516     -24.3516      0.0000
  QRF01704_ACNY01000004.1        60     -20.8938     -20.8938      0.0000
  QRF01704_ABVT01000061.1        57     -22.5323     -22.5323      0.0000
  QRF00023_CP001665.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP001509.3           363     -10.0723     -10.0723      0.0000
  QRF00023_CP000819.1           363     -10.0723     -10.0723      0.0000
  QRF00023_AM946981.2           363     -10.0723     -10.0723      0.0000
  QRF00023_ADTQ01000184.1       363     -10.0723     -10.0723      0.0000
  QRF00023_ADBT01000188.1       363     -10.0723     -10.0723      0.0000
  QRF00023_FN543093.2           364     -11.3821     -11.3821      0.0000
  QRF00023_AFAG01000033.1       363     -10.7823     -10.7823      0.0000
  QRF00023_AFAF01000014.1       363     -10.7823     -10.7823      0.0000
  QRF00023_ADUS01000034.1       363     -10.7823     -10.7823      0.0000
  QRF00023_U36840.1             363     -10.0723     -10.0723      0.0000
  QRF00023_FN649414.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CU928162.2           363     -10.0723     -10.0723      0.0000
  QRF00023_CU928161.2           363     -10.0723     -10.0723      0.0000
  QRF00023_CU928158.2           363     -10.0723     -10.0723      0.0000
  QRF00023_CU651637.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP003034.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP002797.2           363     -10.0723     -10.0723      0.0000
  QRF00023_CP002729.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP002516.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP002212.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP002211.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP002185.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP002167.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP001969.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP001855.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP001671.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP001637.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP001396.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP001383.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP000970.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP000948.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP000802.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP000243.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CP000038.1           363     -10.0723     -10.0723      0.0000
  QRF00023_CAFL01000074.1       363     -10.0723     -10.0723      0.0000
  QRF00023_CADZ01000057.1       363     -10.0723     -10.0723      0.0000
