# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00324.cm
# date:    Sat May 14 01:02:11 2016
# seed:    1463187731
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoMBII-202                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:27.64       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -23.5430     -23.5430      0.0000
  QRF01739_AGJC01000011.1        62     -20.3408     -20.3408      0.0000
  QRF01739_AP012205.1            62     -18.8462     -18.8462      0.0000
  QRF01739_AEPQ01000180.1        85     -15.2903     -15.2903      0.0000
  QRF01739_AACY023065314.1       57     -18.3622     -18.3622      0.0000
  QRF01739_AACY020081009.1       57     -18.3622     -18.3622      0.0000
  QRF01739_ACSK01000180.1        92     -13.9292     -13.9292      0.0000
  QRF01739_BA000039.2           113     -14.1153     -14.1153      0.0000
  QRF01739_AACY023081145.1       53     -19.0441     -19.0441      0.0000
  QRF01739_AFSR01000238.1        99     -20.3038     -20.3038      0.0000
  QRF01739_AGJC01000003.1        76     -16.3520     -16.3520      0.0000
  QRF01739_AFSR01000146.1        92     -23.7343     -23.7343      0.0000
  QRF01739_CACA01000349.1        84     -18.9717     -18.9717      0.0000
  QRF01739_AACY022751187.1       52     -17.6121     -17.6121      0.0000
  QRF01739_AACY022283709.1       52     -17.6121     -17.6121      0.0000
  QRF01739_ABPS01003770.1       123      -9.9559      -9.9559      0.0000
  QRF01739_AFEJ01000345.1        83     -17.0009     -17.0009      0.0000
  QRF00005_CABR01000029.1        73     -21.7082     -21.7082      0.0000
  QRF00005_AFSR01002788.1        74     -20.8659     -20.8659      0.0000
  QRF00005_CP000927.1            72     -21.0576     -21.0576      0.0000
  QRF00005_AY741371.1            72     -25.0078     -25.0078      0.0000
  QRF00005_AEGR01000006.1        73     -19.5731     -19.5731      0.0000
  QRF00005_CP001189.1            73     -16.4600     -16.4600      0.0000
  QRF00005_CP000493.1            72     -27.8237     -27.8237      0.0000
  QRF00005_AP012159.1            73     -16.4600     -16.4600      0.0000
  QRF00005_AM889285.1            73     -16.4600     -16.4600      0.0000
  QRF00005_AGFR01000003.1        73     -14.9990     -14.9990      0.0000
  QRF00005_AFCH01000046.1        73     -16.4600     -16.4600      0.0000
  QRF00005_ADTV01000009.1        73     -16.4600     -16.4600      0.0000
  QRF00005_ABCE01000025.1        73     -24.6258     -24.6258      0.0000
  QRF00005_HM565909.1            72     -26.1338     -26.1338      0.0000
  QRF00005_CAFG01000441.1        73     -18.8112     -18.8112      0.0000
  QRF00005_AACY020656879.1       72     -26.4593     -26.4593      0.0000
  QRF00005_CP001744.1            73     -23.2282     -23.2282      0.0000
  QRF00005_CP000880.1            73     -21.0807     -21.0807      0.0000
  QRF00005_CACD01000012.1        73     -21.0807     -21.0807      0.0000
  QRF00005_CACD01000012.1        73     -21.0807     -21.0807      0.0000
  QRF00005_CACD01000012.1        73     -21.0807     -21.0807      0.0000
  QRF00005_AM849034.1            74     -17.8870     -17.8870      0.0000
  QRF00005_AM711867.1            74     -17.8870     -17.8870      0.0000
  QRF00005_AEQT01000005.1        73     -21.0807     -21.0807      0.0000
  QRF00005_AEQT01000005.1        73     -21.0807     -21.0807      0.0000
  QRF00005_ACDJ01000003.1        73     -21.0807     -21.0807      0.0000
  QRF00005_ABWL02000007.1        73     -21.0807     -21.0807      0.0000
  QRF00005_Z71579.1              73     -16.6927     -16.6927      0.0000
  QRF00005_X53782.1              73     -16.6927     -16.6927      0.0000
  QRF00005_M19391.1              73     -16.6927     -16.6927      0.0000
  QRF00005_M15314.1              73     -16.6927     -16.6927      0.0000
  QRF00005_L42023.1              73     -16.6927     -16.6927      0.0000
  QRF00005_L42023.1              73     -16.6927     -16.6927      0.0000
  QRF00005_L42023.1              73     -16.6927     -16.6927      0.0000
  QRF00005_FQ670204.1            73     -16.6927     -16.6927      0.0000
  QRF00005_FQ670204.1            73     -16.6927     -16.6927      0.0000
  QRF00005_FQ670204.1            73     -16.6927     -16.6927      0.0000
  QRF00005_FQ670178.1            73     -16.6927     -16.6927      0.0000
  QRF00005_FQ670178.1            73     -16.6927     -16.6927      0.0000
  QRF00005_FQ670178.1            73     -16.6927     -16.6927      0.0000
  QRF00005_FQ670178.1            73     -16.6927     -16.6927      0.0000
  QRF00005_FQ312006.1            73     -16.6927     -16.6927      0.0000
  QRF00005_FQ312006.1            73     -16.6927     -16.6927      0.0000
  QRF00005_FQ312006.1            73     -16.6927     -16.6927      0.0000
  QRF00005_FQ312002.1            73     -16.6927     -16.6927      0.0000
  QRF00005_FQ312002.1            73     -16.6927     -16.6927      0.0000
  QRF00005_FQ312002.1            73     -16.6927     -16.6927      0.0000
  QRF00005_EF196803.1            73     -16.6927     -16.6927      0.0000
  QRF00005_EF196803.1            73     -16.6927     -16.6927      0.0000
  QRF00005_CP003022.1            73     -16.6927     -16.6927      0.0000
  QRF00001_EU093378.1           119     -12.2281     -12.2281      0.0000
  QRF00001_AAAA02047827.1       119     -12.2281     -12.2281      0.0000
  QRF00001_AAAA02043281.1       119      -9.8830      -9.8830      0.0000
  QRF00001_EF064700.1           119     -10.0140     -10.0140      0.0000
  QRF00001_EF064692.1           119     -10.0140     -10.0140      0.0000
  QRF00001_EF064687.1           119     -10.0140     -10.0140      0.0000
  QRF00001_EF064680.1           119     -10.0140     -10.0140      0.0000
  QRF00001_EF064678.1           119     -10.0140     -10.0140      0.0000
  QRF00001_EF064556.1           119     -10.0140     -10.0140      0.0000
  QRF00001_AJ390135.1           119     -10.0140     -10.0140      0.0000
  QRF00001_HQ270965.1           119     -12.2281     -12.2281      0.0000
  QRF00001_GQ324770.1           119     -12.2281     -12.2281      0.0000
  QRF00001_FJ882503.1           119     -12.2281     -12.2281      0.0000
  QRF00001_AF550740.1           119     -12.2281     -12.2281      0.0000
  QRF00001_HQ270648.1           119      -9.8830      -9.8830      0.0000
  QRF00001_EU924818.1           119      -9.8830      -9.8830      0.0000
  QRF00001_EU093153.1           119      -9.8830      -9.8830      0.0000
  QRF00001_EF524209.1           119      -9.8830      -9.8830      0.0000
  QRF00001_AY316209.1           119      -9.8830      -9.8830      0.0000
  QRF00001_AY034674.1           119      -9.8830      -9.8830      0.0000
  QRF00001_AJ409525.1           119      -9.8830      -9.8830      0.0000
  QRF00001_AF550715.1           119      -9.8830      -9.8830      0.0000
  QRF00001_ABXC01010155.1       119      -9.8830      -9.8830      0.0000
  QRF00001_ABXC01009775.1       119      -9.8830      -9.8830      0.0000
  QRF00001_ABXC01009775.1       119      -9.8830      -9.8830      0.0000
  QRF00001_ABXC01009775.1       119      -9.8830      -9.8830      0.0000
  QRF00001_ABXC01009135.1       119      -9.8830      -9.8830      0.0000
  QRF00001_ABXC01009119.1       119      -9.8830      -9.8830      0.0000
  QRF00001_ABXC01009117.1       119      -9.8830      -9.8830      0.0000
  QRF00001_ABXC01005845.1       119      -9.8830      -9.8830      0.0000
  QRF00001_ABXC01005845.1       119      -9.8830      -9.8830      0.0000
